benchmark,affinity,intercept,slope,exec_time,command,runtime
a2time-4K,A53,0.20443445605786614,0.24189952076500157,0.003087137539152654,./a2time-4K -v0 -c1 -i100,1.7264822079732678
a2time-4K,A72,0.15083654675709113,0.9844350429996958,0.001788108516204561,./a2time-4K -v0 -c1 -i100,1.0
a2time-4M,A53,0.9119121379116777,0.31527222586533643,3.1651283723404253,./a2time-4M -v0 -c1 -i100,1.725387543528871
a2time-4M,A72,1.056376591296715,1.079751949123648,1.8344448957055213,./a2time-4M -v0 -c1 -i100,1.0
aifirf-4K,A53,0.19400515700040266,0.23833052097084165,0.031724340783898304,./aifirf-4K -v0 -c1 -i100,2.791913536147373
aifirf-4K,A72,0.13460770603166594,1.386087803783588,0.011362938132989416,./aifirf-4K -v0 -c1 -i100,1.0
aifirf-4M,A53,0.6173638540169515,0.3209989693391038,3.231910923913043,./aifirf-4M -v0 -c1 -i10,2.8257007583408487
aifirf-4M,A72,0.6638214722864539,1.6126508678631257,1.1437555496183207,./aifirf-4M -v0 -c1 -i10,1.0
bitmnp-4K,A53,0.20537785742888826,0.1966626197979089,0.008579486090020917,./bitmnp-4K -v0 -c1 -i100,2.105081812361517
bitmnp-4K,A72,0.17472233849451424,0.7207295540108083,0.004075606961990851,./bitmnp-4K -v0 -c1 -i100,1.0
bitmnp-4M,A53,0.7881220943565062,0.26629432917535806,10.244691586206896,./bitmnp-4M -v0 -c1 -i100,2.2068897846312963
bitmnp-4M,A72,0.887864101136218,0.7927847647671751,4.642140109375,./bitmnp-4M -v0 -c1 -i100,1.0
canrdr-4K,A53,0.19155484731552264,0.32998324083266856,0.0030230901671593007,./canrdr-4K -v0 -c1 -i100,1.9124971509731277
canrdr-4K,A72,0.10474939414992779,1.1068858215957862,0.0015807030957515804,./canrdr-4K -v0 -c1 -i100,1.0
canrdr-4M,A53,0.8900927164287804,0.37550115378105825,2.8408764,./canrdr-4M -v0 -c1 -i100,1.932287984862762
canrdr-4M,A72,1.0070248708009935,1.264783732754613,1.4702137684729064,./canrdr-4M -v0 -c1 -i100,1.0
idctrn-4K,A53,0.18618191608938073,0.2585078455955605,0.014463369305019305,./idctrn-4K -v0 -c1 -i100,2.93168639001771
idctrn-4K,A72,0.06409362301635113,1.5013160507991206,0.00493346401384083,./idctrn-4K -v0 -c1 -i100,1.0
idctrn-4M,A53,0.7311385046843712,0.31425540753793957,14.678190500000001,./idctrn-4M -v0 -c1 -i100,3.0044818615534163
idctrn-4M,A72,0.6702082756766998,1.6541146586528876,4.885431557377049,./idctrn-4M -v0 -c1 -i100,1.0
iirflt-4K,A53,0.18149912405502455,0.22950528559095554,0.012227333727569331,./iirflt-4K -v0 -c1 -i100,2.903751219474784
iirflt-4K,A72,0.16735266606993981,1.2803810129186655,0.004210875107193567,./iirflt-4K -v0 -c1 -i100,1.0
iirflt-4M,A53,0.7597804581462562,0.2899535633660057,12.245887,./iirflt-4M -v0 -c1 -i100,2.303011657411523
iirflt-4M,A72,0.8132361965874804,1.437909073879684,5.317336089285714,./iirflt-4M -v0 -c1 -i100,1.0
matrix-4K,A53,0.16154142477502376,0.33352542139930996,0.024985521438104768,./matrix-4K -v0 -c1 -i100,2.8072766750967144
matrix-4K,A72,0.3707467942697651,1.59400421889507,0.008900270379386094,./matrix-4K -v0 -c1 -i100,1.0
matrix-4M,A53,0.42302551452392123,0.43137679492700354,6.849593651162791,./matrix-4M -v0 -c1 -i100,2.8531480158209557
matrix-4M,A72,0.5454096624956009,1.78741671943967,2.400714443548387,./matrix-4M -v0 -c1 -i100,1.0
pntrch-4K,A53,0.16733449818391755,0.2387831493354596,0.3608458939759036,./pntrch-4K -v0 -c1 -i100,2.9428374072517
pntrch-4K,A72,0.06423119164239388,1.3315865970583562,0.12261835910020448,./pntrch-4K -v0 -c1 -i100,1.0
pntrch-4M,A53,0.274072044297375,0.3437598877732618,3.7318852500000004,./pntrch-4M -v0 -c1 -i1,2.9558916621987743
pntrch-4M,A72,0.36436968290018257,1.4711299970674556,1.2625243670886077,./pntrch-4M -v0 -c1 -i1,1.0
puwmod-4K,A53,0.17649948226807322,0.2904875493305144,0.005391574169303797,./puwmod-4K -v0 -c1 -i100,1.933619790551593
puwmod-4K,A72,0.13478268301629015,1.1360236409863171,0.0027883321197109657,./puwmod-4K -v0 -c1 -i100,1.0
puwmod-4M,A53,0.8664629729281499,0.32608354245994214,5.303111375,./puwmod-4M -v0 -c1 -i100,1.982447654752892
puwmod-4M,A72,0.9085877787580277,1.3528106385325094,2.675032232142857,./puwmod-4M -v0 -c1 -i100,1.0
rspeed-4K,A53,0.15819413506460833,0.3265305224631427,0.001888236809769561,./rspeed-4K -v0 -c1 -i100,2.5857582855231946
rspeed-4K,A72,0.10292533238115809,1.4654431242527863,0.0007302449035322344,./rspeed-4K -v0 -c1 -i100,1.0
rspeed-4M,A53,0.9977034539426439,0.4266070197109079,1.8220469756097564,./rspeed-4M -v0 -c1 -i100,3.0696056871282362
rspeed-4M,A72,1.0968483351631644,2.0753341421914673,0.593576882936508,./rspeed-4M -v0 -c1 -i100,1.0
tblook-4K,A53,0.16327018124556147,0.23844879728555046,0.005256046969511019,./tblook-4K -v0 -c1 -i100,3.1579446883886484
tblook-4K,A72,0.11169292525016061,1.4522183643887034,0.001664388546397541,./tblook-4K -v0 -c1 -i100,1.0
tblook-4M,A53,0.7815447189578792,0.266576550498673,5.172366842105262,./tblook-4M -v0 -c1 -i100,3.23279431036978
tblook-4M,A72,0.7414475802311316,1.616966429225399,1.5999678128342247,./tblook-4M -v0 -c1 -i100,1.0
tinyrenderer-boggie,A53,0.8614868602032679,0.2648500424149172,0.3157108723404255,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj,1.9674308786078816
tinyrenderer-boggie,A72,0.9825416202228148,0.9626852080259498,0.16046859677419356,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj,1.0
tinyrenderer-diablo,A53,0.8201760587883768,0.2581147359399987,0.3558251404761905,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj,2.021219610165902
tinyrenderer-diablo,A72,0.8889230518376934,1.0001108637834086,0.1760447695473251,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj,1.0
ttsprk-4K,A53,0.15302292238563986,0.3434870032582224,0.0014847646790650192,./ttsprk-4K -v0 -c1 -i100,2.048220367013688
ttsprk-4K,A72,0.1959049299257094,1.1495060746323045,0.0007249047529147516,./ttsprk-4K -v0 -c1 -i100,1.0
ttsprk-4M,A53,0.12173815992982462,0.48464234464070205,0.5537200110905731,./ttsprk-4M -v0 -c1 -i100,2.152447117451094
ttsprk-4M,A72,0.014538403701202185,1.5776975317044641,0.25725138917525775,./ttsprk-4M -v0 -c1 -i100,1.0
