benchmark,affinity,intercept,slope,exec_time,command,runtime
a2time-4K,A57,0.29268468468468445,0.5800045045045045,0.0015434750990076067,./a2time-4K -v0 -c1 -i100,1.4004333554049466
a2time-4K,Denver,0.36254391891892057,1.510864864864864,0.0011021410573024365,./a2time-4K -v0 -c1 -i100,1.0
a2time-4M,A57,0.5099808558558561,0.6962015765765767,1.7227743275862069,./a2time-4M -v0 -c1 -i100,2.0222531229640675
a2time-4M,Denver,0.49608783783783794,2.0528716216216214,0.851908353125,./a2time-4M -v0 -c1 -i100,1.0
aifirf-4K,A57,0.34484234234234235,0.8408806306306307,0.009512754450760582,./aifirf-4K -v0 -c1 -i100,1.4368433448346887
aifirf-4K,Denver,0.3804729729729739,1.8105270270270264,0.0066205926240727655,./aifirf-4K -v0 -c1 -i100,1.0
aifirf-4M,A57,0.5116324629714457,0.8924351045961215,0.962775691318328,./aifirf-4M -v0 -c1 -i10,1.4671793003382558
aifirf-4M,Denver,0.48219594594594506,1.8907432432432438,0.6562086113785558,./aifirf-4M -v0 -c1 -i10,1.0
bitmnp-4K,A57,0.27643243243243276,0.4633817567567566,0.003664679407161024,./bitmnp-4K -v0 -c1 -i100,1.733011469301952
bitmnp-4K,Denver,0.3463581081081073,1.4937770270270274,0.002114630786971732,./bitmnp-4K -v0 -c1 -i100,1.0
bitmnp-4M,A57,0.4969121621621624,0.48936486486486475,4.950571351666667,./bitmnp-4M -v0 -c1 -i100,1.6872293551806883
bitmnp-4M,Denver,0.5314358108108101,1.4536959459459462,2.9341424960784317,./bitmnp-4M -v0 -c1 -i100,1.0
canrdr-4K,A57,0.3394515765765762,0.7469335585585587,0.0006120606357672736,./canrdr-4K -v0 -c1 -i100,1.1605988688826119
canrdr-4K,Denver,0.3686351351351367,1.841902027027026,0.0005273662177152958,./canrdr-4K -v0 -c1 -i100,1.0
canrdr-4M,A57,0.5859493243243246,1.0026655405405405,0.5467122098540146,./canrdr-4M -v0 -c1 -i100,1.2364708785012604
canrdr-4M,Denver,0.5472162162162166,2.232209459459459,0.4421553466076697,./canrdr-4M -v0 -c1 -i100,1.0
idctrn-4K,A57,0.36216666666666697,0.8571373873873872,0.0041338300803135265,./idctrn-4K -v0 -c1 -i100,1.1833676472225336
idctrn-4K,Denver,0.36248986486486645,2.109983108108107,0.003493276235847738,./idctrn-4K -v0 -c1 -i100,1.0
idctrn-4M,A57,0.4975416666666663,0.919427927927928,4.126169411111111,./idctrn-4M -v0 -c1 -i100,1.1906945538682372
