benchmark,affinity,intercept,slope,runtime,command
a2time-4K,A57,0.87,0.58,1.08,./a2time-4K -v0 -c1 -i100
a2time-4K,Denver,1.66,1.23,1.0,./a2time-4K -v0 -c1 -i100
a2time-4M,A57,1.24,0.68,2.08,./a2time-4M -v0 -c1 -i100
a2time-4M,Denver,2.64,2.09,1.0,./a2time-4M -v0 -c1 -i100
aifirf-4K,A57,1.2,0.84,1.44,./aifirf-4K -v0 -c1 -i100
aifirf-4K,Denver,2.2,1.89,1.0,./aifirf-4K -v0 -c1 -i100
aifirf-4M,A57,1.45,0.88,1.47,./aifirf-4M -v0 -c1 -i10
aifirf-4M,Denver,2.41,1.83,1.0,./aifirf-4M -v0 -c1 -i10
bitmnp-4K,A57,0.73,0.46,1.39,./bitmnp-4K -v0 -c1 -i100
bitmnp-4K,Denver,1.68,1.3,1.0,./bitmnp-4K -v0 -c1 -i100
bitmnp-4M,A57,0.99,0.48,1.86,./bitmnp-4M -v0 -c1 -i100
bitmnp-4M,Denver,2.04,1.46,1.0,./bitmnp-4M -v0 -c1 -i100
canrdr-4K,A57,1.12,0.74,1.18,./canrdr-4K -v0 -c1 -i100
canrdr-4K,Denver,2.26,1.91,1.0,./canrdr-4K -v0 -c1 -i100
canrdr-4M,A57,1.61,1.0,1.22,./canrdr-4M -v0 -c1 -i100
canrdr-4M,Denver,2.84,2.3,1.0,./canrdr-4M -v0 -c1 -i100
idctrn-4K,A57,1.22,0.85,1.11,./idctrn-4K -v0 -c1 -i100
idctrn-4K,Denver,2.42,2.13,1.0,./idctrn-4K -v0 -c1 -i100
idctrn-4M,A57,1.42,0.92,1.09,./idctrn-4M -v0 -c1 -i100
idctrn-4M,Denver,2.62,2.13,1.0,./idctrn-4M -v0 -c1 -i100
iirflt-4K,A57,1.09,0.75,1.32,./iirflt-4K -v0 -c1 -i100
iirflt-4K,Denver,1.9,1.52,1.0,./iirflt-4K -v0 -c1 -i100
iirflt-4M,A57,1.4,0.8,1.58,./iirflt-4M -v0 -c1 -i100
iirflt-4M,Denver,2.16,1.78,1.0,./iirflt-4M -v0 -c1 -i100
matrix-4K,A57,1.25,0.92,0.76,./matrix-4K -v0 -c1 -i100
matrix-4K,Denver,2.27,1.93,1.0,./matrix-4K -v0 -c1 -i100
matrix-4M,A57,1.36,0.95,0.73,./matrix-4M -v0 -c1 -i100
matrix-4M,Denver,2.14,1.81,1.0,./matrix-4M -v0 -c1 -i100
pntrch-4K,A57,1.09,0.75,1.11,./pntrch-4K -v0 -c1 -i100
pntrch-4K,Denver,1.86,1.5,1.0,./pntrch-4K -v0 -c1 -i100
pntrch-4M,A57,1.19,0.79,1.05,./pntrch-4M -v0 -c1 -i1
pntrch-4M,Denver,1.98,1.55,1.0,./pntrch-4M -v0 -c1 -i1
puwmod-4K,A57,0.99,0.68,1.83,./puwmod-4K -v0 -c1 -i100
puwmod-4K,Denver,2.24,1.92,1.0,./puwmod-4K -v0 -c1 -i100
puwmod-4M,A57,1.42,0.8,1.71,./puwmod-4M -v0 -c1 -i100
puwmod-4M,Denver,2.47,1.93,1.0,./puwmod-4M -v0 -c1 -i100
rspeed-4K,A57,1.26,0.82,1.13,./rspeed-4K -v0 -c1 -i100
rspeed-4K,Denver,1.99,1.57,1.0,./rspeed-4K -v0 -c1 -i100
rspeed-4M,A57,2.1,1.2,1.01,./rspeed-4M -v0 -c1 -i100
rspeed-4M,Denver,2.55,1.92,1.0,./rspeed-4M -v0 -c1 -i100
tblook-4K,A57,1.2,0.79,1.1,./tblook-4K -v0 -c1 -i100
tblook-4K,Denver,1.92,1.51,1.0,./tblook-4K -v0 -c1 -i100
tblook-4M,A57,1.34,0.89,1.2,./tblook-4M -v0 -c1 -i100
tblook-4M,Denver,2.1,1.61,1.0,./tblook-4M -v0 -c1 -i100
tinyrenderer-boggie,A57,1.07,0.56,1.1,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj
tinyrenderer-boggie,Denver,1.55,0.93,1.0,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj
tinyrenderer-diablo,A57,1.0,0.57,1.14,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj
tinyrenderer-diablo,Denver,1.46,0.92,1.0,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer -f /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj
ttsprk-4K,A57,1.05,0.68,1.3,./ttsprk-4K -v0 -c1 -i100
ttsprk-4K,Denver,1.86,1.42,1.0,./ttsprk-4K -v0 -c1 -i100
ttsprk-4M,A57,1.08,0.7,1.3,./ttsprk-4M -v0 -c1 -i100
ttsprk-4M,Denver,1.86,1.51,1.0,./ttsprk-4M -v0 -c1 -i100
