benchmark,A53_600MHz,A53_900MHz,A53_1104MHz,A53_1200MHz,A72_600MHz,A72_1056MHz,A72_1296MHz,A72_1596MHz
adpcm_dec,0.011492395749999999,0.009544932199999998,0.008876441849999998,0.00875808295,0.0096275904,0.00790396325,0.00739813285,0.00711683265
audiobeam,0.013074822849999997,0.010671924400000001,0.009674933100000001,0.009765072599999999,0.0103370357,0.008445386050000002,0.007902711249999998,0.0076060921000000005
bitonic,0.013405713650000001,0.01081673105,0.00996284735,0.00963494565,0.0104387895,0.0083669508,0.007891951800000001,0.00742965285
sha,0.8112082620999999,0.54119078285,0.4420368625,0.40713615919999996,0.36051940095,0.20663142665,0.1691288694,0.13849063895
susan,13.224807486650002,8.799245954400002,7.168452920049999,6.59415682915,7.1469279309000004,4.0482569643,3.2950341508500003,2.6749973247
isqrt,0.25025110030000003,0.16872324915,0.1384269815,0.12814853859999997,0.1484474799,0.08643171745000001,0.0713677609,0.0590521193
fmref,0.11646640055000002,0.07953329504999998,0.0657217074,0.06124020560000001,0.0661285668,0.03997118045,0.033591235950000006,0.0283534673
binarysearch,0.00996614945,0.008645247850000001,0.008049983,0.008125297600000001,0.00867001035,0.007240243599999999,0.006991856200000002,0.0066119342500000015
gsm_dec,0.6358991833,0.42481484115,0.3470041517,0.3198580172999999,0.3780221774000001,0.21649928964999998,0.17713753465,0.14493847940000001
rad2deg,0.012651129049999998,0.010425965200000002,0.0095015315,0.00945251785,0.009930572449999998,0.008099336600000001,0.00770007135,0.00730869975
anagram,0.034885288550000004,0.02352572355,0.020898138749999996,0.02010535165,0.02278020665,0.0159089564,0.013563258950000004,0.012071056300000004
g723_enc,0.0228088168,0.017117069199999994,0.015026552999999998,0.014549073249999999,0.0150772668,0.0109851427,0.010030427149999998,0.009930087600000002
statemate,0.027537824849999996,0.020159020000000007,0.0176439003,0.017090525449999998,0.020143144550000002,0.01383427015,0.012229327600000001,0.0109437045
duff,0.00979090825,0.00849794765,0.0079061596,0.0081021076,0.008748740999999999,0.0073722662500000005,0.007025170799999998,0.00669267595
bsort,0.011131906199999996,0.00930544875,0.008691783650000003,0.008643301449999998,0.009430451150000001,0.00756766775,0.0072149342,0.006847087899999998
lms,0.08272466055000002,0.0570551609,0.047602881449999995,0.04464286175,0.04392621815000001,0.027403634450000002,0.023669684050000004,0.020037973199999996
adpcm_enc,0.01189041125,0.010127995550000001,0.009083853,0.0090673212,0.009633534149999996,0.007844199299999998,0.007667057699999999,0.0070783691999999985
rijndael_dec,0.03133967365,0.0228749942,0.0198119872,0.019061701349999995,0.017715552,0.0125301843,0.011242698899999999,0.010179455850000001
epic,0.9230123634,0.6167170706999999,0.5027138635999999,0.46324760635000006,0.3903418771,0.22338927714999998,0.18273519384999998,0.14946032780000001
rijndael_enc,0.0298977661,0.02194344785,0.018921666949999996,0.01837946095,0.0174056701,0.0123010165,0.01078100085,0.009752277599999996
pm,3.6035722831499997,2.3988720576,1.9558877782499997,1.7990357953,2.0601513077,1.1685692386,0.9525391622000001,0.7735659253
gsm_enc,1.9719459905499999,1.3127526968,1.0706554134000001,0.9849485410999999,0.8195530882,0.46626871295,0.3801944213,0.30948537899999995
ludcmp,0.011200557800000002,0.0094021468,0.00877311325,0.00869193005,0.0091765413,0.0075778722,0.007254914800000001,0.00694405735
h264_dec,0.021679404399999998,0.016340327149999997,0.014329444050000004,0.013915809699999998,0.013643822100000003,0.01007022225,0.009286685700000002,0.0085405503
deg2rad,0.01296435725,0.01034824395,0.00954674345,0.00926041165,0.009810574200000002,0.008243173999999999,0.0075572075,0.007251331349999999
fft,0.08500107945000002,0.05851271895000001,0.04878012935000001,0.045593534349999985,0.039553436399999996,0.024905235050000002,0.021212209049999993,0.01865292305
countnegative,0.012520193099999999,0.01021019935,0.00930347115,0.0091214854,0.009582639799999997,0.007903855149999998,0.007418249549999999,0.007122473799999999
bitcount,0.013384739699999999,0.010910496949999998,0.0098585086,0.0097231678,0.010928434300000001,0.008477161049999998,0.0078264824,0.007417528499999999
matrix1,0.012317727650000002,0.01061870645,0.009413059249999998,0.00909501405,0.009719391150000001,0.007894498149999998,0.0075092579999999996,0.0074721258999999995
iir,0.009929161699999998,0.0085551166,0.00820876465,0.008128668799999999,0.00879005925,0.00740292635,0.0070850251000000005,0.0069313278
huff_enc,0.013633103300000001,0.0109865307,0.00997623885,0.009892855850000002,0.01125276795,0.00900285445,0.00815366645,0.007771164
mpeg2,94.56343488444999,62.8905602238,51.22266608809999,47.1099855881,58.791028767849994,33.253979524799995,27.064418644200003,21.9614904407
cosf,0.014786568500000003,0.011860472000000002,0.010563746399999999,0.010419449350000002,0.012535750299999999,0.009373672999999999,0.0087283511,0.0081510809
dijkstra,18.0741548337,12.022580109749999,9.79343306395,9.008125960800001,8.259310765299999,4.665701569900001,3.7963364395,3.09194534925
cjpeg_transupp,1.20101968685,0.8005260608000002,0.6532887529,0.6018487733000001,0.64389570755,0.36685691484999994,0.29971156480000005,0.24423616224999994
md5,6.0167507419,4.00398431305,3.26270623955,3.0015580855499997,4.785921158300001,2.710781275999999,2.2076638202500005,1.7923442567499996
fac,0.0104725149,0.00879563715,0.00822937355,0.008155777849999999,0.0091321885,0.007691279099999999,0.007265781250000001,0.0070186315
filterbank,0.03989426795,0.028627998449999997,0.02446142415,0.023159780550000002,0.021856698,0.01483321745,0.0131080075,0.0116585793
minver,0.010677922000000001,0.0090053834,0.008586798650000001,0.008240303150000001,0.0092407949,0.0077573108,0.0077449166,0.0070034494
complex_updates,0.009975545199999998,0.008611374299999999,0.008093749400000001,0.0081208687,0.00882472275,0.007506965699999998,0.00712916905,0.006980053
cover,0.010694165949999999,0.008972677299999999,0.008325762649999999,0.00831865625,0.009705206299999998,0.00796366685,0.007495356300000001,0.0071616865
insertsort,0.010269738049999996,0.008801490550000002,0.008022628449999998,0.007976883599999998,0.008823590899999996,0.007490321899999999,0.007005266549999998,0.00681534345
quicksort,0.41913819184999995,0.28064012399999994,0.22980533219999993,0.21243049465000002,0.24648899260000007,0.14227064749999999,0.11654262345,0.09581025824999997
jfdctint,0.01108982495,0.009084564950000002,0.00852854575,0.008602766250000001,0.0092024926,0.007584204449999998,0.007216933200000002,0.0069502959
cjpeg_wrbmp,0.010756538900000001,0.00970300865,0.0085133565,0.008421023249999998,0.00934233815,0.0077656772499999985,0.007440007050000001,0.007113074700000001
cubic,0.36264320640000003,0.24300129514999996,0.19921992890000004,0.18384395855000002,0.2812995301,0.16202281385,0.1329229857,0.10891424264999998
petrinet,0.009853886099999999,0.0084987303,0.007989825,0.0081648227,0.009230140650000001,0.0074551255499999995,0.0071236116,0.007806752149999999
ammunition,37.82664884775,25.165498855850004,20.503304615549997,18.856683534349997,21.272267608449994,12.038640374349999,9.800986011600003,7.950500262149999
ndes,0.0220198997,0.01665504675,0.014647338750000002,0.014918245000000002,0.014457890649999996,0.010611553249999999,0.0096309248,0.008923715000000002
fir2dim,0.011210461699999999,0.009415962699999997,0.00857673,0.008610505949999998,0.009193375899999998,0.007570043250000001,0.007232635300000001,0.006887102050000001
huff_dec,0.010713180899999999,0.009023204750000001,0.0084775175,0.009238866049999999,0.009196452599999998,0.0076154354,0.007180294100000001,0.006861774499999999
recursion,0.0107459287,0.008873179250000002,0.008357192500000001,0.0082466026,0.009445786250000001,0.0075766244999999986,0.00716796505,0.007073137900000001
test3,126.48338733534997,84.16791763305,68.6628209795,63.103076663699994,61.564403729499986,35.233375395399996,28.167375661,22.994167989149997
st,0.05066539754999999,0.0355754253,0.030183907500000006,0.02842142935,0.0257257797,0.017387043900000003,0.01506242785,0.013356838749999999
prime,0.010024049699999999,0.008651036749999999,0.00805582315,0.00812681235,0.00873346365,0.007519529600000001,0.0071560776000000005,0.0068741646999999975
