Tinf,Tinf_err,Tinf_per_ips,affinity,benchmark,flag,n_tasks,runtime
5.892,0.02,0.0639507984714,A53,bitcount,O2,1,0.01085383545
6.007,0.021,0.40900903204604994,A53,isqrt,O2,1,0.06808873515
8.01,0.34,0.020414837889,A53,fir2dim,O2,4,0.010194675600000001
9.935,0.053,0.046025738638875,A72,prime,O2,2,0.00926537265
13.36,0.14,0.060120947224000014,A72,adpcm_dec,O2,2,0.009000141800000002
10.789,0.029,0.07145474187087499,A72,statemate,O2,2,0.01324585075
5.755,0.019,0.05609540447075,A53,iir,O2,1,0.009747246650000001
8.249,0.028,0.08991155105900002,A72,h264_dec,O2,1,0.010899691000000001
5.967,0.02,0.8158031823708001,A53,cubic,O2,1,0.13671915240000002
9.91,0.053,1.4546377639044996,A72,epic,O2,1,0.14678483994999994
8.11,0.35,0.138049910516625,A53,isqrt,O2,4,0.06808873515
6.123,0.028,0.061136672315550006,A53,duff,O2,1,0.00998475785
5.999,0.018,0.16104557739620004,A53,lms,O2,1,0.02684540380000001
13.489,0.046,0.9899903530427747,A72,epic,O2,2,0.14678483994999994
8.39,0.35,0.021551803061250003,A53,adpcm_enc,O2,4,0.0102749955
10.06,0.033,0.3087756107905,A72,isqrt,O2,2,0.061386801349999985
7.3,0.12,0.0188081246025,A53,jfdctint,O2,4,0.0103058217
7.3,0.35,0.02513891902375,A53,rijndael_enc,O2,4,0.013774750149999999
11.617,0.063,0.05166407586527501,A72,recursion,O2,2,0.008894564150000001
10.432,0.041,0.04614358028479999,A72,countnegative,O2,2,0.008846545299999998
8.655,0.04,0.08269586834775,A72,bitonic,O2,1,0.00955469305
6.482,0.021,0.027494411923300002,A53,statemate,O2,4,0.0169666226
6.06,0.02,0.32853871163099996,A53,fft,O2,1,0.05421430885
7.87,0.34,0.5826960871385001,A53,gsm_enc,O2,4,0.29616065420000004
9.129,0.043,0.04101733142804999,A72,deg2rad,O2,2,0.008986160899999998
5.243,0.018,21.517478902411813,A53,susan,O2,1,4.104039462600002
6.103,0.05,5.699160907844148,A53,md5,O2,1,0.9338294130499998
5.0,0.23,0.06887375075,A53,rijndael_enc,O2,1,0.013774750149999999
9.016,0.094,1.6449785915164006,A72,gsm_enc,O2,1,0.18245104165000006
6.852,0.028,0.01669703351145,A53,iir,O2,4,0.009747246650000001
9.5,0.31,0.088021040175,A72,prime,O2,1,0.00926537265
8.3,0.041,1.3390420016950002,A72,cjpeg_transupp,O2,1,0.16133036165
5.439,0.018,0.056502027608249995,A53,countnegative,O2,1,0.01038831175
9.239,0.059,0.0828063585069,A72,adpcm_enc,O2,1,0.0089626971
4.96,0.23,85.43379307428799,A53,mpeg2,O2,1,17.224555055299998
12.723,0.045,0.09394813045132498,A72,lms,O2,2,0.014768235549999996
11.337,0.035,0.0526028614686,A72,bsort,O2,2,0.0092798556
9.021,0.034,0.1037289129987,A72,rijndael_enc,O2,1,0.0114986047
11.519,0.085,0.05544692132935001,A72,petrinet,O2,2,0.009627037300000002
6.598,0.025,0.0163832780454,A53,cover,O2,4,0.0099322692
11.72,0.11,0.9453959192690001,A72,cjpeg_transupp,O2,2,0.16133036165
12.07,0.037,0.052775690570499995,A72,ludcmp,O2,2,0.008744936299999999
6.86,0.16,0.0167178349205,A53,petrinet,O2,4,0.0097480087
9.229,0.034,0.13629604589094996,A72,lms,O2,1,0.014768235549999996
11.57,0.036,8.792031342646501,A72,susan,O2,2,1.5197979849
13.608,0.068,0.058394321987400015,A72,complex_updates,O2,2,0.008582351850000001
7.29,0.93,1.6270179199064998,A53,pm,O2,4,0.8927395993999999
7.74,0.23,0.01980321502275,A53,adpcm_dec,O2,4,0.01023421965
5.4,0.018,0.08991055323000001,A53,st,O2,1,0.016650102450000002
7.03,0.33,0.029262555055875005,A53,st,O2,4,0.016650102450000002
7.45,0.022,0.6017457443325002,A53,epic,O2,4,0.32308496340000004
5.25,0.3,0.057426923399999996,A53,fac,O2,1,0.0109384616
11.683,0.049,63.38107987166164,A72,mpeg2,O2,2,10.8501377851
6.73,0.024,0.43540875129300005,A53,cjpeg_transupp,O2,4,0.25878677640000003
8.44,0.022,0.09929463052599999,A72,st,O2,1,0.01176476665
8.87,0.031,0.04055605685325,A72,rad2deg,O2,2,0.009144544950000002
6.863,0.038,0.0186224681733375,A53,bitcount,O2,4,0.01085383545
10.01,0.14,0.09122733469849999,A72,fac,O2,1,0.009113619849999999
8.54,0.3,0.021314681655749998,A53,recursion,O2,4,0.00998345745
