affinity,benchmark,flag,intercept,slope
A53,bitcount,O2,5.568333333333334,0.3236666666666664
A72,bitcount,O2,5.859,2.7409999999999997
A53,isqrt,O2,5.306000000000001,0.7009999999999996
A72,isqrt,O2,5.864000000000001,2.098
A53,fir2dim,O2,5.176666666666667,0.7083333333333334
A72,fir2dim,O2,5.907000000000002,2.6999999999999993
A53,prime,O2,5.118,0.6229999999999999
A72,prime,O2,9.065,0.4350000000000005
A53,adpcm_dec,O2,5.468000000000001,0.568
A72,adpcm_dec,O2,5.379999999999999,3.99
A53,statemate,O2,4.960666666666667,0.38033333333333336
A72,statemate,O2,5.238999999999997,2.775000000000002
A53,iir,O2,5.389333333333333,0.3656666666666668
A72,iir,O2,5.853,3.064
A53,h264_dec,O2,5.800666666666667,0.2643333333333331
A72,h264_dec,O2,6.301,1.9480000000000004
A53,cubic,O2,5.648000000000001,0.3189999999999997
A72,cubic,O2,6.050000000000001,2.0009999999999994
A53,epic,O2,5.754,0.4240000000000001
A72,epic,O2,6.3309999999999995,3.5790000000000006
A53,duff,O2,5.800999999999999,0.32200000000000006
A72,duff,O2,6.3260000000000005,2.734
A53,lms,O2,5.643666666666666,0.35533333333333356
A72,lms,O2,5.734999999999999,3.4939999999999998
A53,adpcm_enc,O2,3.8166666666666664,1.1433333333333335
A72,adpcm_enc,O2,5.717999999999998,3.521000000000001
A53,jfdctint,O2,5.490666666666666,0.4523333333333334
A72,jfdctint,O2,6.075000000000001,2.4909999999999997
A53,rijndael_enc,O2,4.233333333333333,0.7666666666666666
A72,rijndael_enc,O2,5.695,3.3260000000000005
A53,recursion,O2,4.673333333333333,0.9666666666666665
A72,recursion,O2,5.593,3.0120000000000005
A53,countnegative,O2,5.003,0.4360000000000002
A72,countnegative,O2,5.286,2.5730000000000004
A53,bitonic,O2,4.573333333333334,0.5766666666666665
A72,bitonic,O2,5.728999999999999,2.926
A53,fft,O2,5.726999999999999,0.3330000000000002
A72,fft,O2,8.602999999999998,1.8370000000000015
A53,gsm_enc,O2,5.303333333333334,0.6416666666666666
A72,gsm_enc,O2,5.8629999999999995,3.1530000000000005
A53,deg2rad,O2,5.729333333333333,0.25966666666666666
A72,deg2rad,O2,10.391,-0.6310000000000002
A53,susan,O2,4.933999999999999,0.30900000000000016
A72,susan,O2,5.125999999999998,3.2220000000000013
A53,md5,O2,5.167333333333333,0.9356666666666668
A72,md5,O2,6.261000000000001,2.2609999999999992
A53,cjpeg_transupp,O2,3.8899999999999992,0.7100000000000003
A72,cjpeg_transupp,O2,4.880000000000001,3.42
A53,mpeg2,O2,4.32,0.64
A72,mpeg2,O2,5.815000000000001,2.9339999999999993
A53,bsort,O2,6.0633333333333335,0.17666666666666644
A72,bsort,O2,5.3530000000000015,2.991999999999999
A53,petrinet,O2,5.437333333333332,0.355666666666667
A72,petrinet,O2,5.712999999999999,2.9030000000000005
A53,cover,O2,3.507333333333334,0.7726666666666665
A72,cover,O2,4.574000000000002,3.062999999999999
A53,ludcmp,O2,5.496,0.446
A72,ludcmp,O2,5.895999999999997,3.0870000000000015
A53,complex_updates,O2,5.110666666666668,0.26633333333333314
A72,complex_updates,O2,4.988000000000001,4.309999999999999
A53,pm,O2,5.550000000000001,0.4349999999999999
A72,pm,O2,6.211000000000002,2.7459999999999987
A53,st,O2,4.856666666666667,0.5433333333333333
A72,st,O2,5.09,3.3499999999999996
A53,fac,O2,4.783333333333333,0.4666666666666668
A72,fac,O2,11.02,-1.0099999999999998
A53,rad2deg,O2,5.183999999999999,0.5140000000000002
A72,rad2deg,O2,5.804000000000002,1.5329999999999986
A53,quicksort,O2,5.241333333333333,0.5146666666666665
A72,quicksort,O2,5.716000000000001,2.8629999999999995
A53,gsm_dec,O2,5.6306666666666665,0.37533333333333346
A72,gsm_dec,O2,5.760000000000002,3.289999999999999
A53,huff_enc,O2,5.499,0.26099999999999984
A72,huff_enc,O2,9.588,-0.42799999999999905
A53,cosf,O2,5.165333333333333,0.3336666666666668
A72,cosf,O2,7.845000000000002,1.7849999999999984
A53,ndes,O2,5.410666666666668,0.40433333333333304
A72,ndes,O2,5.948000000000002,2.483999999999998
A53,dijkstra,O2,5.829666666666666,0.35533333333333356
A72,dijkstra,O2,6.399999999999999,2.0010000000000012
A53,test3,O2,5.0,0.625
A72,test3,O2,5.836,3.019
A53,rijndael_dec,O2,5.278666666666666,0.5263333333333332
A72,rijndael_dec,O2,6.110000000000001,3.1449999999999996
A53,insertsort,O2,5.571333333333333,0.2966666666666666
A72,insertsort,O2,5.994,1.9500000000000002
A53,ammunition,O2,5.504666666666668,0.44133333333333297
A72,ammunition,O2,6.475999999999999,2.258000000000001
A53,minver,O2,5.557333333333333,0.3756666666666666
A72,minver,O2,5.93,2.9879999999999995
A53,matrix1,O2,5.432666666666667,0.6393333333333334
A72,matrix1,O2,6.335000000000001,2.914999999999999
A53,binarysearch,O2,5.389333333333334,0.4876666666666664
A72,binarysearch,O2,5.604000000000003,2.7879999999999985
A53,huff_dec,O2,5.615666666666667,0.25333333333333324
A72,huff_dec,O2,6.0440000000000005,1.537
A53,fmref,O2,5.496,0.30599999999999977
A72,fmref,O2,5.891,2.7590000000000003
A53,sha,O2,4.948,0.6829999999999998
A72,sha,O2,5.513999999999999,3.5980000000000008
A53,filterbank,O2,3.9433333333333334,1.1066666666666665
A72,filterbank,O2,6.934000000000001,2.805999999999999
