affinity,benchmark,intercept,slope,runtime,0
A53,dijkstra,5.6082,0.2281,0.017534,0
A72,dijkstra,5.6123,0.8893,0.010800,0
A53,fft,5.6264,0.2018,0.000333,0
A72,fft,5.5734,1.2092,0.000112,0
A53,membench_rw_r_1M,5.9343,0.5256,0.827628,0
A72,membench_rw_r_1M,6.6590,0.7396,0.814048,0
A53,membench_rw_r_4M,6.9065,0.2906,7.216185,0
A72,membench_rw_r_4M,6.9662,0.5577,5.466926,0
A53,prime,5.6205,0.2049,0.000000,0
A72,prime,5.5908,1.0277,0.000000,0
A53,sha,5.6145,0.2746,0.000454,0
A72,sha,5.5041,1.4751,0.000170,0
A53,susan,5.6874,0.1412,0.020500,0
A72,susan,5.6283,0.9792,0.005639,0
A53,test3,5.7041,0.2694,0.072286,0
A72,test3,5.6342,1.0152,0.034852,0
A53,tinyrenderer,6.4040,0.2912,0.029665,0
A72,tinyrenderer,6.4438,0.8922,0.017053,0
A53,wd_dijkstra,5.9529,0.4064,0.012924,0
A72,wd_dijkstra,6.1927,1.1082,0.005462,0
A53,wd_fft,5.6852,0.3664,0.000119,0
A72,wd_fft,5.7640,1.0904,0.000059,0
A53,wd_sort,5.9119,0.5014,0.222350,0
A72,wd_sort,5.7154,1.1744,0.178359,0
