affinity,benchmark,intercept,slope,runtime,0
A53,dijkstra,5.6082,0.2281,0.017534,0
A72,dijkstra,5.6123,0.8893,0.010800,0
A53,fft,5.6264,0.2018,0.000333,0
A72,fft,5.5734,1.2092,0.000112,0
A53,sha,5.6145,0.2746,0.000454,0
A72,sha,5.5041,1.4751,0.000170,0
A53,test3,5.7041,0.2694,0.072286,0
A72,test3,5.6342,1.0152,0.034852,0
A53,tinyrenderer,6.4040,0.2912,0.029665,0
A72,tinyrenderer,6.4438,0.8922,0.017053,0
A53,wd_fft,5.6852,0.3664,0.000119,0
A72,wd_fft,5.7640,1.0904,0.000059,0
A53,wd_sort,5.9119,0.5014,0.222350,0
A72,wd_sort,5.7154,1.1744,0.178359,0
