file;problem_version;solver;solve_time;window_length_sum
solution_1_0.json;1;longest tasks first solver;0;142
solution_1_1.json;1;random task order solver;0;162
solution_2_0.json;1;longest tasks first solver;0;166
solution_2_1.json;1;random task order solver;0;198
solution_3_0.json;1;longest tasks first solver;0;0
solution_3_1.json;1;random task order solver;0;0
solution_4_0.json;1;longest tasks first solver;0;163
solution_4_1.json;1;random task order solver;0;196
solution_5_0.json;1;longest tasks first solver;0;149
solution_5_1.json;1;random task order solver;0;162
solution_6_0.json;1;longest tasks first solver;0;127
solution_6_1.json;1;random task order solver;0;131
solution_7_0.json;1;longest tasks first solver;0;117
solution_7_1.json;1;random task order solver;0;134
solution_8_0.json;1;longest tasks first solver;0;125
solution_8_1.json;1;random task order solver;1;150
solution_9_0.json;1;longest tasks first solver;0;102
solution_9_1.json;1;random task order solver;0;150
solution_10_0.json;1;longest tasks first solver;0;152
solution_10_1.json;1;random task order solver;0;198
solution_11_0.json;1;longest tasks first solver;0;118
solution_11_1.json;1;random task order solver;0;148
solution_12_0.json;1;longest tasks first solver;0;140
solution_12_1.json;1;random task order solver;0;194
solution_13_0.json;1;longest tasks first solver;0;148
solution_13_1.json;1;random task order solver;0;183
solution_14_0.json;1;longest tasks first solver;0;100
solution_14_1.json;1;random task order solver;0;136
solution_15_0.json;1;longest tasks first solver;0;171
solution_15_1.json;1;random task order solver;0;193
