# Started at: 2022-04-12 18:35:19 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=10 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8a/cpu//inst_0605.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8a/cpu//inst_0605.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09965,39900,40700,41100,39100,39500,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,33.3333,0,0,50,0,0
155.303,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
155.65,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
658.756,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,
668.741,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,
992.165,40100,40900,41100,39300,39300,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,26.209,615333.606,,,,,,,,,,78.5714,5.05051,85.8586,11,21.6495,3.06122
1159.09,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,
1181.73,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,
1661.53,,,,,,,,,,,,,,,,,,,,367,,,,,,,,,
1692.11,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,
1991.9,39700,40500,40700,39300,39100,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,615339.364,,,,,,,,,,78,0,87.2549,0,24,0
2161.85,,,,,,,,,,,,,,,,,,,,466,,,,,,,,,
2205.06,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,
2664.21,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,
2715.61,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,
2992.58,39700,40500,40700,39100,38900,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,615345.147,,,,,,,,,,77.7778,1,86.8687,0,24,0
3164.55,,,,,,,,,,,,,,,,,,,,699,,,,,,,,,
3228.38,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,
3666.84,,,,,,,,,,,,,,,,,,,,833,,,,,,,,,
3738.82,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,
3992.22,39700,40500,40900,39100,39300,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,615350.939,,,,,,,,,,78.2178,0,86.8687,0,23.4694,0
4167.12,,,,,,,,,,,,,,,,,,,,932,,,,,,,,,
4251.7,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,
4669.52,,,,,,,,,,,,,,,,,,,,1066,,,,,,,,,
4762.14,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,
