# Started at: 2022-04-08 20:45:02 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=10 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8b/all//inst_0659.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8b/all//inst_0659.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11698,49900,49700,49900,48700,49100,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,50,0,0,0,50
165.259,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
206.526,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
992.402,49500,49300,49700,48300,49300,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,8.08081,26.2626,25.5102,2,40,5.15464
1469.64,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1992.55,49500,49100,49500,48300,48700,70000,896000,896000,896000,896000,600000,600000,24.579,671483.668,,,,,,,,,,3.9604,26,30.303,1,42,7.92079
2992.06,49700,48900,49500,48100,48700,70000,896000,896000,896000,896000,600000,600000,,671489.450,,,,,,,,,,9.09091,25,28.7129,0,42.4242,2.0202
3392.55,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
3992.75,49500,49300,49100,48100,48700,70000,896000,896000,896000,896000,600000,600000,,671495.282,,,,,,,,,,3.9604,25.2525,25,0,40,8.16327
4207.15,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
4992.45,49500,48900,49100,48100,48500,70000,896000,896000,896000,896000,600000,600000,,671501.126,,,,,,,,,,8.08081,26.7327,26,1,43,7.92079
5314.8,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
5992.56,49300,48900,49100,48100,48700,70000,896000,896000,896000,896000,600000,600000,,671507.043,,,,,,,,,,3.0303,25.7426,25,1,46.4646,6.06061
6993.01,49100,48900,49100,47700,48700,70000,896000,896000,896000,896000,600000,600000,,671512.827,,,,,,,,,,5.88235,25.2525,25,1.9802,38,12.2449
7237.82,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
7992.68,49100,48900,49100,47700,48300,70000,896000,896000,896000,896000,600000,600000,,671518.720,,,,,,,,,,7.84314,25,26.7327,1,45.5446,5
8238.57,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
8992.98,49100,48700,49100,47900,48300,70000,896000,896000,896000,896000,600000,600000,,671524.479,,,,,,,,,,5.05051,32.3529,25,0,39.3939,5.94059
9158.27,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
9992.09,49100,48700,48900,47700,48900,70000,896000,896000,896000,896000,600000,600000,,671530.263,,,,,,,,,,12,25.2525,26,1,38.3838,6.06061
