# Started at: 2022-04-14 14:29:01 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=30 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/scale-3x/imx8b/all//inst_0878.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/scale-3x/imx8b/all//inst_0878.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10748,46000,45400,45600,44600,45400,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,0,33.3333,0,0,0,0
143.936,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
643.271,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,
990.538,46600,46200,46200,45000,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,27.528,1102678.170,,,,,,,,,,83.6735,15.3061,3.0303,80.8081,87.6289,90
1991.11,46400,46600,46400,45400,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102685.147,,,,,,,,,,3,0.990099,0,10,100,100
2990.91,46400,45800,46400,45000,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102691.420,,,,,,,,,,0,0,6.06061,6,35.6436,60
3120.65,,,,,,,,,,,,,,,,,,504,,,,,,,,,,,
3621.16,,,,,,,,,,,,,,,,,,836,,,,,,,,,,,
3990.64,47000,46600,46600,45200,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102698.562,,,,,,,,,,84,0,9.27835,79.2079,91,86.8687
4990.35,46800,46800,46800,45600,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102705.472,,,,,,,,,,1,0,6.06061,5.05051,100,100
5990.83,46400,46000,46600,45200,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102711.800,,,,,,,,,,1,0,12.1212,0,33.6634,60
6119.58,,,,,,,,,,,,,,,,,,1061,,,,,,,,,,,
6620.04,,,,,,,,,,,,,,,,,,1393,,,,,,,,,,,
6991.2,46800,46600,47000,45600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102718.858,,,,,,,,,,84.3137,13.1313,1,78,90.9091,87.8788
7990.84,47200,46800,46800,45600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102725.838,,,,,,,,,,5.10204,3.9604,0,5.10204,100,100
8990.98,46800,46400,46800,45400,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102732.083,,,,,,,,,,7,0.990099,6,0,32.3232,59.596
9120.77,,,,,,,,,,,,,,,,,,1619,,,,,,,,,,,
9620.91,,,,,,,,,,,,,,,,,,1951,,,,,,,,,,,
9990.53,47500,47000,47200,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102739.204,,,,,,,,,,84.3137,2.04082,10.2041,78.7879,90,87.1287
10990.9,47000,47000,46800,45600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,27.539,1102746.168,,,,,,,,,,0,4,0,11,100,100
11991.1,47000,46200,46800,45600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102752.374,,,,,,,,,,6.06061,0,0,5.05051,32,60.396
12120.6,,,,,,,,,,,,,,,,,,2177,,,,,,,,,,,
12620.7,,,,,,,,,,,,,,,,,,2509,,,,,,,,,,,
12990.2,47500,47000,47200,46000,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102759.536,,,,,,,,,,85,5.05051,7.07071,79,88,90
13990.8,47400,47200,47400,46000,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102766.451,,,,,,,,,,1.9802,0,9.18367,6,100,100
14991.1,47500,47000,47200,45600,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102772.744,,,,,,,,,,1,0,7,4.08163,33.3333,60
15119.9,,,,,,,,,,,,,,,,,,2737,,,,,,,,,,,
15620.9,,,,,,,,,,,,,,,,,,3068,,,,,,,,,,,
15990.6,47500,47400,47500,46400,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102779.902,,,,,,,,,,84,2,13.8614,79,86.8687,87
16991.1,47500,47200,47500,46000,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102785.079,,,,,,,,,,1,6.06061,0,7.07071,100,100
17142.8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
17991,47200,46800,47200,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102791.674,,,,,,,,,,1.9802,5.94059,0.990099,11.7647,33,59.596
18119.7,,,,,,,,,,,,,,,,,,3294,,,,,,,,,,,
18619.3,,,,,,,,,,,,,,,,,,3624,,,,,,,,,,,
18990.6,47700,47500,47700,46400,47000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102798.365,,,,,,,,,,83.8384,5.15464,6.12245,78.2178,86.8687,87.1287
19990.7,47400,47400,47500,46200,47000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102805.431,,,,,,,,,,1.0101,1,0,14,100,100
20990.7,47200,46800,47400,45800,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,27.517,1102811.982,,,,,,,,,,0,0,0,15.1515,32.3232,60.396
21119.6,,,,,,,,,,,,,,,,,,3851,,,,,,,,,,,
21619.9,,,,,,,,,,,,,,,,,,4183,,,,,,,,,,,
21991.1,47700,47400,47400,46000,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102818.730,,,,,,,,,,84.3137,3.0303,11,78,87.1287,87.7551
22991,47500,47400,47500,46000,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,600000,600000,,1102825.789,,,,,,,,,,1,1,11.3402,0,100,100
