instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0957,RandomGenerator,0,4,1000,4.44022,3.99157,2.7112342600000003,6.395446948785509
inst_0014,RandomGenerator,0,4,1000,3.585,3.86042,1.22418295,6.184162334255104
inst_0419,RandomGenerator,0,4,1000,4.12142,3.63399,2.31710336,6.5987043325994374
inst_0127,RandomGenerator,0,3,1000,1.7249,1.73054,0.5273119300000001,5.839735400667959
inst_0783,RandomGenerator,0,5,1000,4.94264,4.426209999999999,2.16994583,6.253312466875564
inst_0028,RandomGenerator,0,4,1000,3.25687,4.33807,1.31499205,6.284151297674847
inst_0803,RandomGenerator,0,3,1000,3.3494200000000003,3.46364,1.88147054,6.230711829577649
inst_0250,RandomGenerator,0,5,1000,2.7743900000000004,5.34881,2.1014186900000005,6.709246403655771
inst_0281,RandomGenerator,0,2,1000,4.59672,3.90623,2.4018373699999995,6.72601347678127
inst_0257,RandomGenerator,0,6,1000,5.46575,7.3735,4.12005248,6.893538830761588
inst_0931,RandomGenerator,0,1,1000,1.2995,0.86624,0.72677536,5.773471408276929
inst_0064,RandomGenerator,0,4,1000,3.24483,3.42204,1.87142347,7.406388938541167
inst_0333,RandomGenerator,0,2,1000,2.8745,2.4071100000000003,0.9269457,5.772365243561827
inst_0877,RandomGenerator,0,6,1000,2.86842,4.06787,1.5353490900000002,5.988803801568661
inst_0711,RandomGenerator,0,3,1000,3.46258,3.04973,2.1363612200000004,6.565409113171432
inst_0468,RandomGenerator,0,1,1000,1.47839,0.69614,0.62026074,6.017353519526373
inst_0456,RandomGenerator,0,5,1000,3.45441,4.32282,2.71487649,6.906573200689702
inst_0006,RandomGenerator,0,4,1000,3.0413500000000004,3.56194,1.82772151,6.542130842618133
inst_0932,RandomGenerator,0,2,1000,1.34918,1.0407700000000002,0.5126620000000001,5.555319436179219
inst_0146,RandomGenerator,0,5,1000,3.73886,4.97495,2.26719512,5.976573242994273
inst_0178,RandomGenerator,0,2,1000,1.88379,1.72204,0.49756908,5.875552133662194
inst_0090,RandomGenerator,0,5,1000,3.99462,5.34607,2.8547351300000003,6.839036280113511
inst_0433,RandomGenerator,0,5,1000,3.68431,5.24298,2.9138085600000005,7.398079076841234
inst_0929,RandomGenerator,0,2,1000,4.05562,3.31531,1.66835524,6.342242620586512
inst_0579,RandomGenerator,0,3,1000,2.7629200000000003,3.15563,1.71490639,6.2076086331406035
inst_0782,RandomGenerator,0,4,1000,3.23785,4.1626,0.99448986,5.977783305357974
inst_0780,RandomGenerator,0,4,1000,3.3109,4.30109,1.65242369,7.09009564216174
inst_0050,RandomGenerator,0,3,1000,1.81385,3.1147,0.35961718,5.33875975581093
inst_0705,RandomGenerator,0,1,1000,5.981559999999999,3.09425,3.00451675,7.605421121983045
inst_0328,RandomGenerator,0,2,1000,2.70712,1.99451,1.47564244,6.33554130796172
inst_0171,RandomGenerator,0,2,1000,2.79537,2.1489000000000003,1.9714316400000005,6.909606306297901
inst_0367,RandomGenerator,0,3,1000,2.48117,2.77598,1.04770998,5.559958498444041
inst_0210,RandomGenerator,0,2,1000,1.47154,1.49517,0.5479224399999999,5.683132103918332
inst_0912,RandomGenerator,0,3,1000,3.71649,4.05345,1.2446438700000002,6.269125000006171
inst_0557,RandomGenerator,0,2,1000,0.44934,0.671,0.33953854,5.422957704234
inst_0880,RandomGenerator,0,3,1000,2.16609,2.20261,1.41374512,6.518135932629444
inst_0845,RandomGenerator,0,4,1000,2.5282,3.52836,1.59865064,6.281983655365659
inst_0854,RandomGenerator,0,3,1000,1.06631,1.6440800000000002,1.0875604200000002,5.550534690839373
inst_0655,RandomGenerator,0,2,1000,3.13811,2.8242700000000003,1.0101041200000005,6.590580955654631
inst_0712,RandomGenerator,0,3,1000,1.86863,1.91891,1.00437692,6.082147808055095
inst_0795,RandomGenerator,0,4,1000,7.347869999999999,5.696540000000001,5.001616050000001,9.062612504502859
inst_0011,RandomGenerator,0,1,1000,0.37325,0.37033,0.24182549,5.337661899329882
inst_0754,RandomGenerator,0,4,1000,5.71862,4.6662,3.70277962,7.045639940639163
inst_0052,RandomGenerator,0,4,1000,2.53661,3.11869,0.6802749900000001,5.805103230861836
inst_0486,RandomGenerator,0,4,1000,3.3492,4.01068,2.5877844199999998,6.652742989424969
inst_0898,RandomGenerator,0,4,1000,2.97757,4.6086,1.48942279,6.211006983902715
inst_0230,RandomGenerator,0,2,1000,4.14733,3.40925,2.15942567,6.624117517650404
inst_0821,RandomGenerator,0,1,1000,0.2535799999999999,0.28815,0.03774765,5.241585175762832
inst_0812,RandomGenerator,0,2,1000,2.8205,2.13394,1.58989558,6.5951345851432475
inst_0715,RandomGenerator,0,4,1000,4.34645,3.48482,2.56040497,7.0880895595615145
inst_0636,RandomGenerator,0,3,1000,5.80434,5.32563,4.18645712,7.300565571967151
inst_0150,RandomGenerator,0,5,1000,3.2598000000000003,7.14518,0.91934958,5.702485743785058
inst_0378,RandomGenerator,0,3,1000,2.99691,4.580299999999999,1.1782491,6.1659366593653715
