instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0957,RandomGenerator,0,4,1000,3.85203,3.67518,2.42806587,7.175989914246434
inst_0014,RandomGenerator,0,4,1000,3.305,3.75467,1.23761795,5.7716187939488535
inst_0419,RandomGenerator,0,4,1000,3.75193,3.34423,2.12964197,6.4026787423887646
inst_0127,RandomGenerator,0,3,1000,1.41452,1.63588,0.4656262,5.787352624507731
inst_0783,RandomGenerator,0,5,1000,4.44304,4.17789,2.16192135,6.035170577805077
inst_0028,RandomGenerator,0,4,1000,2.91442,3.8680400000000006,1.14407703,6.121556109054291
inst_0803,RandomGenerator,0,3,1000,3.06831,3.1080399999999995,1.68424509,6.211972391231194
inst_0250,RandomGenerator,0,5,1000,2.49079,4.79554,1.83661422,6.316315797932183
inst_0281,RandomGenerator,0,2,1000,4.29398,3.7132,2.2420446700000003,6.774148847415366
inst_0257,RandomGenerator,0,6,1000,4.97453,6.619009999999999,3.75228483,7.324453822209573
inst_0931,RandomGenerator,0,1,1000,1.10755,0.7626900000000001,0.63989691,5.729835947541973
inst_0064,RandomGenerator,0,4,1000,2.74674,3.12671,1.67866508,6.645481239897491
inst_0333,RandomGenerator,0,2,1000,2.48712,2.15735,0.81487374,5.624612492251043
inst_0877,RandomGenerator,0,6,1000,2.86541,3.8973,1.5155366300000004,6.277794841391791
inst_0711,RandomGenerator,0,3,1000,3.21254,2.79363,1.9550759,6.24746292537681
inst_0468,RandomGenerator,0,1,1000,1.19057,0.5973900000000001,0.5322744900000002,5.942918242956082
inst_0456,RandomGenerator,0,5,1000,3.0814700000000004,3.97148,2.55516019,6.534877931969901
inst_0006,RandomGenerator,0,4,1000,2.59383,3.19001,1.61827782,6.290577411238909
inst_0932,RandomGenerator,0,2,1000,1.12769,0.96546,0.50303535,5.650048428984871
inst_0146,RandomGenerator,0,5,1000,3.2014,4.40728,2.0897468,6.149964647923767
inst_0178,RandomGenerator,0,2,1000,1.51976,1.40461,0.3982698299999999,5.774259842988646
inst_0090,RandomGenerator,0,5,1000,3.40154,4.636339999999999,2.4726557600000003,6.623714055612692
inst_0433,RandomGenerator,0,5,1000,3.24927,4.741759999999999,2.55583377,6.924878814621576
inst_0929,RandomGenerator,0,2,1000,3.63431,3.08266,1.5644893,5.969166858031852
inst_0579,RandomGenerator,0,3,1000,2.75017,2.9988200000000003,1.5891698800000005,6.553669733617432
inst_0782,RandomGenerator,0,4,1000,2.85888,3.68636,0.8828256999999999,5.916328523027722
inst_0780,RandomGenerator,0,4,1000,2.88655,3.919610000000001,1.4558022900000005,6.303451389191304
inst_0050,RandomGenerator,0,3,1000,1.77695,2.88235,0.3500707,5.493345371403242
inst_0705,RandomGenerator,0,1,1000,5.543010000000001,2.86374,2.78069154,6.813399759034551
inst_0328,RandomGenerator,0,2,1000,2.23888,1.6309900000000002,1.2059070800000002,6.06483115072542
inst_0171,RandomGenerator,0,2,1000,2.3109300000000004,1.76947,1.62321161,6.472499537510124
inst_0367,RandomGenerator,0,3,1000,2.48248,2.6088400000000003,1.01447272,5.693353700369674
inst_0210,RandomGenerator,0,2,1000,1.18336,1.28788,0.47201344,5.638361054672862
inst_0912,RandomGenerator,0,3,1000,3.18297,3.637350000000001,1.07632359,6.15041368477783
inst_0557,RandomGenerator,0,2,1000,0.5415699999999999,0.7108199999999999,0.3630132,5.493643653153829
inst_0880,RandomGenerator,0,3,1000,1.79238,1.77005,1.12541093,6.3399074701733085
inst_0845,RandomGenerator,0,4,1000,2.50694,3.26248,1.4642885,6.182820660806454
inst_0854,RandomGenerator,0,3,1000,0.96171,1.5079600000000002,0.9996269,5.751153587909396
inst_0655,RandomGenerator,0,2,1000,2.76188,2.51032,0.86392992,6.259926165576353
inst_0712,RandomGenerator,0,3,1000,1.58013,1.86065,0.9600991,6.276192020411738
inst_0795,RandomGenerator,0,4,1000,6.778380000000001,5.20589,4.5462989700000005,7.361858677081654
inst_0011,RandomGenerator,0,1,1000,0.46672,0.3851099999999999,0.25147683,5.428650612359331
inst_0754,RandomGenerator,0,4,1000,5.37176,4.433210000000001,3.518505960000001,6.53944452936631
inst_0052,RandomGenerator,0,4,1000,2.15113,2.62551,0.6260262500000001,5.903819188013886
inst_0486,RandomGenerator,0,4,1000,3.10663,3.49542,2.23775512,6.415999591105727
inst_0898,RandomGenerator,0,4,1000,2.6399700000000004,4.09601,1.35676603,6.243832472544028
inst_0230,RandomGenerator,0,2,1000,3.82963,3.09848,1.94550008,6.9826479354131985
inst_0821,RandomGenerator,0,1,1000,0.2248899999999999,0.29248,0.03831488,5.342577400370041
inst_0812,RandomGenerator,0,2,1000,2.35097,1.74958,1.30239562,6.341114639623067
inst_0715,RandomGenerator,0,4,1000,3.98499,3.16701,2.33328508,6.4620886797470956
inst_0636,RandomGenerator,0,3,1000,5.49838,4.93235,3.8706425,7.290112008593358
inst_0150,RandomGenerator,0,5,1000,2.93887,6.36356,0.7982582900000001,5.948186559201417
inst_0378,RandomGenerator,0,3,1000,2.59511,3.95457,1.02101626,6.253713056477702
inst_0838,RandomGenerator,0,4,1000,3.16901,3.54681,2.50564307,6.808908209670313
inst_0275,RandomGenerator,0,4,1000,1.67053,2.25706,0.93382214,5.67221938895773
inst_0499,RandomGenerator,0,4,1000,2.34502,3.3119,1.34362204,6.195671001856252
inst_0930,RandomGenerator,0,3,1000,1.67313,1.81534,0.40980594,5.557985574204783
inst_0667,RandomGenerator,0,4,1000,2.48216,3.00435,2.1299457200000003,6.776775443307031
inst_0991,RandomGenerator,0,3,1000,1.3596700000000002,1.82403,0.8284885900000002,5.924259735401194
inst_0808,RandomGenerator,0,2,1000,2.8486,2.0051500000000004,1.2186832,5.848734242150277
inst_0689,RandomGenerator,0,3,1000,2.50609,2.3864,0.96463154,5.8173467781517285
inst_0227,RandomGenerator,0,5,1000,2.39008,3.06208,1.7347939300000002,7.051580809362353
inst_0814,RandomGenerator,0,5,1000,2.94737,4.12916,1.5321670100000002,5.93008384609728
inst_0173,RandomGenerator,0,3,1000,2.19275,2.66963,1.00895413,6.2795229329741415
inst_0856,RandomGenerator,0,3,1000,2.33141,2.11202,1.07836822,6.141047426172598
inst_0985,RandomGenerator,0,3,1000,2.74604,2.92195,0.53121134,5.562075569137846
inst_0913,RandomGenerator,0,5,1000,3.16145,4.59972,2.30102803,6.54940626340352
inst_0855,RandomGenerator,0,4,1000,1.58206,3.1836199999999995,0.59028932,5.7629952747025035
inst_0678,RandomGenerator,0,3,1000,1.23051,1.68937,0.4294144299999999,5.641707887643844
inst_0964,RandomGenerator,0,2,1000,1.22398,1.42633,0.42626303,5.5074859222672545
inst_0175,RandomGenerator,0,4,1000,4.53933,4.147830000000001,2.9885892300000005,6.682054970747113
inst_0757,RandomGenerator,0,3,1000,2.38125,2.26683,1.5426399699999995,5.979232300307725
