instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0957,RandomGenerator,0,4,1000,3.39467,5.19891,1.19281493,5.948189193194954
inst_0014,RandomGenerator,0,2,1000,1.62548,1.59076,0.8351301200000001,5.902338171058074
inst_0419,RandomGenerator,0,2,1000,1.58159,1.5234100000000002,0.4702904300000001,5.482895839303803
inst_0127,RandomGenerator,0,2,1000,1.6021599999999998,1.3108499999999998,0.91718166,6.054397430572391
inst_0783,RandomGenerator,0,3,1000,3.57367,3.13351,1.51518457,5.963126310046925
inst_0028,RandomGenerator,0,4,1000,4.01847,3.92077,2.0249042100000003,6.619909156430118
inst_0803,RandomGenerator,0,4,1000,5.112760000000001,4.98621,3.2539415100000006,7.099637785970184
inst_0250,RandomGenerator,0,4,1000,3.1667,3.36561,1.7746035700000002,6.196658653596587
inst_0281,RandomGenerator,0,3,1000,1.88858,2.09312,0.91584242,5.599342581524109
inst_0257,RandomGenerator,0,1,1000,0.47289,0.5032500000000001,0.21790725,5.426998602886216
inst_0931,RandomGenerator,0,2,1000,1.32484,1.15411,0.29229234,5.707708016901498
inst_0064,RandomGenerator,0,2,1000,1.13933,0.9825,0.3653566199999999,5.50299437982433
inst_0333,RandomGenerator,0,2,1000,3.94749,2.64849,2.1066697699999994,6.267384003071339
inst_0877,RandomGenerator,0,2,1000,0.9232,1.16917,0.15746168,5.436136265016072
inst_0711,RandomGenerator,0,2,1000,0.43363,0.8649200000000001,0.12939761,5.404979739763044
inst_0468,RandomGenerator,0,4,1000,3.2369800000000004,4.32383,1.7775090900000003,5.877899154892151
inst_0456,RandomGenerator,0,3,1000,3.16786,3.2477,1.04941439,5.916772287159144
inst_0006,RandomGenerator,0,3,1000,3.55599,2.8602100000000004,1.67675856,6.444092017506547
inst_0932,RandomGenerator,0,4,1000,1.52717,2.41624,0.82623849,6.065622951366816
inst_0146,RandomGenerator,0,4,1000,2.3427,2.7234,1.23693534,6.122359032668596
inst_0178,RandomGenerator,0,3,1000,1.7686,2.34315,0.9299183,6.535076096485653
inst_0090,RandomGenerator,0,3,1000,3.54503,3.88667,1.34473552,5.761172249083625
inst_0433,RandomGenerator,0,3,1000,3.87903,2.94033,2.24095082,6.468921640441266
inst_0929,RandomGenerator,0,2,1000,0.7246600000000001,0.92592,0.59280906,5.559200504873872
inst_0579,RandomGenerator,0,3,1000,2.6189,2.39579,1.16794118,5.809265410653672
inst_0782,RandomGenerator,0,1,1000,2.16632,1.79515,0.4451972,5.465949468763852
inst_0780,RandomGenerator,0,2,1000,3.68343,3.32443,1.67466495,6.426635723602153
inst_0050,RandomGenerator,0,4,1000,2.5183,2.55021,1.98625654,6.283945349654182
inst_0705,RandomGenerator,0,2,1000,3.82173,2.73762,2.3633125,6.519534678730793
inst_0328,RandomGenerator,0,4,1000,3.56691,4.37348,2.10640232,6.410019689233364
inst_0171,RandomGenerator,0,3,1000,2.80158,3.43019,1.3507048200000005,5.8145938602212235
inst_0367,RandomGenerator,0,2,1000,0.63536,0.8703800000000002,0.5056907800000001,5.611844865944426
inst_0210,RandomGenerator,0,3,1000,2.13998,2.48642,0.5730839000000001,5.713473027609789
inst_0912,RandomGenerator,0,4,1000,2.1142600000000003,3.4519100000000007,1.24064008,6.173484566288851
inst_0557,RandomGenerator,0,3,1000,2.3250300000000004,2.80551,0.83707518,5.6872050202010405
inst_0880,RandomGenerator,0,4,1000,2.45127,3.5159400000000005,1.36171161,6.428070150375307
inst_0845,RandomGenerator,0,4,1000,4.30717,4.59481,2.15272043,5.93887972593469
inst_0854,RandomGenerator,0,5,1000,3.32475,3.42211,2.04702904,5.898369782220263
inst_0655,RandomGenerator,0,4,1000,1.7754100000000002,2.36607,1.2048300200000002,6.102356809576219
inst_0712,RandomGenerator,0,4,1000,2.51325,3.73169,1.5370332399999995,6.347634368261086
inst_0795,RandomGenerator,0,3,1000,3.46657,2.60854,2.29393375,6.516368062299391
inst_0011,RandomGenerator,0,3,1000,1.36144,1.89656,0.7705933300000001,5.9534392025698715
inst_0754,RandomGenerator,0,2,1000,1.45177,1.80715,0.17860639,5.39430527302213
inst_0052,RandomGenerator,0,1,1000,3.17558,2.13821,0.89163357,5.988705921741037
inst_0486,RandomGenerator,0,2,1000,0.97268,1.3195,0.8316339599999999,5.705384706590815
inst_0898,RandomGenerator,0,2,1000,3.52768,2.33314,1.78005853,6.136761208966206
inst_0230,RandomGenerator,0,4,1000,2.81613,2.50159,1.7638415700000003,6.3610068153647115
inst_0821,RandomGenerator,0,2,1000,2.83471,2.73692,0.62402764,5.674216312221043
inst_0812,RandomGenerator,0,2,1000,3.39904,2.24571,1.75386396,6.574326619199735
inst_0715,RandomGenerator,0,2,1000,1.4917,1.34657,0.79123168,5.570705766927511
inst_0636,RandomGenerator,0,5,1000,3.19039,3.53615,2.1816821,6.398517028801206
inst_0150,RandomGenerator,0,2,1000,1.99592,1.72037,0.84094704,5.733330024713814
inst_0378,RandomGenerator,0,5,1000,4.59801,5.22653,2.9135507800000005,6.5244091681643805
inst_0838,RandomGenerator,0,3,1000,2.34842,2.09616,1.33434225,5.99239004892321
inst_0275,RandomGenerator,0,3,1000,4.66581,4.01529,2.7277157,6.339147385102646
inst_0499,RandomGenerator,0,3,1000,3.6264,3.35255,1.4987719899999998,6.116217125492902
inst_0930,RandomGenerator,0,3,1000,4.35409,2.9448600000000003,2.41180385,6.473252311873364
inst_0667,RandomGenerator,0,3,1000,5.02197,3.75756,2.2495122000000003,6.680142929339383
inst_0991,RandomGenerator,0,2,1000,2.06816,1.90978,0.68765117,5.817863437764249
inst_0808,RandomGenerator,0,2,1000,0.69531,0.8524000000000002,0.5598004500000002,5.59884177219916
inst_0689,RandomGenerator,0,5,1000,6.2555,5.995939999999999,3.6729628400000007,7.927599094987689
inst_0227,RandomGenerator,0,2,1000,1.24138,1.19214,0.50918086,5.724020321246267
inst_0814,RandomGenerator,0,1,1000,1.09224,0.6251599999999999,0.28507296,5.5909121381019755
inst_0173,RandomGenerator,0,3,1000,2.3366,2.23632,1.45469183,6.288583540094414
inst_0856,RandomGenerator,0,3,1000,3.98529,3.08068,2.2110856200000004,6.3401018944953975
inst_0985,RandomGenerator,0,4,1000,2.74459,3.76449,0.61374106,5.732892414873657
inst_0913,RandomGenerator,0,3,1000,2.22606,2.94425,1.13941989,6.06556448097399
inst_0855,RandomGenerator,0,3,1000,2.62351,2.45488,1.4049783800000002,5.908852278690604
inst_0678,RandomGenerator,0,5,1000,3.53696,3.96202,2.07268913,5.91377995051703
inst_0964,RandomGenerator,0,2,1000,3.28504,2.72248,1.2263847999999995,6.040215012422019
inst_0175,RandomGenerator,0,3,1000,1.44808,1.5681200000000002,0.46866426,5.553061512391354
inst_0757,RandomGenerator,0,3,1000,3.10546,3.0424300000000004,1.1560360500000002,6.064405254200047
inst_0464,RandomGenerator,0,4,1000,1.53411,2.6855200000000004,1.05330627,6.196774344469276
inst_0905,RandomGenerator,0,3,1000,2.52136,2.47545,1.2109228600000002,5.78213957521802
inst_0719,RandomGenerator,0,4,1000,3.02896,3.74333,1.0158457900000002,5.912330602785797
inst_0282,RandomGenerator,0,1,1000,1.14104,0.70367,0.06825599,5.444640912626583
inst_0908,RandomGenerator,0,3,1000,3.476,3.14434,1.44716258,6.42422476197262
inst_0824,RandomGenerator,0,4,1000,4.119809999999999,3.40874,2.95251741,6.9553913190039385
inst_0671,RandomGenerator,0,3,1000,3.53735,3.1833100000000005,1.5238172100000005,6.208194877979837
inst_0069,RandomGenerator,0,4,1000,3.22593,3.2981000000000003,2.33702321,6.410300824035194
inst_0353,RandomGenerator,0,4,1000,4.41193,3.62142,2.53828648,6.3700666617875985
inst_0959,RandomGenerator,0,3,1000,1.4026599999999998,1.8833800000000005,0.94455131,6.23974755228381
inst_0659,RandomGenerator,0,4,1000,4.0122,3.95179,2.00971632,6.223132665570176
