instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
inst_0957,RandomGenerator,0,4,3000,3.7429600000000005,5.8035499999999995,1.3055297633333334
inst_0014,RandomGenerator,0,2,3000,1.6566133333333333,1.65109,0.7972989966666667
inst_0419,RandomGenerator,0,2,3000,1.54866,1.5382999999999998,0.4715095833333333
inst_0127,RandomGenerator,0,2,3000,1.9405266666666667,1.58959,1.0987166766666665
inst_0783,RandomGenerator,0,3,3000,3.885133333333333,3.35054,1.6192216599999998
inst_0028,RandomGenerator,0,4,3000,4.338033333333333,4.4027,2.188352693333333
inst_0803,RandomGenerator,0,4,3000,5.472803333333333,5.39888,3.4759130466666672
inst_0250,RandomGenerator,0,4,3000,3.63578,3.8169600000000004,2.01976117
inst_0281,RandomGenerator,0,3,3000,1.87611,2.14124,0.9433175733333332
inst_0257,RandomGenerator,0,1,3000,0.50722,0.5239600000000001,0.22687468000000005
inst_0931,RandomGenerator,0,2,3000,1.6265333333333334,1.26538,0.3316661933333333
inst_0064,RandomGenerator,0,2,3000,1.42032,1.06647,0.39660812
inst_0333,RandomGenerator,0,2,3000,4.258263333333333,2.90198,2.2985410433333335
inst_0877,RandomGenerator,0,2,3000,1.1689266666666667,1.40084,0.1912692066666667
inst_0711,RandomGenerator,0,2,3000,0.41133333333333333,0.86492,0.12784077333333335
inst_0468,RandomGenerator,0,4,3000,3.32916,4.311050000000001,1.8223423300000001
inst_0456,RandomGenerator,0,3,3000,3.46626,3.5140399999999996,1.13847007
inst_0006,RandomGenerator,0,3,3000,3.8826866666666673,3.05743,1.7896165466666665
inst_0932,RandomGenerator,0,4,3000,1.85942,2.5268400000000004,0.8823950233333335
inst_0146,RandomGenerator,0,4,3000,2.30946,2.82992,1.3253464766666665
inst_0178,RandomGenerator,0,3,3000,2.1708866666666666,2.76959,1.1076918066666668
inst_0090,RandomGenerator,0,3,3000,4.03011,4.21537,1.38652205
inst_0433,RandomGenerator,0,3,3000,4.23307,3.2058,2.44370242
inst_0929,RandomGenerator,0,2,3000,0.7628,0.95209,0.6117763799999999
inst_0579,RandomGenerator,0,3,3000,2.644603333333333,2.41383,1.1911228833333334
inst_0782,RandomGenerator,0,1,3000,2.17485,1.7111800000000004,0.4249430333333334
inst_0780,RandomGenerator,0,2,3000,4.086496666666666,3.5394100000000006,1.79531142
inst_0050,RandomGenerator,0,4,3000,2.8337733333333333,2.77997,2.132002133333333
inst_0705,RandomGenerator,0,2,3000,4.24736,3.10523,2.6774269
inst_0328,RandomGenerator,0,4,3000,3.9390333333333336,4.7953600000000005,2.37015205
inst_0171,RandomGenerator,0,3,3000,2.84045,3.57033,1.3809602866666668
inst_0367,RandomGenerator,0,2,3000,0.64536,0.87584,0.50886304
inst_0210,RandomGenerator,0,3,3000,2.6044833333333335,2.8932599999999997,0.6386588766666667
inst_0912,RandomGenerator,0,4,3000,2.4246433333333335,3.8476300000000005,1.409523413333333
inst_0557,RandomGenerator,0,3,3000,2.431583333333333,2.8860899999999994,0.94737505
inst_0880,RandomGenerator,0,4,3000,2.63696,3.76498,1.5039133366666668
inst_0845,RandomGenerator,0,4,3000,4.64973,4.74042,2.1865680533333336
inst_0854,RandomGenerator,0,5,3000,3.3146566666666666,3.34685,1.98285967
inst_0655,RandomGenerator,0,4,3000,2.1298500000000002,2.53127,1.3110219533333336
inst_0712,RandomGenerator,0,4,3000,2.6152766666666665,3.8819100000000004,1.6382403933333334
inst_0795,RandomGenerator,0,3,3000,3.5533566666666667,2.73785,2.39475327
inst_0011,RandomGenerator,0,3,3000,1.6595766666666665,2.1059200000000002,0.8697078966666668
inst_0754,RandomGenerator,0,2,3000,1.45872,1.87229,0.18240728
inst_0052,RandomGenerator,0,1,3000,3.464506666666667,2.29601,0.9582015066666666
inst_0486,RandomGenerator,0,2,3000,1.2385966666666666,1.5869399999999998,0.9821122066666667
inst_0898,RandomGenerator,0,2,3000,3.3526200000000004,2.39866,1.7012072533333336
inst_0230,RandomGenerator,0,4,3000,2.9295400000000003,2.56786,1.83061712
inst_0821,RandomGenerator,0,2,3000,3.135693333333333,2.9987599999999994,0.6902778833333334
inst_0812,RandomGenerator,0,2,3000,3.707866666666667,2.42816,1.9057185066666666
inst_0715,RandomGenerator,0,2,3000,1.41682,1.33658,0.7965608866666668
inst_0636,RandomGenerator,0,5,3000,3.2826866666666663,3.8340599999999996,2.300278726666667
inst_0150,RandomGenerator,0,2,3000,2.03258,1.7604100000000003,0.8627313600000001
inst_0378,RandomGenerator,0,5,3000,4.940886666666667,5.662139999999999,3.137841196666667
inst_0838,RandomGenerator,0,3,3000,2.3894733333333336,2.13187,1.3583467633333335
inst_0275,RandomGenerator,0,3,3000,5.021726666666667,4.2115,2.8750613166666668
inst_0499,RandomGenerator,0,3,3000,3.9082299999999996,3.6289599999999997,1.6186214766666664
inst_0930,RandomGenerator,0,3,3000,4.6443666666666665,3.1108500000000006,2.554926586666667
inst_0667,RandomGenerator,0,3,3000,5.454043333333334,3.9803499999999996,2.3793508633333333
inst_0991,RandomGenerator,0,2,3000,2.02035,1.90936,0.6880339999999999
inst_0808,RandomGenerator,0,2,3000,0.7348733333333333,0.8813000000000001,0.5813205533333334
inst_0689,RandomGenerator,0,5,3000,6.818009999999999,6.617510000000001,4.000164819999999
inst_0227,RandomGenerator,0,2,3000,1.5439466666666668,1.432,0.6115761066666666
inst_0814,RandomGenerator,0,1,3000,1.37136,0.72391,0.33010296
inst_0173,RandomGenerator,0,3,3000,2.4067933333333333,2.38995,1.5712102733333335
inst_0856,RandomGenerator,0,3,3000,4.304963333333333,3.35594,2.404052233333333
inst_0985,RandomGenerator,0,4,3000,3.02464,4.03224,0.6578699466666668
