instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0728,RandomGenerator,0,4,3000,3.0485766666666665,4.04581,0.8689274366666667,5.9722001538566865
inst_0397,RandomGenerator,0,3,3000,2.5191733333333333,2.7159500000000003,1.4374913066666668,5.9360781148448085
inst_0614,RandomGenerator,0,3,3000,1.65368,1.83405,1.0795363800000002,5.8768824623459635
inst_0004,RandomGenerator,0,1,3000,2.888913333333333,1.93392,0.7535841599999998,5.80600263109683
inst_0763,RandomGenerator,0,1,3000,0.98176,0.53799,0.2505240099999999,5.6825929363793914
inst_0434,RandomGenerator,0,2,3000,2.06564,1.50899,0.8800296133333334,6.034341134218451
inst_0708,RandomGenerator,0,2,3000,1.6363866666666669,1.95734,0.1818505166666666,5.399928499055033
inst_0285,RandomGenerator,0,3,3000,3.3762666666666665,3.12551,2.00294325,7.060122685364056
inst_0681,RandomGenerator,0,3,3000,2.5851133333333336,2.37679,1.8547210133333327,6.662402448598657
inst_0706,RandomGenerator,0,5,3000,2.91536,4.66828,1.58850253,6.136917865852377
inst_0080,RandomGenerator,0,4,3000,2.6435066666666667,4.0635,1.4111210466666668,6.30133160788001
inst_0539,RandomGenerator,0,4,3000,3.65535,4.34526,1.9144711566666668,6.233014354420397
inst_0191,RandomGenerator,0,3,3000,2.841453333333333,3.07826,1.0121967733333332,5.9847215922694526
inst_0017,RandomGenerator,0,4,3000,2.5687433333333334,2.5775300000000003,1.9476915166666668,6.599217003914283
inst_0274,RandomGenerator,0,3,3000,1.157163333333333,1.5303699999999998,0.3895455933333333,5.657611184005927
inst_0689,RandomGenerator,0,3,3000,2.5054066666666666,2.3864,0.9638360733333334,5.702116311972889
inst_0920,RandomGenerator,0,3,3000,3.243403333333333,3.6471,1.3427789799999998,6.280142781693861
inst_0729,RandomGenerator,0,2,3000,1.24454,1.1478,0.8601070399999998,5.809167753574624
inst_0095,RandomGenerator,0,3,3000,1.4150433333333334,2.20853,0.9119006433333334,6.284141393183075
inst_0215,RandomGenerator,0,3,3000,2.87085,2.54473,1.58811162,6.119829138273014
inst_0303,RandomGenerator,0,4,3000,2.8314900000000005,3.3752,2.26647671,6.819711850104641
