instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0728,RandomGenerator,0,4,3000,4.885116666666666,4.59478,3.1504699766666677,6.5426522037936525
inst_0397,RandomGenerator,0,1,3000,0.4219633333333333,0.35621,0.2663263433333334,5.6358224093604115
inst_0614,RandomGenerator,0,5,3000,2.61417,3.583600000000001,1.54168969,5.8491449461257226
inst_0004,RandomGenerator,0,2,3000,0.58849,0.91067,0.39824857,5.467083712503497
inst_0763,RandomGenerator,0,3,3000,2.8577866666666667,2.76309,1.6999637133333332,6.249611116875516
inst_0434,RandomGenerator,0,2,3000,2.2237166666666663,1.91713,0.7003474566666668,5.63397685825238
inst_0708,RandomGenerator,0,5,3000,3.77693,3.92847,1.840339546666667,5.991762175220691
inst_0285,RandomGenerator,0,1,3000,0.4021033333333333,0.48094,0.0963483133333333,5.421923917805681
inst_0681,RandomGenerator,0,4,3000,2.338756666666667,3.85295,1.5691817166666666,6.513855764622089
inst_0706,RandomGenerator,0,4,3000,3.1746366666666668,3.47391,1.5083785966666667,6.223564307291227
inst_0080,RandomGenerator,0,3,3000,1.7860233333333333,2.74477,0.2985252233333333,5.519269722032809
inst_0539,RandomGenerator,0,5,3000,2.3923400000000004,3.4279,1.39399988,6.418079265540534
inst_0191,RandomGenerator,0,4,3000,2.738023333333333,3.4657,0.7105661833333333,5.8292602621181455
inst_0017,RandomGenerator,0,3,3000,1.9392733333333327,3.0530699999999995,0.5096284333333333,5.547888992939021
inst_0274,RandomGenerator,0,6,3000,4.29921,4.4878800000000005,2.796735233333333,6.878804047745424
inst_0689,RandomGenerator,0,5,3000,6.2554,5.99594,3.672823080000001,6.846438427055709
inst_0920,RandomGenerator,0,5,3000,4.513753333333334,4.92872,2.62613329,6.502189087855771
inst_0729,RandomGenerator,0,2,3000,2.71236,2.00174,1.7399547466666667,5.969384839568109
inst_0095,RandomGenerator,0,2,3000,2.9187333333333334,1.7499,1.6939177733333333,5.8744726297090155
inst_0215,RandomGenerator,0,4,3000,3.26357,4.39108,1.9975739133333337,6.597614211729779
inst_0303,RandomGenerator,0,4,3000,3.3981399999999997,3.21172,1.48878214,6.019104504053404
inst_0742,RandomGenerator,0,3,3000,1.6556866666666663,1.7033900000000004,1.168531456666667,6.020892389092464
inst_0129,RandomGenerator,0,2,3000,2.2938066666666668,2.05123,0.7952763999999999,5.828778363283281
inst_0767,RandomGenerator,0,3,3000,0.79397,1.17924,0.75725343,5.64634504354627
inst_0304,RandomGenerator,0,1,3000,0.49115,0.5032500000000001,0.24575375,5.438609162007657
inst_0619,RandomGenerator,0,5,3000,5.53189,5.98006,4.508403686666666,7.389919249708015
inst_0993,RandomGenerator,0,2,3000,2.6731333333333334,2.49148,0.5063201466666667,5.55062891722694
inst_0672,RandomGenerator,0,2,3000,2.69438,2.64692,0.35768011,5.4805317996228045
inst_0925,RandomGenerator,0,3,3000,2.534883333333333,3.26695,1.2505224933333332,5.878315814430196
inst_0830,RandomGenerator,0,3,3000,3.428093333333333,3.84765,1.50918289,6.042016896981059
inst_0108,RandomGenerator,0,4,3000,3.8313133333333336,5.364750000000001,0.8960249200000003,5.9267026626982915
inst_0565,RandomGenerator,0,2,3000,0.40342,0.83442,0.08280866,5.375145936609965
inst_0880,RandomGenerator,0,4,3000,2.450693333333333,3.5159400000000005,1.3610827333333333,6.511936377414194
inst_0598,RandomGenerator,0,1,3000,0.8992,0.7626900000000001,0.28677144,5.508568110070487
inst_0389,RandomGenerator,0,1,3000,1.17176,0.70367,0.13580831,5.4992694430908715
inst_0553,RandomGenerator,0,3,3000,3.12439,2.82851,2.1360255300000004,6.208060103099914
inst_0139,RandomGenerator,0,3,3000,2.73672,2.42476,1.4013501966666666,6.555959040696172
inst_0417,RandomGenerator,0,2,3000,1.04104,0.9231,0.3140000199999999,5.569873332908783
inst_0442,RandomGenerator,0,6,3000,3.6905800000000006,6.12818,1.9690582166666664,6.155358971559875
inst_0105,RandomGenerator,0,5,3000,2.8423,3.2754700000000008,2.00738268,6.604417191725517
inst_0052,RandomGenerator,0,1,3000,3.1761600000000003,2.13821,0.8923463066666667,5.755307811652319
inst_0664,RandomGenerator,0,4,3000,2.23875,3.0170100000000004,0.96633053,5.889947503404951
inst_0083,RandomGenerator,0,4,3000,3.6856,3.25546,2.120997093333333,6.540157523477699
inst_0593,RandomGenerator,0,2,3000,3.51025,2.36507,2.160711566666667,6.393818698720756
inst_0180,RandomGenerator,0,3,3000,2.3034,2.40377,0.9888760133333336,5.788592671375664
inst_0477,RandomGenerator,0,4,3000,4.234523333333334,3.5867600000000004,2.2874843066666664,6.1692367802007135
inst_0862,RandomGenerator,0,4,3000,3.3190700000000004,3.23824,2.049745423333333,6.315945812209508
inst_0169,RandomGenerator,0,5,3000,5.039766666666666,5.289129999999999,3.4322646466666664,6.704789686503942
inst_0142,RandomGenerator,0,4,3000,3.0268866666666665,3.70674,1.7320587066666666,6.443200478861438
inst_0845,RandomGenerator,0,4,3000,4.307840000000001,4.59481,2.153464383333333,5.97084434819514
inst_0299,RandomGenerator,0,3,3000,2.8777666666666666,2.66354,1.2755292866666668,5.804224000523909
inst_0942,RandomGenerator,0,3,3000,1.78384,1.9538,0.83149867,6.227223442053423
inst_0176,RandomGenerator,0,1,3000,0.91975,0.7626900000000001,0.32160095,5.520806867502634
inst_0093,RandomGenerator,0,3,3000,3.7221633333333326,3.00903,1.830034553333333,7.126756744949318
inst_0506,RandomGenerator,0,3,3000,3.4458866666666665,3.51832,1.6219515733333334,6.04368838419011
inst_0468,RandomGenerator,0,4,3000,3.238020000000001,4.32383,1.7784874066666667,6.032410241822121
inst_0718,RandomGenerator,0,4,3000,1.84864,2.9995,0.50527341,5.594412337600387
inst_0676,RandomGenerator,0,4,3000,4.62363,4.093119999999999,2.817295953333333,6.558781637994441
inst_0088,RandomGenerator,0,2,3000,1.567583333333333,1.21078,0.8641780833333332,6.156210424361558
inst_0881,RandomGenerator,0,4,3000,4.22378,4.6579,2.2715030099999995,6.439751084288983
inst_0407,RandomGenerator,0,3,3000,1.706123333333333,1.8603200000000004,1.0682225433333334,6.115137203815022
inst_0626,RandomGenerator,0,3,3000,2.4022666666666668,2.04332,1.08591054,5.988432204832529
inst_0727,RandomGenerator,0,4,3000,1.9907733333333333,2.48811,1.3878276033333332,6.099290526843476
inst_0228,RandomGenerator,0,2,3000,0.5991933333333334,0.78434,0.4531992733333334,5.613795738920497
inst_0379,RandomGenerator,0,4,3000,4.605413333333333,4.39078,2.726752533333334,6.301536382836795
inst_0974,RandomGenerator,0,5,3000,3.370193333333334,3.85384,1.3638456,6.085047029421369
inst_0257,RandomGenerator,0,1,3000,0.47289,0.5032500000000001,0.21790725,5.477086130183025
inst_0337,RandomGenerator,0,3,3000,5.391476666666667,5.14681,2.748183486666667,6.643665968430918
inst_0813,RandomGenerator,0,4,3000,1.1645766666666666,1.8987200000000009,1.2207263666666668,5.846803282783937
inst_0654,RandomGenerator,0,5,3000,4.70692,6.083729999999999,3.2777623266666662,6.8731054166861725
inst_0791,RandomGenerator,0,4,3000,2.64567,3.78482,1.3921541300000002,5.879385613222581
inst_0958,RandomGenerator,0,2,3000,2.3140633333333334,1.6546500000000002,1.0970979233333331,5.690955285351262
inst_0570,RandomGenerator,0,3,3000,1.458173333333333,1.4657000000000002,0.5822201133333333,5.788399985431633
inst_0026,RandomGenerator,0,4,3000,2.816753333333333,3.0470900000000003,1.761868903333333,6.000859990174068
inst_0364,RandomGenerator,0,1,3000,2.96239,1.871,0.903693,5.8384622005476166
inst_0025,RandomGenerator,0,2,3000,3.030263333333333,2.06817,1.18911883,5.9470158136805304
inst_0824,RandomGenerator,0,4,3000,4.120246666666667,3.40874,2.952786316666667,6.457983996116539
inst_0385,RandomGenerator,0,6,3000,4.08663,4.60194,3.0119223833333337,6.900918803436461
inst_0268,RandomGenerator,0,4,3000,3.5286399999999998,5.13874,1.5556013133333335,5.89787217020465
inst_0736,RandomGenerator,0,4,3000,3.46865,3.35544,2.4292742200000004,6.348977319925114
inst_0233,RandomGenerator,0,3,3000,3.16491,3.52856,1.09734365,6.04609973733123
inst_0647,RandomGenerator,0,3,3000,3.10805,2.88822,1.88332111,6.308466204646597
inst_0349,RandomGenerator,0,4,3000,1.9459866666666668,2.7175700000000003,1.5074583766666667,6.071185314484418
inst_0712,RandomGenerator,0,4,3000,2.5130133333333333,3.73169,1.5369459433333332,6.287065116026104
inst_0579,RandomGenerator,0,3,3000,2.61897,2.39579,1.16804975,5.6508989116807316
inst_0486,RandomGenerator,0,2,3000,0.9727933333333334,1.3195,0.8318104333333333,5.7045267292766315
inst_0450,RandomGenerator,0,2,3000,0.6662933333333334,0.73426,0.5682312833333334,5.608768810187546
inst_0966,RandomGenerator,0,4,3000,3.3993133333333336,5.18924,1.61107434,6.34270550349498
inst_0327,RandomGenerator,0,4,3000,3.711153333333333,3.40364,2.6637251333333336,6.570671241800454
inst_0907,RandomGenerator,0,3,3000,1.87954,1.87858,1.64314114,6.11774518703789
inst_0384,RandomGenerator,0,3,3000,3.225283333333333,3.14504,1.4498698866666664,6.267745383516962
inst_0314,RandomGenerator,0,3,3000,1.7575333333333334,2.6287000000000003,0.4172121333333333,5.69507998119712
inst_0020,RandomGenerator,0,3,3000,4.3265,4.55744,2.79201685,6.665427184364304
inst_0178,RandomGenerator,0,3,3000,1.7683733333333336,2.34315,0.9294261233333332,6.266592395948872
inst_0643,RandomGenerator,0,1,3000,2.2466666666666666,1.79515,0.5235854166666666,5.553234133613967
inst_0711,RandomGenerator,0,2,3000,0.4337066666666666,0.86492,0.1295163466666666,5.389424721834628
inst_0446,RandomGenerator,0,4,3000,3.5552666666666664,3.252030000000001,2.300547626666667,6.678010019385567
inst_0738,RandomGenerator,0,4,3000,3.05643,3.45261,1.7645879499999997,6.090731887805762
inst_0344,RandomGenerator,0,2,3000,1.1721633333333332,1.22255,0.4668740833333333,5.712661239574403
inst_0768,RandomGenerator,0,2,3000,0.5844566666666667,0.8883599999999999,0.3810237266666667,5.505675600774098
inst_0041,RandomGenerator,0,3,3000,2.986056666666667,3.27235,1.4466003566666663,5.839909542598427
inst_0914,RandomGenerator,0,3,3000,2.950653333333333,2.4127400000000003,1.6705561433333336,6.201216779196158
inst_0976,RandomGenerator,0,6,3000,4.421373333333333,5.54575,3.459299116666666,6.802629981209431
inst_0793,RandomGenerator,0,3,3000,2.1748233333333333,2.61821,0.6370797966666667,5.884052324092687
inst_0284,RandomGenerator,0,2,3000,2.4256933333333333,1.7850100000000002,0.93506018,5.894842804193268
inst_0100,RandomGenerator,0,3,3000,2.7243766666666667,2.68119,1.7219345233333334,6.23221873730249
inst_0730,RandomGenerator,0,4,3000,3.72449,4.07491,3.028165846666666,6.610369851863184
inst_0752,RandomGenerator,0,5,3000,2.8881,4.48893,1.7269116699999998,6.100907634430839
inst_0538,RandomGenerator,0,4,3000,2.8210266666666666,3.38173,1.63410203,5.864084438133558
inst_0563,RandomGenerator,0,3,3000,2.35748,2.9453400000000003,1.0446038133333333,5.8860903935296465
inst_0118,RandomGenerator,0,1,3000,0.51731,0.50871,0.25791597,5.447223517499655
inst_0318,RandomGenerator,0,3,3000,3.181993333333333,2.85195,1.608077336666667,6.337699528815545
inst_0555,RandomGenerator,0,5,3000,5.091726666666667,5.655139999999999,3.784155196666667,7.6753134417273445
inst_0986,RandomGenerator,0,3,3000,2.23976,2.15509,0.59559892,5.598321153656512
inst_0288,RandomGenerator,0,3,3000,4.6491766666666665,5.01394,2.00511756,6.521344719082362
inst_0819,RandomGenerator,0,3,3000,2.0026900000000003,2.3569500000000003,1.033885706666667,5.7614674549906395
inst_0451,RandomGenerator,0,5,3000,3.2742100000000005,4.77965,1.3884863333333333,5.925662166859386
inst_0528,RandomGenerator,0,4,3000,3.608,3.59128,1.81751314,6.210066464070491
inst_0319,RandomGenerator,0,3,3000,2.5826366666666667,2.6704600000000003,1.5232925766666667,6.607971283412011
inst_0511,RandomGenerator,0,2,3000,1.17026,1.1478,0.72808313,5.727905131227143
inst_0583,RandomGenerator,0,3,3000,1.7239233333333333,1.78925,1.2013516033333336,6.350824236454849
inst_0980,RandomGenerator,0,2,3000,0.70035,1.01196,0.53886651,5.4928644761650585
inst_0745,RandomGenerator,0,2,3000,1.881303333333333,2.2001500000000003,0.4859382966666667,5.797463779245447
inst_0246,RandomGenerator,0,3,3000,2.46182,2.6576500000000003,0.9812907233333336,6.037729380032946
inst_0370,RandomGenerator,0,2,3000,3.042603333333333,2.70237,0.7745602666666667,5.7362200927948175
inst_0625,RandomGenerator,0,4,3000,3.695336666666666,3.22284,2.2140352733333333,6.883722691056663
inst_0252,RandomGenerator,0,5,3000,2.8736399999999995,4.27618,0.9935390666666668,5.955171390371655
inst_0030,RandomGenerator,0,3,3000,2.123523333333333,2.74759,0.5497768566666666,5.829799874365007
inst_0561,RandomGenerator,0,4,3000,2.855183333333333,3.4467000000000003,0.6518274133333335,5.82914206756948
inst_0333,RandomGenerator,0,2,3000,3.947573333333333,2.64849,2.106866013333333,6.26056224348172
inst_0899,RandomGenerator,0,2,3000,0.4307466666666666,0.6983,0.2551122666666667,5.521643511158661
inst_0423,RandomGenerator,0,4,3000,4.298903333333333,4.59536,2.599677016666667,6.427936737414248
inst_0890,RandomGenerator,0,5,3000,3.0919600000000003,3.2852500000000004,1.98789052,5.930990907100447
inst_0021,RandomGenerator,0,3,3000,2.73222,2.6703,1.4304275900000003,6.238781193907966
inst_0266,RandomGenerator,0,2,3000,1.4862866666666663,1.35424,0.8605969066666667,5.7854601532433465
inst_0919,RandomGenerator,0,2,3000,0.6883933333333334,0.8845000000000002,0.5465498333333334,5.642338448877979
