# Started at: 2022-05-04 08:51:29 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=180 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/lr_experiment/measurements/imx8a//3_24_5_0_13_0.json.yaml.csv -- demos-sched -p high -c /root/JSA/lr_experiment/demos_configurations/imx8a//3_24_5_0_13_0.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11328,48100,49300,49700,47700,48100,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,50,50,0
166.352,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
166.415,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
168.518,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
668.242,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
672.621,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,
674.88,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,
993.044,49300,51500,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.048,533880.802,,,,,,,,,,85.8586,85.8586,84.8485,7.14286,86.7347,2.0202
1177.73,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,
1178.71,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,
1182.38,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,
1590.79,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1684.57,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,
1686.13,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,
1689.4,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,
1993.54,49700,51700,50300,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,533890.335,,,,,,,,,,100,100,100,1,100,0
2190.78,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,
2194.68,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,
2196.74,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,
2696.71,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,
2703.11,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,
2703.77,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,
2992.97,49700,51500,50300,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,533899.963,,,,,,,,,,100,100,100,1,100,1
3202.92,,,,,,,,,,,,,,,,,,,,348,,,,,,,,,
3211.21,,,,,,,,,,,,,,,,,,,,,,354,,,,,,,
3212.07,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,
3708.97,,,,,,,,,,,,,,,,,,,,406,,,,,,,,,
3718.09,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,
3720.7,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,
3992.92,49700,51900,50500,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,533909.506,,,,,,,,,,100,100,100,0,100,0
4215.31,,,,,,,,,,,,,,,,,,,,464,,,,,,,,,
4225.05,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,
4229.53,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,
4721.55,,,,,,,,,,,,,,,,,,,,522,,,,,,,,,
4731.68,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,
4738.3,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,
4993.3,49900,51900,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,533919.140,,,,,,,,,,100,100,100,0,100,0
5227.87,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,
5238.7,,,,,,,,,,,,,,,,,,,,,,590,,,,,,,
5247.1,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,
5733.97,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,
