# Started at: 2022-05-13 09:29:55 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=180 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/lr_experiment/measurements/imx8b//38_3_0_0_12_0.json.yaml.csv -- demos-sched -p high -c /root/JSA/lr_experiment/demos_configurations/imx8b//38_3_0_0_12_0.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09261,49500,49500,49700,48300,49500,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,25,0,25,0,0,0
177.978,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
196.979,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
228.77,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
683.11,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
750.679,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
986.234,51100,51500,50700,49300,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.927,1610067.733,,,,,,,,,,85.567,84.5361,5.15464,8,83.6735,0
1188.24,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,
1308.25,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
1692.71,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,
1862.41,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
1986.63,51500,52100,51100,49900,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,1610076.019,,,,,,,,,,100,100,8.08081,0,100,1.02041
2197.65,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,
2418.15,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
2702.67,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,
2968.92,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
