# Started at: 2022-06-24 09:21:25 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --time=180 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/lr_experiment/measurements/tx2//32_37_0_0_31_31.json.yaml.csv -- demos-sched -p high -c /root/JSA/lr_experiment/demos_configurations/tx2//32_37_0_0_31_31.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11965,54000,54000,53000,54000,51000,52750,53600,0,1.4025e+08,345000,345000,363000,345000,345000,345000,630078,649414,6.656e+08,8,19208,153,24,19200,460,12,4816,57,100,19216,1921,12,19216,230,44,4816,211,0,,,,,,,0,0,0,0,66.6667,50
46.0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
46.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
46.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
545.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,799,,,,,,,,,
545.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138,,,,,,,,
663.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1000.19,57000,57000,53500,57000,51000,53250,53600,0,1.4025e+08,2.033e+06,2.036e+06,2.035e+06,2.036e+06,2.039e+06,2.041e+06,630078,909375,1.6e+09,8,19152,153,40,19144,765,12,4816,57,386,19168,7398,224,19152,4290,228,4816,1098,0,,,,,,,97.9798,97.9592,1.0101,5.10204,96.9697,98.0198
1045.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,1581,,,,,,,,,
1045.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2268,,,,,,,,
1165.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
1545.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409,,,,,,,,
1546.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2364,2364,,,,,,,,,
1666.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
2000.8,57500,57500,54000,57500,51000,53750,55600,0,1.4025e+08,2.033e+06,2.035e+06,2.034e+06,2.034e+06,2.033e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,40,19144,765,12,4816,57,416,19160,7970,244,19152,4673,248,4816,1194,0,,,,,,,100,100,0,1.04167,100,100
2045.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146,3146,,,,,,,,,
2046.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4564,,,,,,,,
2168.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
2545.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3931,3931,,,,,,,,,
2545.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,,
2668.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
3000.66,57500,57500,54000,57500,51000,54000,56100,0,1.4025e+08,2.036e+06,2.035e+06,2.034e+06,2.039e+06,2.035e+06,2.039e+06,630078,909375,1.6e+09,8,19152,153,40,19144,765,12,4816,57,420,19160,8047,244,19152,4673,252,4816,1213,0,,,,,,,100,100,0,4.0404,100,100
3045.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4714,4714,,,,,,,,,
3046.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6834,,,,,,,,
3168.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
3546.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7987,,,,,,,,
3546.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5500,,,,,,,,,
3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
4000.44,57500,57500,54000,57500,51000,54250,56100,0,1.4025e+08,2.032e+06,2.035e+06,2.035e+06,2.037e+06,2.039e+06,2.041e+06,630078,909375,1.6e+09,8,19152,153,40,19144,765,12,4816,57,420,19160,8047,248,19152,4749,252,4816,1213,0,,,,,,,100,100,0,7,100,100
4046.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9138,,,,,,,,
4046.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6285,6285,,,,,,,,,
4545.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10275,,,,,,,,
4546.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7068,7068,,,,,,,,,
4675.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
5000.36,57500,57500,54500,57500,51000,54250,56300,0,1.4025e+08,2.036e+06,2.036e+06,2.035e+06,2.036e+06,2.041e+06,2.039e+06,630078,909375,1.6e+09,8,19144,153,40,19144,765,12,4816,57,420,19160,8047,248,19152,4749,252,4816,1213,0,,,,,,,100,100,0,4.0404,100,100
5045.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11412,,,,,,,,
5046.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7854,7854,,,,,,,,,
5545.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12552,,,,,,,,
5545.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8639,8639,,,,,,,,,
5675.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
