instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
0_0_0_0_0_0,RandomGenerator,0,6,1000,0.0,0.0,0.0,5.473864585685145,-0.016135414314855545
0_0_0_0_10_0,RandomGenerator,0,6,1000,2.954625443510458,2.64424865314933,2.64424865314933,8.120318619677944,2.6303186196779436
0_0_0_0_10_2,RandomGenerator,0,6,1000,4.450743593404751,4.954618939471491,4.954618939471491,9.663351102533666,4.173351102533665
0_0_0_0_10_33,RandomGenerator,0,6,1000,4.45297239152383,4.430883681097595,4.430883681097595,9.802324074988338,4.312324074988338
0_0_0_0_10_34,RandomGenerator,0,6,1000,4.711740365284065,5.339440777570685,5.339440777570685,10.060353333489875,4.570353333489875
0_0_0_0_10_6,RandomGenerator,0,6,1000,3.873251140810377,4.463936789761228,4.463936789761228,9.287162921348262,3.797162921348262
0_0_0_0_11_0,RandomGenerator,0,6,1000,1.6084572660749732,1.5934324778240898,1.5934324778240898,7.027018038261514,1.5370180382615137
0_0_0_0_11_15,RandomGenerator,0,6,1000,2.0213587410948133,2.2000450631989628,2.2000450631989628,7.456194337897083,1.9661943378970825
0_0_0_0_11_9,RandomGenerator,0,6,1000,3.117654559374569,3.323468835864668,3.323468835864668,8.501750307316927,3.0117503073169267
0_0_0_0_12_0,RandomGenerator,0,6,1000,2.897940204243154,2.52278050258679,2.52278050258679,8.299795000345721,2.809795000345721
0_0_0_0_12_36,RandomGenerator,0,6,1000,4.033283558162256,4.63061597533132,4.63061597533132,9.386421976126417,3.896421976126417
0_0_0_0_13_0,RandomGenerator,0,6,1000,2.205549048613036,1.9930728348627471,1.9930728348627471,7.299867792290954,1.8098677922909534
0_0_0_0_13_15,RandomGenerator,0,6,1000,2.618450523632876,2.5996854202376203,2.5996854202376203,7.7538042420006175,2.2638042420006173
0_0_0_0_13_35,RandomGenerator,0,6,1000,3.857334664996983,4.135354193294572,4.135354193294572,9.759545627196424,4.269545627196424
0_0_0_0_13_37,RandomGenerator,0,6,1000,3.499646167238959,3.506679960641109,3.506679960641109,8.604120394416144,3.114120394416144
0_0_0_0_13_4,RandomGenerator,0,6,1000,4.108947692821682,4.553295321608629,4.553295321608629,9.886307941815335,4.396307941815335
0_0_0_0_13_6,RandomGenerator,0,6,1000,3.4964826788785888,3.8127609714746455,3.8127609714746455,9.325918059516539,3.8359180595165387
0_0_0_0_14_0,RandomGenerator,0,6,1000,2.907556253311457,2.70608983374437,2.70608983374437,8.305165330218443,2.815165330218443
0_0_0_0_14_19,RandomGenerator,0,6,1000,4.07545486127246,4.418679977929561,4.418679977929561,9.376430824953834,3.886430824953834
0_0_0_0_14_22,RandomGenerator,0,6,1000,4.793480493164656,5.03433893106401,5.03433893106401,10.178673314766888,4.688673314766888
0_0_0_0_14_6,RandomGenerator,0,6,1000,4.113179724241088,4.525777970356268,4.525777970356268,9.413135099146503,3.923135099146503
0_0_0_0_14_8,RandomGenerator,0,6,1000,4.8274494991604975,5.17790850205618,5.17790850205618,10.076446650687037,4.586446650687037
0_0_0_0_15_10,RandomGenerator,0,6,1000,3.367526918530299,3.2508612385242026,3.2508612385242026,8.816325179289642,3.3263251792896416
0_0_0_0_15_28,RandomGenerator,0,6,1000,2.7414064599726835,2.7931321873439403,2.7931321873439403,8.195086845651977,2.7050868456519765
0_0_0_0_16_16,RandomGenerator,0,6,1000,1.0869572084206174,1.226089536965124,1.226089536965124,6.564268274095615,1.0742682740956147
0_0_0_0_16_24,RandomGenerator,0,6,1000,3.857512927037385,3.030523129352161,3.030523129352161,9.219024226911797,3.729024226911797
0_0_0_0_16_30,RandomGenerator,0,6,1000,3.3378851391456124,3.119675838599413,3.119675838599413,8.758103253098831,3.2681032530988308
0_0_0_0_16_5,RandomGenerator,0,6,1000,1.4121270906347485,1.5540855077265028,1.5540855077265028,6.8906144838361225,1.4006144838361223
0_0_0_0_17_0,RandomGenerator,0,6,1000,1.050375024593091,1.029558599049499,1.029558599049499,6.474075462332381,0.9840754623323811
0_0_0_0_18_0,RandomGenerator,0,6,1000,1.0151675925209291,0.9979586190998864,0.9979586190998864,6.487336651979173,0.9973366519791727
0_0_0_0_18_21,RandomGenerator,0,6,1000,3.192443586733749,2.9188088560329577,2.9188088560329577,8.541559819570576,3.051559819570576
0_0_0_0_19_0,RandomGenerator,0,6,1000,2.155025521662331,1.712590144185192,1.712590144185192,7.5536109851748,2.0636109851748
0_0_0_0_19_23,RandomGenerator,0,6,1000,2.984280168452888,3.4695086911637576,3.4695086911637576,8.272148844781254,2.782148844781254
0_0_0_0_19_29,RandomGenerator,0,6,1000,3.345262689907011,3.1379788687972576,3.1379788687972576,8.780562784332583,3.2905627843325824
0_0_0_0_19_32,RandomGenerator,0,6,1000,4.63744775856593,5.243309598549427,5.243309598549427,9.891462531101231,4.401462531101231
0_0_0_0_19_6,RandomGenerator,0,6,1000,3.036083472728796,3.5322782807970907,3.5322782807970907,8.55955182855884,3.06955182855884
0_0_0_0_19_9,RandomGenerator,0,6,1000,3.664222814961927,3.4426265022257705,3.4426265022257705,9.066485138199475,3.576485138199475
