instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
0_0_0_0_0_0,RandomGenerator,0,6,1000,0.0,0.0,0.0,5.651406309172222
0_0_0_0_10_0,RandomGenerator,0,6,1000,2.3643229343295875,1.918670249102126,1.918670249102126,7.825357458715016
0_0_0_0_10_2,RandomGenerator,0,6,1000,3.83024319907325,3.436678954531557,3.436678954531557,9.20990929815683
0_0_0_0_10_33,RandomGenerator,0,6,1000,3.8165412987182914,3.405135845190039,3.405135845190039,9.351712434853894
0_0_0_0_10_34,RandomGenerator,0,6,1000,4.052528668109418,3.830842449674604,3.830842449674604,9.561980349722848
0_0_0_0_10_6,RandomGenerator,0,6,1000,3.3747635245562804,3.084803049349161,3.084803049349161,8.756851679234556
0_0_0_0_11_0,RandomGenerator,0,6,1000,1.487733678988605,1.3414681750917128,1.3414681750917128,6.9380931651943785
0_0_0_0_11_15,RandomGenerator,0,6,1000,1.8941281867549524,1.8257039097287775,1.8257039097287775,7.370313705860334
0_0_0_0_11_9,RandomGenerator,0,6,1000,2.9890497297877263,2.8560604771345,2.8560604771345,8.369356559433273
0_0_0_0_12_0,RandomGenerator,0,6,1000,2.291145270467165,1.7668699901508162,1.7668699901508162,7.775823479481519
0_0_0_0_12_36,RandomGenerator,0,6,1000,3.366942989500786,3.136573833209906,3.136573833209906,7.758779882499673
0_0_0_0_13_0,RandomGenerator,0,6,1000,2.004751013164835,1.7340993070193538,1.7340993070193538,7.178501960362766
0_0_0_0_13_15,RandomGenerator,0,6,1000,2.4111455209311825,2.218335041656419,2.218335041656419,7.7290445096043445
0_0_0_0_13_35,RandomGenerator,0,6,1000,3.5792310471438347,3.106425429274612,3.106425429274612,7.170357155216557
0_0_0_0_13_37,RandomGenerator,0,6,1000,3.154257087797139,2.959326291219543,2.959326291219543,8.66633280561147
0_0_0_0_13_4,RandomGenerator,0,6,1000,3.9104765590446497,3.609465216624855,3.609465216624855,9.415576207497647
0_0_0_0_13_6,RandomGenerator,0,6,1000,3.314653084798463,2.900232107266389,2.900232107266389,8.737439782839903
0_0_0_0_14_0,RandomGenerator,0,6,1000,2.372826381935271,1.9968967097566184,1.9968967097566184,7.837499069211104
0_0_0_0_14_19,RandomGenerator,0,6,1000,3.350843356759215,2.942364249401356,2.942364249401356,8.750011306194384
0_0_0_0_14_22,RandomGenerator,0,6,1000,3.873360294686097,3.2407593172461007,3.2407593172461007,9.368757050860163
0_0_0_0_14_6,RandomGenerator,0,6,1000,3.508065585343063,3.1630295100036543,3.1630295100036543,8.85303693380251
0_0_0_0_14_8,RandomGenerator,0,6,1000,4.099225322995276,3.6754773610414913,3.6754773610414913,9.484730777720367
0_0_0_0_15_10,RandomGenerator,0,6,1000,2.7707174420959344,2.402905983739191,2.402905983739191,8.262843815122608
0_0_0_0_15_28,RandomGenerator,0,6,1000,2.2818941877339847,2.095273341014624,2.095273341014624,7.760428560955385
0_0_0_0_16_16,RandomGenerator,0,6,1000,1.0100808841083664,0.9626355034806529,0.9626355034806529,6.469839884066802
0_0_0_0_16_24,RandomGenerator,0,6,1000,2.895666551473893,1.6905546662104705,1.6905546662104705,8.45867697674151
0_0_0_0_16_30,RandomGenerator,0,6,1000,2.710324816226417,2.204830185224784,2.204830185224784,8.196057929040819
0_0_0_0_16_5,RandomGenerator,0,6,1000,1.3443782914412037,1.277563348228978,1.277563348228978,6.790878244552395
0_0_0_0_17_0,RandomGenerator,0,6,1000,0.9572140738900686,0.8377453822033222,0.8377453822033222,6.397353346232985
0_0_0_0_18_0,RandomGenerator,0,6,1000,0.9426037509431984,0.8256289814138911,0.8256289814138911,6.390258213258942
0_0_0_0_18_21,RandomGenerator,0,6,1000,2.4762323307365413,1.852652927873346,1.852652927873346,7.925299737382577
0_0_0_0_19_0,RandomGenerator,0,6,1000,1.563426637319545,0.9454675396447376,0.9454675396447376,7.032631362330249
0_0_0_0_19_23,RandomGenerator,0,6,1000,2.215089660300537,1.8647654866477696,1.8647654866477696,7.528345234890365
0_0_0_0_19_29,RandomGenerator,0,6,1000,2.699450278305862,2.1318333836802736,2.1318333836802736,8.169638529058636
0_0_0_0_19_32,RandomGenerator,0,6,1000,3.728780765475698,3.455877695179919,3.455877695179919,9.135653874430826
0_0_0_0_19_6,RandomGenerator,0,6,1000,2.35621140208672,2.111600339891773,2.111600339891773,7.919933801767509
0_0_0_0_19_9,RandomGenerator,0,6,1000,3.064742688118665,2.460059841687525,2.460059841687525,8.46696991733059
0_0_0_0_1_0,RandomGenerator,0,6,1000,1.175271589756787,1.0445852258093988,1.0445852258093988,6.614369670212884
0_0_0_0_1_15,RandomGenerator,0,6,1000,1.5959212153194422,1.528820960446464,1.528820960446464,7.10319058098204
0_0_0_0_1_2,RandomGenerator,0,6,1000,3.1605635834200583,2.5625939312388306,2.5625939312388306,8.578225682946702
0_0_0_0_1_35,RandomGenerator,0,6,1000,2.9696618712484604,2.4169113480646573,2.4169113480646573,6.597829352704829
0_0_0_0_1_6,RandomGenerator,0,6,1000,2.705083908903089,2.2107180260564343,2.2107180260564343,8.10567842404972
0_0_0_0_1_9,RandomGenerator,0,6,1000,2.6765876405559075,2.5591775278521864,2.5591775278521864,8.00996877412565
0_0_0_0_20_0,RandomGenerator,0,6,1000,1.8584874803723288,1.2824009822319202,1.2824009822319202,7.319117982237984
0_0_0_0_20_5,RandomGenerator,0,6,1000,2.579217034383137,2.0786465787205715,2.0786465787205715,8.043269602149259
