instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
0_0_0_0_0_0,RandomGenerator,0,6,1000,0.0,0.0,0.0,2.5983977272727277,-0.20560227272727216
0_0_0_0_10_0,RandomGenerator,0,6,1000,2.791250298620552,1.0270273212971115,1.0270273212971115,3.9475625,1.1435625000000003
0_0_0_0_10_2,RandomGenerator,0,6,1000,5.007210110598532,2.0053159882321663,2.0053159882321663,4.654590909090909,1.8505909090909092
0_0_0_0_10_33,RandomGenerator,0,6,1000,4.361610070903275,1.7353675536248103,1.7353675536248103,4.7286875,1.9246875000000006
0_0_0_0_10_34,RandomGenerator,0,6,1000,4.4700266398461785,1.7911082485714442,1.7911082485714442,4.812255681818182,2.008255681818182
0_0_0_0_10_6,RandomGenerator,0,6,1000,4.327296480804159,1.7631102433813646,1.7631102433813646,4.463659090909091,1.659659090909091
0_0_0_0_11_0,RandomGenerator,0,6,1000,1.9144112439783492,0.7064080494958236,0.7064080494958236,3.6260852272727275,0.8220852272727277
0_0_0_0_11_15,RandomGenerator,0,6,1000,2.53587530475392,1.0685451681425957,1.0685451681425957,3.9233522727272727,1.119352272727273
0_0_0_0_11_9,RandomGenerator,0,6,1000,4.178792398140929,1.659738452744009,1.659738452744009,4.413045454545455,1.6090454545454551
0_0_0_0_12_0,RandomGenerator,0,6,1000,2.2080192448385816,0.8185013663687737,0.8185013663687737,3.903693181818182,1.099693181818182
0_0_0_0_12_36,RandomGenerator,0,6,1000,3.222903882546557,1.3407479735494183,1.3407479735494183,4.4258750000000004,1.6218750000000006
0_0_0_0_13_0,RandomGenerator,0,6,1000,2.1473398152041083,0.7860334133873902,0.7860334133873902,3.760568181818182,0.9565681818181822
0_0_0_0_13_15,RandomGenerator,0,6,1000,2.835316093007896,1.1481705320341624,1.1481705320341624,4.0682670454545455,1.2642670454545457
0_0_0_0_13_35,RandomGenerator,0,6,1000,3.376470711409044,1.3502263842536608,1.3502263842536608,4.490886363636364,1.6868863636363645
0_0_0_0_13_37,RandomGenerator,0,6,1000,3.759487189305222,1.4769107195439777,1.4769107195439777,4.487397727272727,1.6833977272727272
0_0_0_0_13_4,RandomGenerator,0,6,1000,4.305299169266855,1.6814062575285218,1.6814062575285218,4.798210227272727,1.9942102272727271
0_0_0_0_13_6,RandomGenerator,0,6,1000,3.852716743110385,1.522116335471643,1.522116335471643,4.445090909090909,1.641090909090909
0_0_0_0_14_0,RandomGenerator,0,6,1000,2.1933822684692204,0.8090629281683868,0.8090629281683868,3.863505681818182,1.059505681818182
0_0_0_0_14_19,RandomGenerator,0,6,1000,3.0501993306320427,1.2955817782122592,1.2955817782122592,4.324352272727273,1.5203522727272731
0_0_0_0_14_22,RandomGenerator,0,6,1000,5.029858849084871,1.5060129066136974,1.5060129066136974,4.599119318181818,1.795119318181818
0_0_0_0_14_6,RandomGenerator,0,6,1000,3.7885691480265855,1.5451458502526392,1.5451458502526392,4.453727272727273,1.6497272727272736
0_0_0_0_14_8,RandomGenerator,0,6,1000,4.730200554938911,1.8927410139801752,1.8927410139801752,4.998568181818182,2.1945681818181826
0_0_0_0_15_10,RandomGenerator,0,6,1000,3.4095325150793467,1.389164439943884,1.389164439943884,4.261647727272727,1.4576477272727275
0_0_0_0_15_28,RandomGenerator,0,6,1000,2.6129967862244152,1.0991063364540992,1.0991063364540992,4.044704545454546,1.240704545454546
0_0_0_0_16_16,RandomGenerator,0,6,1000,1.5523280702104685,0.71844672849121,0.71844672849121,3.5203636363636366,0.7163636363636368
