# Started at: 2022-04-12 13:37:38 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=10 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8a/all//inst_0200.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8a/all//inst_0200.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11065,40900,41700,41900,40500,40300,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,0,0
268.463,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
458.161,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
992.629,40900,41700,42300,40300,40300,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,27.474,506945.317,,,,,,,,,,63.3663,7.14286,37.3737,3.06122,33.3333,1.0101
1993.05,40700,41700,42100,40500,40300,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506950.584,,,,,,,,,,59.596,4,36.6337,0.990099,32.6733,0
2582.5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2993.03,40700,41700,42100,40300,40300,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506957.168,,,,,,,,,,60.396,3.9604,37,0,32,0
3993.42,40700,41700,41900,40300,40300,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506963.688,,,,,,,,,,59.596,4,36,0,32.6733,0
4993.12,40700,41700,42300,40500,40300,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506970.273,,,,,,,,,,60.396,4.9505,36.3636,0,32.3232,0
5372.52,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
5993.32,41100,41900,42300,40500,40700,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506976.801,,,,,,,,,,59.596,2.04082,36,0,32.6733,0
6150.85,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6993.36,40900,42100,42100,40700,40500,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506983.396,,,,,,,,,,61,4,36.6337,0,31.3131,0
7275.39,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
7993.01,40900,42100,42300,40700,40700,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506989.905,,,,,,,,,,60,4.90196,36.3636,0,32,0
8166.36,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
8993.49,40900,42100,42600,40700,40700,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,506996.475,,,,,,,,,,60,4.9505,36.6337,0,33.3333,0
9992.89,41100,42300,42500,40700,40700,70000,600000,600000,600000,600000,1.296e+06,1.296e+06,,507002.991,,,,,,,,,,60,3.0303,36.3636,0,32.3232,0
