# Started at: 2022-05-25 08:22:46 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=60 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/scale-1x/imx8a/all//inst_0622.json.yaml.csv -- demos-sched -p high -c /root/JSA/power_experiment/demos_configurations/scale-1x/imx8a/all//inst_0622.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.38915,48300,49100,49700,47700,47700,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,33.3333,0,0,0,0,0
157.539,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
660.202,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,
994.228,48100,49100,48900,47400,47000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.589,2542105.845,,,,,,,,,,3.09278,0,1.0101,57,1.0101,5
1170.04,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,
1671.89,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,
1993.21,47400,48500,48900,47000,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542111.781,,,,,,,,,,1.96078,0.990099,0,56.5657,0,0
2181.65,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,
2683.7,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,
2993.24,47400,48300,48500,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542117.635,,,,,,,,,,0,1,0,56,0,0
3193.52,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,
3994.07,47400,48300,48500,46800,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542123.535,,,,,,,,,,0,0,0,56,0,0
4133.41,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,
4635.41,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,
4993.84,47400,48300,48300,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542129.393,,,,,,,,,,0,0,0,56.5657,0,0
5145.21,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,
5647.06,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,
5994.19,47400,48100,48100,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542135.291,,,,,,,,,,0,0,0,56.4356,0,0
6156.86,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,
6658.82,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,
6993.68,47400,47900,48300,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542141.141,,,,,,,,,,0,0,0,56,0,0
7168.62,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,
7670.65,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,
7993.85,47000,47900,48100,46600,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542147.054,,,,,,,,,,0,0,0,55.5556,0,0
8180.48,,,,,,,,,,,,,,,,,,,,,315,,,,,,,,
8682.48,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,
8994.22,47200,47900,48100,46400,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542152.901,,,,,,,,,,0.990099,0.990099,0,57,0,0
9192.31,,,,,,,,,,,,,,,,,,,,,355,,,,,,,,
9994.16,47200,48100,48100,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542158.811,,,,,,,,,,0,0,0,56,0,0
10132.3,,,,,,,,,,,,,,,,,,,,,390,,,,,,,,
10634.5,,,,,,,,,,,,,,,,,,,,,425,,,,,,,,
10993.7,47000,47900,48300,46400,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.557,2542164.674,,,,,,,,,,0.990099,0.990099,0,56.4356,0,0
11144.3,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,
11646.4,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,
11994.2,47000,47900,48100,46400,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542170.582,,,,,,,,,,0,0,0,56,0,0
12156.2,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,
12658.2,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,
12993.9,47000,48100,48100,46600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542176.444,,,,,,,,,,0,0,0,56.1224,0,0
13168,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,
13669.8,,,,,,,,,,,,,,,,,,,,,545,,,,,,,,
13993.9,47000,47900,48100,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542182.351,,,,,,,,,,0,0,0,56.4356,0,0
14179.7,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,
14681.5,,,,,,,,,,,,,,,,,,,,,585,,,,,,,,
14993.7,47000,47900,48100,46400,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542188.212,,,,,,,,,,0,0,0,56,0,0
15191.3,,,,,,,,,,,,,,,,,,,,,590,,,,,,,,
15993.2,47200,48100,48100,46600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542194.127,,,,,,,,,,0.990099,0,0,56.5657,0,0
16131.3,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,
16633.5,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,
16993.6,47000,47900,48100,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2542199.984,,,,,,,,,,0,0,0,55.5556,0,0
17143.2,,,,,,,,,,,,,,,,,,,,,665,,,,,,,,
17645,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,
