# Started at: 2022-05-25 22:59:11 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=60 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/scale-1x/imx8a/cpu//inst_0455.json.yaml.csv -- demos-sched -p high -c /root/JSA/power_experiment/demos_configurations/scale-1x/imx8a/cpu//inst_0455.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1309,48700,49900,49900,48100,48100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,50,0,0,50,0,0
145.357,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
148.774,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
662.752,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,
994.149,49300,50100,50300,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.504,2915169.280,,,,,,,,,,87.8788,53,47.9592,84,47.5248,4.0404
1118.38,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,
1182.76,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,
1706.64,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,
1994.45,49300,49900,50100,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915177.172,,,,,,,,,,90.099,54.5455,48,82.1782,49,0.990099
2119.36,,,,,,,,,,,,,,,,,,,,,,593,,,,,,,
2226.11,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,
2750.22,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,
2994.39,49300,49900,50100,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915185.152,,,,,,,,,,90.9091,55,48.5149,82.8283,48.4848,0
3118.35,,,,,,,,,,,,,,,,,,,,,,899,,,,,,,
3270.08,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,
3793.93,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,
3994.09,49300,49900,49900,48100,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915193.043,,,,,,,,,,90,55,48.4848,82.1782,49,0
4118.56,,,,,,,,,,,,,,,,,,,,,,1206,,,,,,,
4313.61,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,
4837.31,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,
4994.25,49100,49900,49900,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915199.230,,,,,,,,,,90.099,55,48,82.8283,48.4848,1
5119.41,,,,,,,,,,,,,,,,,,,,,,1513,,,,,,,
5357.49,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,
5881.11,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,
5994.31,49300,49900,49900,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915207.111,,,,,,,,,,90.9091,54.4554,47.4747,83.1683,49.0196,0
6118.36,,,,,,,,,,,,,,,,,,,,,,1819,,,,,,,
6401.18,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,
6498.37,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6924.9,,,,,,,,,,,,,,,,,,247,,,,,,,,,,,
6994.06,49300,49900,50300,48300,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915215.016,,,,,,,,,,89.899,55,48,82.1782,49,0
7119.03,,,,,,,,,,,,,,,,,,,,,,2126,,,,,,,
7161.74,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
7445.08,,,,,,,,,,,,,,,,,,264,,,,,,,,,,,
7968.43,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,
7994.57,49300,49900,50100,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915222.996,,,,,,,,,,91.1765,55.4455,48,82.8283,49.505,0.990099
8118.27,,,,,,,,,,,,,,,,,,,,,,2432,,,,,,,
8488.75,,,,,,,,,,,,,,,,,,302,,,,,,,,,,,
8993.93,49300,49900,50100,47900,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915230.908,,,,,,,,,,90,55,48.4848,83,49,0
9012.2,,,,,,,,,,,,,,,,,,323,,,,,,,,,,,
9119.05,,,,,,,,,,,,,,,,,,,,,,2739,,,,,,,
9532.96,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,
9994.6,49300,49900,50300,48300,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915238.877,,,,,,,,,,90,54.5455,48,82,48.4848,0.990099
10118.3,,,,,,,,,,,,,,,,,,,,,,3045,,,,,,,
10127.3,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,
10651.4,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,
10994.6,49300,49900,50300,48500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.514,2915246.855,,,,,,,,,,90.9091,55,48,83,49,1
11119.1,,,,,,,,,,,,,,,,,,,,,,3353,,,,,,,
11171.1,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,
11670.2,,,,,,,,,,,,,,,,,,418,,,,,,,,,,,
11994.6,49300,50100,50300,48500,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915254.768,,,,,,,,,,90,54,48.5149,82.1782,48.4848,0.990099
12118.7,,,,,,,,,,,,,,,,,,,,,,3660,,,,,,,
12189.5,,,,,,,,,,,,,,,,,,435,,,,,,,,,,,
12713.6,,,,,,,,,,,,,,,,,,456,,,,,,,,,,,
12792.6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12993.9,49300,50300,50300,48500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915262.695,,,,,,,,,,90.9091,55,48,83,48.5149,0
13118,,,,,,,,,,,,,,,,,,,,,,3967,,,,,,,
13233.3,,,,,,,,,,,,,,,,,,473,,,,,,,,,,,
13572.2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
13757.2,,,,,,,,,,,,,,,,,,494,,,,,,,,,,,
13994.7,49500,50300,50300,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2915270.676,,,,,,,,,,90.099,55.4455,47.4747,82.1782,49,0
14119,,,,,,,,,,,,,,,,,,,,,,4275,,,,,,,
14276.8,,,,,,,,,,,,,,,,,,511,,,,,,,,,,,
14801,,,,,,,,,,,,,,,,,,532,,,,,,,,,,,
