# Started at: 2022-04-13 10:03:44 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=30 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8b/all-30//inst_0357.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8b/all//inst_0357.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1491,44400,44200,44600,43000,44000,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,50,0,0,0,50,50
426.999,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
434.79,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
991.156,44800,44600,44400,43200,44000,70000,896000,896000,896000,896000,600000,600000,25.415,501022.170,,,,,,,,,,8.24742,14.2857,1,47,84.8485,2
1991.67,44800,44600,45000,43200,44000,70000,896000,896000,896000,896000,600000,600000,,501028.596,,,,,,,,,,11,1,1,46,88,6.12245
2136.68,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2991.34,45200,44800,45200,43600,44000,70000,896000,896000,896000,896000,600000,600000,,501035.018,,,,,,,,,,5.05051,12.1212,2,48.5149,87.8788,0.990099
3991.41,44800,45000,44800,43400,44200,70000,896000,896000,896000,896000,600000,600000,,501041.412,,,,,,,,,,13.1313,8,0,46,88,0
4991.25,45200,44800,44800,43800,44400,70000,896000,896000,896000,896000,600000,600000,,501047.759,,,,,,,,,,15.6863,7.07071,1,46,88,0
5915.66,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5990.79,45000,45000,45200,43800,44600,70000,896000,896000,896000,896000,600000,600000,,501054.156,,,,,,,,,,11.8812,8,0,46,89,0
6991.49,45000,45200,45200,43800,44600,70000,896000,896000,896000,896000,600000,600000,,501060.344,,,,,,,,,,11.1111,8.82353,0.990099,46,88.8889,0
7990.87,45200,45400,45400,43600,44800,70000,896000,896000,896000,896000,600000,600000,,501067.000,,,,,,,,,,9,10.2041,0,48.4848,88,0
8990.8,45200,45000,45400,44000,44600,70000,896000,896000,896000,896000,600000,600000,,501073.405,,,,,,,,,,9.90099,7.07071,4.0404,46,88.1188,0
9588.57,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
9990.84,45200,45000,45200,43600,44400,70000,896000,896000,896000,896000,600000,600000,,501079.740,,,,,,,,,,3.0303,15,3,47.0588,88,0
10991.4,45200,45200,45200,44000,44800,70000,896000,896000,896000,896000,600000,600000,25.426,501086.127,,,,,,,,,,12.7451,0,8,45.4545,88.7755,0
11492.6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
11991.1,45200,45000,45400,43800,44600,70000,896000,896000,896000,896000,600000,600000,,501092.546,,,,,,,,,,4.0404,0,16,48.5149,88,0
12991.5,45600,45400,45200,44000,44600,70000,896000,896000,896000,896000,600000,600000,,501098.960,,,,,,,,,,9.90099,12.1212,0,46,88.1188,0
13990.9,45200,45000,45400,44000,44600,70000,896000,896000,896000,896000,600000,600000,,501105.356,,,,,,,,,,11.1111,10,0,46,87.8788,0
14990.9,45400,45400,45400,44000,45000,70000,896000,896000,896000,896000,600000,600000,,501111.683,,,,,,,,,,3,15,1,46,88,0
15990.9,45200,45000,45200,44000,44600,70000,896000,896000,896000,896000,600000,600000,,501118.101,,,,,,,,,,11,6,1.9802,48.4848,88,0
16955.6,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
16991.7,45600,45400,45400,44000,44800,70000,896000,896000,896000,896000,600000,600000,,501124.474,,,,,,,,,,12.8713,7.07071,1,48.5149,87.8788,0
17991.3,45600,45400,45400,44200,44600,70000,896000,896000,896000,896000,600000,600000,,501130.870,,,,,,,,,,14.433,1,1.9802,51,88.1188,0
18991.6,45600,45400,46000,44200,45000,70000,896000,896000,896000,896000,600000,600000,,501137.259,,,,,,,,,,13.8614,8.91089,0,46,88,0.990099
19277.7,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
19990.9,45400,45400,45400,44200,45000,70000,896000,896000,896000,896000,600000,600000,,501141.974,,,,,,,,,,8.16327,7.21649,0,46,88.8889,0
20991.5,45600,45400,45800,44400,44800,70000,896000,896000,896000,896000,600000,600000,25.415,501148.376,,,,,,,,,,4,14.1414,0.990099,46.4646,88,0
21990.9,46000,45600,45400,44400,44800,70000,896000,896000,896000,896000,600000,600000,,501154.732,,,,,,,,,,9.90099,8.91089,1.9802,48,88.1188,0
22534.6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
22991.5,45600,45400,45800,44600,45000,70000,896000,896000,896000,896000,600000,600000,,501161.194,,,,,,,,,,8.91089,3.0303,8.08081,49,88,0
23991.2,46000,45800,45800,44200,44800,70000,896000,896000,896000,896000,600000,600000,,501167.538,,,,,,,,,,15.3061,3,0,49.505,87.8788,0
