# Started at: 2022-05-14 22:25:48 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=60 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/scale-1x/imx8b/all//inst_0855.json.yaml.csv -- demos-sched -p high -c /root/JSA/power_experiment/demos_configurations/scale-1x/imx8b/all//inst_0855.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13186,49900,49900,49700,48500,49500,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,50,0,0,33.3333,0,0
151.434,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
417.563,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
991.229,49900,49700,49900,48500,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,6.18557,45.4545,6.12245,28,3.06122,4.0404
1122.93,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,
1475.1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
1991.28,49700,49700,49500,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,28.247,2484932.285,,,,,,,,,,9.90099,44.4444,3,30,3,0
2122.94,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,
2542.74,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
2991.33,49900,49500,49500,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484938.599,,,,,,,,,,9.09091,45.5446,1.9802,28.5714,5,0
3120.21,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
3123.15,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,
3991.67,49500,49700,49500,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484944.872,,,,,,,,,,9,44.4444,0,29.703,4,0.990099
4120.27,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
4122.72,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,
4166.7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
4433.04,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
4991.06,49900,49700,49500,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484951.269,,,,,,,,,,13.1313,45,1,29.2929,4.90196,1
5120.04,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
5121.64,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,
5489.92,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
5991.44,49700,49700,49500,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484957.541,,,,,,,,,,9.80392,44.4444,1,30,4,1
6119.88,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
6121.36,,,,,,,,,,,,,,,,,,,,,315,,,,,,,,
6559.35,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
6990.96,49900,49500,49700,48300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484963.847,,,,,,,,,,10,45.5446,1,30,5,1
7119.62,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
7119.77,,,,,,,,,,,,,,,,,,,,,368,,,,,,,,
7991.56,49900,49700,49500,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484970.183,,,,,,,,,,9,44.5545,1,29.2929,4,1
8119.1,,,,,,,,,,,,,,,,,,,,,422,,,,,,,,
8119.33,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
8187.83,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
8448.38,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
8991.71,49700,49700,49500,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484976.467,,,,,,,,,,9.09091,44.4444,1,29.703,5.88235,1
9119.21,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
9123.42,,,,,,,,,,,,,,,,,,,,,476,,,,,,,,
9508.76,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
9991.6,49700,49300,49700,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484981.406,,,,,,,,,,9,45,0,30,0,5.94059
10119,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
10123.1,,,,,,,,,,,,,,,,,,,,,530,,,,,,,,
10991.9,49700,49500,49500,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2484987.613,,,,,,,,,,10.7843,45,2.0202,30,0,3
11118.8,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,
11121.5,,,,,,,,,,,,,,,,,,,,,583,,,,,,,,
11145.9,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
11406.9,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
11992,49900,49500,49900,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,28.332,2484994.049,,,,,,,,,,8.08081,48.4848,1,30,3,1
12121.1,,,,,,,,,,,,,,,,,,,,,637,,,,,,,,
