# Started at: 2022-04-13 18:12:32 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=30 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8b/cpu-30//inst_0331.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8b/cpu//inst_0331.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13223,43600,43200,43200,42100,43200,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,0,0,0,0,0,0
129.139,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
131.364,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
369.285,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
991.827,44000,43600,43600,42500,43400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,26.767,680403.173,,,,,,,,,,5.15464,34.6939,31.6327,29.8969,3.0303,74
1100.09,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1991.5,44000,43800,44000,42500,43800,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680409.705,,,,,,,,,,2.9703,38.3838,34,30.303,4,73.7374
2991.09,44200,43800,44000,42800,43800,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680416.360,,,,,,,,,,2,41.1765,40.5941,25,5.05051,73.7374
3991.32,44200,44200,44200,42800,43800,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680422.950,,,,,,,,,,5,37.3737,34,30,3,73.2673
4992.09,44200,44200,44400,43200,43600,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680429.592,,,,,,,,,,6,41,36,24.2424,3,73.7374
5991.68,44400,44200,44400,43200,44200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680436.228,,,,,,,,,,2,37,36,30,3.06122,74
6991.71,44800,44600,44800,43200,44200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680442.747,,,,,,,,,,10.101,37.3737,34.3434,24.2424,2,73
7701.71,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
7991.5,44600,44200,44400,43200,43800,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680449.409,,,,,,,,,,10.7843,41.4141,37,24.2424,1,74
8992.07,44800,44400,44800,43600,44200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680455.967,,,,,,,,,,2,45,33.3333,24,3.0303,74
9991.7,44800,44600,44800,43600,44000,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680462.545,,,,,,,,,,0,37.3737,34,31,4.9505,74
10991.2,44800,44800,45000,43600,44400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,26.767,680469.160,,,,,,,,,,3,41.7476,34,31.6832,2,73
11991.5,45000,44800,44800,43600,44200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680475.740,,,,,,,,,,2,37.3737,41,29.5918,3,73.7374
12991.8,45000,44600,45000,43600,44400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680482.315,,,,,,,,,,1.0101,37,33.3333,30.6931,3.0303,74
13991.3,45200,45000,45200,44000,44400,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680488.871,,,,,,,,,,6,41.4141,35.3535,25,4,73.7374
14991.2,45600,45000,45200,43600,44600,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680495.494,,,,,,,,,,2,43.4343,34,28.7129,3.0303,73.2673
15116.6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
15521.1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
15992.1,45200,45000,45200,44000,44600,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,1.296e+06,1.296e+06,,680502.025,,,,,,,,,,2.9703,42,34,27,3.0303,73.7374
