# Started at: 2022-04-08 22:26:39 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=10 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/imx8b/cpu//inst_0245.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/imx8b/cpu//inst_0245.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12848,48300,48500,48700,47500,47700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,33.3333,0,0,0,0
991.521,48300,48100,48300,47200,47700,70000,896000,896000,896000,896000,600000,600000,24.214,708846.384,,,,,,,,,,38.3838,6,7.14286,60.2041,1.03093,10.8911
1211.65,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1991.92,48500,47900,48300,47000,47700,70000,896000,896000,896000,896000,600000,600000,,708852.335,,,,,,,,,,40.5941,0,2,62.3762,12.8713,0
2992.23,48500,48100,48300,47000,47500,70000,896000,896000,896000,896000,600000,600000,,708858.383,,,,,,,,,,39.3939,0,3,62,14,0
3992.02,48300,48100,48300,47200,47500,70000,896000,896000,896000,896000,600000,600000,,708864.398,,,,,,,,,,39,0,2,61.6162,13.4021,0
4992.19,48300,48100,48300,47200,47500,70000,896000,896000,896000,896000,600000,600000,,708870.508,,,,,,,,,,39,1.9802,3.9604,61.2245,10.101,0
5351.25,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
5991.59,48300,47900,48300,47000,47500,70000,896000,896000,896000,896000,600000,600000,,708876.498,,,,,,,,,,39.3939,0,5.05051,62,10,0
6991.72,48700,48100,48300,47200,47700,70000,896000,896000,896000,896000,600000,600000,,708882.536,,,,,,,,,,39.604,4,0.990099,62,13.1313,0
7317.64,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
7991.82,48300,47900,48300,47200,47700,70000,896000,896000,896000,896000,600000,600000,,708888.592,,,,,,,,,,40,0,0,62.2449,16.1616,0
8991.68,48100,47700,48300,46800,47500,70000,896000,896000,896000,896000,600000,600000,,708894.633,,,,,,,,,,38.3838,4,0,62.7451,11.8812,1
9992.15,48300,48100,48300,47000,47500,70000,896000,896000,896000,896000,600000,600000,,708900.594,,,,,,,,,,39.604,5.05051,0,61.6162,9.09091,0
