# Started at: 2022-05-27 10:22:29 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=60 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/scale-1x/imx8b/cpu//inst_0249.json.yaml.csv -- demos-sched -p high -c /root/JSA/power_experiment/demos_configurations/scale-1x/imx8b/cpu//inst_0249.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10898,46800,46800,46800,45400,46400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,33.3333,0,0,0,33.3333,0
146.553,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,
221.804,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
647.564,,,,,,,,,,,,,,,,,,,,,,316,,,,,,,
990.276,47000,46800,46400,45600,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.589,2508975.777,,,,,,,,,,21.4286,68,8.16327,65,67.7083,2.0202
1118.62,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,
1147.49,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,
1647.54,,,,,,,,,,,,,,,,,,,,,,738,,,,,,,
1990.68,46800,46800,46800,45200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2508983.215,,,,,,,,,,28,61,5.10204,66.6667,67,0
2118.4,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,
2148.26,,,,,,,,,,,,,,,,,,,,,,844,,,,,,,
2648.06,,,,,,,,,,,,,,,,,,,,,,1159,,,,,,,
2991.32,47200,47200,46800,45600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2508990.560,,,,,,,,,,27.2727,61.3861,5,66.3366,69.3069,1
3117.78,,,,,,,,,,,,,,,,,,386,,,,,,,,,,,
3148.06,,,,,,,,,,,,,,,,,,,,,,1266,,,,,,,
3303.63,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3648.35,,,,,,,,,,,,,,,,,,,,,,1582,,,,,,,
3990.52,46800,47000,47000,45600,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2508998.018,,,,,,,,,,30.6931,61,3,66.6667,67.6768,1
4118.49,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,
4149.31,,,,,,,,,,,,,,,,,,,,,,1690,,,,,,,
4649.54,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,
4990.67,47000,46800,46600,45600,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2509005.459,,,,,,,,,,29.703,60.6061,7.92079,66.6667,66.6667,1
5117.94,,,,,,,,,,,,,,,,,,659,,,,,,,,,,,
5150.79,,,,,,,,,,,,,,,,,,,,,,2114,,,,,,,
5650.75,,,,,,,,,,,,,,,,,,,,,,2430,,,,,,,
5745.74,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
5990.92,47200,46800,47200,45600,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,2509012.818,,,,,,,,,,21.2121,61,10.3093,66.3366,67,0
6117.31,,,,,,,,,,,,,,,,,,792,,,,,,,,,,,
6150.35,,,,,,,,,,,,,,,,,,,,,,2537,,,,,,,
6651.43,,,,,,,,,,,,,,,,,,,,,,2853,,,,,,,
