# Started at: 2022-04-14 20:37:10 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=30 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/power_experiment/measurements/scale-3x/imx8b/cpu//inst_0612.json.yaml.csv -- demos-sched -p per_process -c /root/JSA/power_experiment/demos_configurations/scale-3x/imx8b/cpu//inst_0612.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11923,47700,47500,47700,46600,47200,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,50,0,0,0,0,50
139.069,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
140.339,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
644.555,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,
990.855,47700,47400,47500,46400,47200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,26.52,1237356.999,,,,,,,,,,4.0404,4.08163,87.6289,89.5833,10.3093,7.07071
1148.5,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,
1652.12,,,,,,,,,,,,,,,,,,,,267,,,,,,,,,
1991.57,47700,47500,47500,46400,47200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,1237362.716,,,,,,,,,,1.9802,0,100,12.8713,7.92079,8
2156.15,,,,,,,,,,,,,,,,,,,,356,,,,,,,,,
2659.69,,,,,,,,,,,,,,,,,,,,445,,,,,,,,,
2990.97,47500,47000,47200,46200,46800,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,1237368.361,,,,,,,,,,1.0101,0,100,0,7.07071,7.92079
3114.43,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
3160.85,,,,,,,,,,,,,,,,,,,,515,,,,,,,,,
3664.86,,,,,,,,,,,,,,,,,,,,604,,,,,,,,,
3990.91,47500,47000,47400,46200,47200,70000,1.104e+06,1.104e+06,1.104e+06,1.104e+06,600000,600000,,1237374.559,,,,,,,,,,1.0101,0,89.1089,88.1188,12,12
4168.85,,,,,,,,,,,,,,,,,,,,693,,,,,,,,,
4672.79,,,,,,,,,,,,,,,,,,,,782,,,,,,,,,
