instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
inst_0000,RandomGenerator,0,3,1000,1.817766579672129,2.2930004150914893,0.6668302517977446,6.582151467730176,1.0921514677301758
inst_0001,RandomGenerator,0,4,1000,3.064794091293111,2.8947019668361564,2.4333768576576005,8.187536025977078,2.6975360259770778
inst_0002,RandomGenerator,0,5,1000,3.883991300108359,4.954588195061545,3.197470871795416,8.788283420852618,3.298283420852618
inst_0003,RandomGenerator,0,3,1000,2.1270655016060105,2.3712058435071035,0.901469511347032,6.569297341601268,1.0792973416012677
inst_0004,RandomGenerator,0,1,1000,2.0716055593751084,2.043196082298248,0.7968464720963168,6.6205068050166656,1.1305068050166653
inst_0005,RandomGenerator,0,3,1000,2.1670550587755653,2.1410914401352787,0.640135157012339,6.320802972524868,0.830802972524868
inst_0006,RandomGenerator,0,4,1000,3.101387254626874,3.4461888354673174,1.7516979310077867,7.283802072946085,1.793802072946085
inst_0007,RandomGenerator,0,2,1000,2.5963976517942298,2.587699291799069,1.9770152026918693,7.712243925678951,2.222243925678951
inst_0008,RandomGenerator,0,3,1000,1.9502466182984648,2.4066402537366787,1.932119837009024,7.72608097134223,2.23608097134223
inst_0009,RandomGenerator,0,2,1000,1.549285842287696,1.047698810493597,0.5597464050445874,6.7629298186525215,1.2729298186525213
inst_0010,RandomGenerator,0,5,1000,2.69546676724609,5.036003616682558,1.806288976522628,7.517441614741663,2.0274416147416625
inst_0011,RandomGenerator,0,1,1000,0.4107039844397839,0.3676963819174949,0.2401057373921241,5.876166544718268,0.38616654471826806
inst_0012,RandomGenerator,0,2,1000,2.37054654050566,2.8560890696284207,1.0231685853565518,6.702433759808902,1.212433759808902
inst_0013,RandomGenerator,0,2,1000,0.8296117626326043,2.66510592932951,0.1085824008337155,5.796580530882842,0.306580530882842
inst_0014,RandomGenerator,0,4,1000,2.198242506604004,3.818092004123727,1.2181461631392834,6.640918117538369,1.1509181175383691
inst_0015,RandomGenerator,0,3,1000,0.820893939397253,1.5073308434120496,0.2616224776742806,5.868431792414161,0.3784317924141609
inst_0016,RandomGenerator,0,3,1000,2.4171246803425683,3.487483829325569,1.0882114452913716,6.871258109257767,1.3812581092577672
inst_0017,RandomGenerator,0,4,1000,2.6384774574128653,2.973677723528848,2.2507874344408005,7.778819083658681,2.288819083658681
inst_0018,RandomGenerator,0,4,1000,4.19176502394122,4.349255167582841,1.8252361049301944,7.514924303029774,2.024924303029774
inst_0019,RandomGenerator,0,3,1000,3.171164469181359,2.89208918058382,2.121320531303872,7.649311567807738,2.1593115678077375
inst_0020,RandomGenerator,0,5,1000,2.44932383477048,6.484359465036144,1.631954387471291,7.171990681472538,1.6819906814725378
inst_0021,RandomGenerator,0,5,1000,3.50634728078708,4.398334182499166,2.5206469961193982,8.141037941347184,2.651037941347184
inst_0022,RandomGenerator,0,5,1000,2.8690946164706324,5.008561500546107,2.2902459553236945,7.711737256443912,2.2217372564439115
inst_0023,RandomGenerator,0,5,1000,3.5596936208462697,4.639636066025099,2.7875604974631325,8.190169562582991,2.7001695625829907
inst_0024,RandomGenerator,0,2,1000,1.9322516001542969,1.4696200092436198,1.1865493489933885,7.188659504957589,1.6986595049575888
inst_0025,RandomGenerator,0,2,1000,1.863612897041195,2.9588909399999936,0.9581766845364582,7.250829560289307,1.7608295602893067
inst_0026,RandomGenerator,0,2,1000,2.0291347450347126,3.4006951854832943,1.2182220481923278,6.951074965103457,1.4610749651034567
inst_0027,RandomGenerator,0,4,1000,1.7408988365928624,4.0511309238296125,0.949002811478813,6.897314251988733,1.4073142519887325
inst_0028,RandomGenerator,0,4,1000,2.047077216863155,4.191320407874226,1.2760850240423345,7.062553832597999,1.5725538325979986
inst_0029,RandomGenerator,0,3,1000,1.9524212493145543,4.075884475224465,0.9663545299594604,6.7456886019770375,1.2556886019770372
inst_0030,RandomGenerator,0,2,1000,1.449084732045408,1.0896157884061202,0.6118776504119443,6.6799873962503495,1.1899873962503493
inst_0031,RandomGenerator,0,1,1000,0.4068495615191906,0.5314527328362525,0.2896417393957576,5.915971878803943,0.42597187880394305
inst_0032,RandomGenerator,0,3,1000,1.6510647905986953,1.8373917308616288,0.6044010194804902,6.581238832525967,1.091238832525967
inst_0033,RandomGenerator,0,1,1000,0.292959344778529,0.2617220586838234,0.0910792764219705,5.753993897762119,0.263993897762119
inst_0034,RandomGenerator,0,3,1000,3.3216215381952687,3.1821085940127523,2.5985865375014368,8.142400595920487,2.6524005959204864
inst_0035,RandomGenerator,0,1,1000,1.3938050694200534,1.7099831895472577,0.0837891762878156,5.818132967243777,0.3281329672437767
inst_0036,RandomGenerator,0,3,1000,1.6544605250684965,1.8418732592697609,0.4784954326605795,6.223657252159952,0.7336572521599516
inst_0037,RandomGenerator,0,3,1000,3.830924575171004,3.371722656713395,2.655804627062995,8.542933626762345,3.0529336267623446
inst_0038,RandomGenerator,0,2,1000,1.0578534616783504,1.7370193771687357,0.930481551441584,6.4849409490787036,0.9949409490787033
inst_0039,RandomGenerator,0,3,1000,3.2789880314954125,2.969754545044803,2.151502687580111,8.043020385475522,2.553020385475522
inst_0040,RandomGenerator,0,3,1000,2.728121438520573,3.663633746085461,1.7166015950629785,7.493582029456182,2.003582029456182
inst_0041,RandomGenerator,0,3,1000,2.181304216137458,3.0010624410682785,1.113077339764735,7.290803848619613,1.800803848619613
inst_0042,RandomGenerator,0,1,1000,0.3984675450065666,0.3676963819174949,0.2220886146781669,5.864527481252411,0.37452748125241087
inst_0043,RandomGenerator,0,3,1000,1.3238673062989843,2.059295278513059,1.2467926772752995,6.699089467231129,1.209089467231129
inst_0044,RandomGenerator,0,5,1000,3.09710779048069,4.659693233418632,2.7076778732834463,7.913449301558935,2.423449301558935
inst_0045,RandomGenerator,0,3,1000,1.9730326564570129,2.7028877470398247,0.7903591714209522,6.492450380207514,1.002450380207514
inst_0046,RandomGenerator,0,4,1000,2.2656946149891035,2.2876591889215323,1.8392005096092163,7.565197243619279,2.0751972436192787
inst_0047,RandomGenerator,0,2,1000,0.3297272406675684,1.1162114897328437,0.1190231939439297,5.808583099840271,0.31858309984027056
inst_0048,RandomGenerator,0,4,1000,3.724731438098937,4.5155649953981785,3.2054064737896786,8.45911086976815,2.9691108697681496
inst_0049,RandomGenerator,0,2,1000,1.4187893529998437,1.4135618334736484,0.4903769424570787,6.466753496838642,0.9767534968386418
inst_0050,RandomGenerator,0,3,1000,0.8135861666755698,3.118123721036961,0.3732217416316251,5.992766868878279,0.5027668688782789
inst_0051,RandomGenerator,0,3,1000,2.610081067696793,3.857850441368357,1.5268528884757282,7.3987784928707425,1.9087784928707423
inst_0052,RandomGenerator,0,4,1000,2.269676190377876,3.0087199323421454,0.6766857706876441,6.422459230155453,0.9324592301554526
inst_0053,RandomGenerator,0,1,1000,0.3281872383206792,0.3553288736969791,0.1705578593745499,5.807561278597882,0.3175612785978821
inst_0054,RandomGenerator,0,4,1000,2.677383201533841,2.314964628141882,1.3178710245995475,7.6458520557787475,2.1558520557787473
inst_0055,RandomGenerator,0,3,1000,1.3613522970488512,3.947734908467349,0.8080524403326184,6.416136831297029,0.9261368312970291
inst_0056,RandomGenerator,0,2,1000,2.0065717231295395,2.779389470794228,0.4681681751110074,6.442841608909363,0.9528416089093632
inst_0057,RandomGenerator,0,1,1000,1.9037840294457615,0.8535633704537652,0.3405717848110522,6.366096391443675,0.8760963914436743
inst_0058,RandomGenerator,0,4,1000,1.7584920769136292,2.5836660286172624,1.6548347809473505,7.007503787742944,1.5175037877429434
inst_0059,RandomGenerator,0,4,1000,4.707683141120513,5.710496005968824,2.875311376120402,8.668260761033155,3.1782607610331546
inst_0060,RandomGenerator,0,2,1000,2.072839121278691,2.4411656883560013,0.9124955620781604,6.718676268342403,1.2286762683424026
inst_0061,RandomGenerator,0,3,1000,3.8104421766641328,3.414985692940525,3.205070909599176,9.003863369984906,3.5138633699849056
inst_0062,RandomGenerator,0,3,1000,1.986875772911805,2.323281996471413,0.3813369490620232,6.3103287248643785,0.8203287248643782
inst_0063,RandomGenerator,0,3,1000,3.063859120063304,4.667768782212009,1.833658301437441,7.7547370059574625,2.2647370059574623
inst_0064,RandomGenerator,0,4,1000,3.278258443038349,3.5269073068030474,1.9100657200700089,8.232676665121364,2.7426766651213637
inst_0065,RandomGenerator,0,4,1000,3.8336570993191983,4.692028095365759,3.291989083472382,9.217814431277914,3.7278144312779133
inst_0066,RandomGenerator,0,3,1000,1.809232584433668,1.9917497975104288,0.5987391055607284,6.368390446537112,0.8783904465371117
inst_0067,RandomGenerator,0,5,1000,3.100292544148127,5.6141923323716405,1.9935867162480472,7.426658422581131,1.9366584225811305
inst_0068,RandomGenerator,0,2,1000,1.253381069273545,1.868192212593642,0.8500113652154588,6.501862429637722,1.0118624296377217
inst_0069,RandomGenerator,0,3,1000,3.114942419960832,2.755056849108801,2.525796736457312,8.347459002227046,2.8574590022270456
inst_0070,RandomGenerator,0,2,1000,1.0847065653467682,1.697993935424955,0.9137417405361092,6.819979426306856,1.3299794263068554
inst_0071,RandomGenerator,0,2,1000,2.152070272234102,2.355329337153748,0.7904407330923349,6.518932768812518,1.0289327688125178
inst_0072,RandomGenerator,0,2,1000,1.954493961839556,1.1988555298993346,1.1240959827996246,7.248560259482401,1.758560259482401
inst_0073,RandomGenerator,0,5,1000,2.5832181949444006,3.714129266462307,1.4971498806557817,7.287070817151185,1.7970708171511847
inst_0074,RandomGenerator,0,4,1000,2.6561806556466125,4.119092413901323,1.6605146121546015,7.248012564419546,1.7580125644195457
inst_0075,RandomGenerator,0,3,1000,2.2748623757760256,2.9094076981921555,1.5322925028239889,7.2934133205288125,1.8034133205288123
inst_0076,RandomGenerator,0,4,1000,3.30218500809236,5.093649658210707,2.913077614069241,8.450457613466776,2.960457613466776
inst_0077,RandomGenerator,0,3,1000,2.407371086020272,2.939904036873281,1.7599673297217506,7.471694638697898,1.9816946386978982
inst_0078,RandomGenerator,0,2,1000,0.9904191442502795,1.18323236513332,0.7264891719550385,6.260228746565672,0.7702287465656719
inst_0079,RandomGenerator,0,3,1000,2.1160154845059758,2.636969851530854,1.808110078194636,7.192909864050471,1.7029098640504712
inst_0080,RandomGenerator,0,4,1000,3.1361523089978767,4.48754535089464,1.5778486440236423,7.648072911134541,2.158072911134541
