instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
inst_0000,RandomGenerator,0,3,1000,1.6520408810881535,1.854380041263208,0.683109464707474,6.835193696654298,1.3451936966542979
inst_0001,RandomGenerator,0,4,1000,2.646797085038408,3.8516929368015695,1.7092731254500526,7.722716757367819,2.232716757367819
inst_0002,RandomGenerator,0,3,1000,4.310653268208794,4.678584842909194,3.707243762865876,9.185818253452096,3.695818253452096
inst_0003,RandomGenerator,0,4,1000,2.498459314270162,3.83107910141225,1.8922327733105184,7.64765571993176,2.1576557199317596
inst_0004,RandomGenerator,0,2,1000,0.5138255104995066,0.9005407267368137,0.3949612405958327,5.952170934377849,0.4621709343778484
inst_0005,RandomGenerator,0,2,1000,1.9877692090868169,2.2280523624927917,0.5638698506445596,6.315007948078739,0.8250079480787385
inst_0006,RandomGenerator,0,3,1000,2.6825885015000424,2.984061851903133,1.7472309240850648,7.324275685673713,1.8342756856737124
inst_0007,RandomGenerator,0,4,1000,2.24059112830145,3.4142159823856217,1.4010531747272248,7.124879833433044,1.634879833433044
inst_0008,RandomGenerator,0,4,1000,2.727510400630163,4.2589664888327246,1.887907218593215,7.853229870409988,2.363229870409988
inst_0009,RandomGenerator,0,3,1000,1.662230126347222,2.296861932289634,0.9370367183115214,6.587456558942243,1.097456558942243
inst_0010,RandomGenerator,0,3,1000,2.478998874913455,2.993805090224225,2.076357256209181,7.537053759605238,2.0470537596052374
inst_0011,RandomGenerator,0,3,1000,1.643143365470644,1.9890870431167715,0.8335622223424362,6.771989181965551,1.2819891819655505
inst_0012,RandomGenerator,0,3,1000,2.1165741812100025,3.1395776839671883,1.144679389609319,7.356619300767564,1.8666193007675638
inst_0013,RandomGenerator,0,2,1000,1.3621731935724777,2.5311808604195125,0.120590697048441,5.816561225819594,0.326561225819594
inst_0014,RandomGenerator,0,2,1000,1.3919983115087688,1.6154677240430373,0.8310238635108225,6.410420657617995,0.9204206576179947
inst_0015,RandomGenerator,0,3,1000,1.9342227351396573,2.9983534430702514,0.6735480664786394,6.378286241935892,0.8882862419358917
inst_0016,RandomGenerator,0,3,1000,1.645113788103845,1.737735784978766,0.5477904692294446,6.501833575217513,1.011833575217513
inst_0017,RandomGenerator,0,3,1000,1.81302964223885,3.1548642531873097,0.52720575785265,6.107307648401894,0.6173076484018942
inst_0018,RandomGenerator,0,1,1000,1.1424828024529192,0.6994804182743459,0.3665277391757573,6.226978504278178,0.736978504278178
inst_0019,RandomGenerator,0,4,1000,2.422817738120401,4.070049476245173,1.7448385602231111,7.287942404391598,1.7979424043915975
inst_0020,RandomGenerator,0,3,1000,3.5509109777765016,4.881481733579639,2.9815938110343576,8.706844779604486,3.216844779604486
inst_0021,RandomGenerator,0,3,1000,2.472960368663118,3.057822272545894,1.6177742124400634,7.114010661934845,1.624010661934845
inst_0022,RandomGenerator,0,6,1000,3.1141054950658336,5.265853736816085,2.3111022386423983,7.780496654418662,2.2904966544186616
inst_0023,RandomGenerator,0,3,1000,1.9754253083344933,2.451502972837182,1.250762834616315,7.192479840549822,1.702479840549822
inst_0024,RandomGenerator,0,5,1000,2.0609402396630485,3.8894292534633066,1.0715521788521114,6.647465209543081,1.1574652095430809
inst_0025,RandomGenerator,0,2,1000,2.4125914336190486,2.171188451208741,1.2453274691518152,7.148152334064771,1.6581523340647708
inst_0026,RandomGenerator,0,4,1000,1.842904490424608,3.0411594081607407,1.7546453540613012,7.429240966557966,1.939240966557966
inst_0027,RandomGenerator,0,1,1000,0.8234252675189107,1.3470579597017414,0.6438937047374323,6.258729891882848,0.768729891882848
inst_0028,RandomGenerator,0,4,1000,2.915163101670644,4.186071113986023,2.1141304023293834,7.949855529553953,2.459855529553953
inst_0029,RandomGenerator,0,4,1000,2.347998993786672,4.054804196271483,2.0661572997067625,7.615077966450899,2.125077966450899
inst_0030,RandomGenerator,0,3,1000,1.768645582712978,3.1940154503525733,0.630005296473512,6.611576017476538,1.1215760174765377
inst_0031,RandomGenerator,0,4,1000,1.8116835846005583,2.635314152221647,0.7708658715550689,6.329691188092153,0.8396911880921527
inst_0032,RandomGenerator,0,5,1000,3.150035251393013,4.835156822024148,2.345244365642261,7.892846078171219,2.402846078171219
inst_0033,RandomGenerator,0,2,1000,1.6966525272978068,1.5893377192139213,0.6692523879448593,6.752935698044254,1.262935698044254
inst_0034,RandomGenerator,0,3,1000,1.257309559472364,1.463946304317394,0.4359117546431617,5.981589912047748,0.4915899120477478
inst_0035,RandomGenerator,0,1,1000,1.504795323025581,0.8668164800559057,0.3016521350594552,6.190692724825549,0.700692724825549
inst_0036,RandomGenerator,0,3,1000,2.374818420809328,2.520303960837261,2.091481777023545,7.550957952143798,2.0609579521437977
inst_0037,RandomGenerator,0,2,1000,1.236159270577667,2.73357978025323,0.894470089030375,6.485875377896865,0.9958753778968648
inst_0038,RandomGenerator,0,5,1000,3.1519144604934226,4.121054713216876,2.4673222289505765,8.046854687680021,2.556854687680021
inst_0039,RandomGenerator,0,2,1000,1.3292662096022272,1.2685664476806684,1.0012006290443467,6.639132075468605,1.1491320754686045
inst_0040,RandomGenerator,0,4,1000,2.418758060325775,3.367530983810906,1.861666470905811,7.191355392521621,1.701355392521621
inst_0041,RandomGenerator,0,3,1000,2.017279652891304,3.508377856989533,1.562388305667014,7.140188672196563,1.6501886721965624
inst_0042,RandomGenerator,0,2,1000,0.7675557995093714,1.674234523647476,0.5562175076017144,6.157665535297811,0.6676655352978109
inst_0043,RandomGenerator,0,2,1000,1.9018583022063595,1.142815451087087,1.1078861193909235,7.170921748161815,1.6809217481618148
inst_0044,RandomGenerator,0,1,1000,0.3984675450065666,0.3676963819174949,0.2220886146781669,5.871911166423007,0.3819111664230066
inst_0045,RandomGenerator,0,3,1000,2.7840598082762136,2.5728597659519354,2.129130729154261,8.033490203093294,2.5434902030932935
inst_0046,RandomGenerator,0,5,1000,2.7810620588908512,3.781798840714116,2.0863735081221546,7.744603901858416,2.254603901858416
inst_0047,RandomGenerator,0,2,1000,2.6124483306889927,2.638119668466741,1.946093394644804,7.713507926587966,2.223507926587966
inst_0048,RandomGenerator,0,5,1000,5.045568367823649,6.79264228334016,4.416037446676528,9.574368927060329,4.0843689270603285
inst_0049,RandomGenerator,0,3,1000,0.7531175925538125,3.2398972551373366,0.4552075240031986,6.063433416651803,0.5734334166518025
inst_0050,RandomGenerator,0,4,1000,2.848929702311447,2.836176077442185,2.1768241058730293,7.897847544143595,2.4078475441435945
inst_0051,RandomGenerator,0,3,1000,2.184419974880988,3.0124177618132477,1.0374893720074296,6.642850579591403,1.1528505795914024
inst_0052,RandomGenerator,0,1,1000,2.0524583824240024,2.242999454448201,0.9353307725049,6.747839684889041,1.2578396848890412
inst_0053,RandomGenerator,0,1,1000,0.321651828755072,0.4755481648204543,0.1436155457757772,5.807412047505994,0.31741204750599383
inst_0054,RandomGenerator,0,2,1000,2.147862094344186,2.8601061536829557,1.1021581237184384,6.735351060025673,1.2453510600256728
inst_0055,RandomGenerator,0,4,1000,2.5995224403162744,3.359424382869,1.709475379060921,7.471011706258739,1.9810117062587391
inst_0056,RandomGenerator,0,2,1000,0.4934693790025624,0.9281386666884665,0.3356549339369389,5.927147301052696,0.43714730105269606
inst_0057,RandomGenerator,0,2,1000,2.355596956451429,2.580601328212153,1.283446267404274,7.421385166740588,1.9313851667405881
inst_0058,RandomGenerator,0,4,1000,0.9869696137460642,1.6039655309191403,1.0499047752884705,6.3951253815298825,0.9051253815298823
inst_0059,RandomGenerator,0,2,1000,1.5586129343148554,1.4362290494922916,0.8152994232686815,6.630805166770918,1.1408051667709174
inst_0060,RandomGenerator,0,3,1000,1.0050609295651445,1.501214313745368,0.5370388558862085,6.191842398118487,0.7018423981184867
inst_0061,RandomGenerator,0,2,1000,2.1258825008855435,3.361488613199414,1.548636725641888,7.193815527336268,1.7038155273362676
inst_0062,RandomGenerator,0,4,1000,3.84849652986342,5.560598918529139,3.3692941294307563,8.688450355561649,3.198450355561649
inst_0063,RandomGenerator,0,4,1000,1.6293671395660394,2.436868695297058,1.1002954073148592,6.820176262007232,1.3301762620072317
inst_0064,RandomGenerator,0,2,1000,1.4039901472868557,1.0445095841731975,0.3887495230096092,6.2184259398829065,0.7284259398829063
inst_0065,RandomGenerator,0,4,1000,3.130978563590552,4.545442617169915,1.8684905986826603,7.269319383142437,1.779319383142437
inst_0066,RandomGenerator,0,2,1000,1.068660902473664,1.0786202309027195,0.1743657491072889,5.843994240722853,0.35399424072285246
inst_0067,RandomGenerator,0,4,1000,3.062984791486555,4.7782046025609946,2.1101069191925035,7.565246398762877,2.075246398762877
inst_0068,RandomGenerator,0,3,1000,1.049736873077288,2.3937970248929443,1.0444785293166898,6.468208767594292,0.9782087675942917
inst_0069,RandomGenerator,0,4,1000,3.3689347245495798,3.505248277030536,2.48471465841087,8.221626536501864,2.7316265365018637
inst_0070,RandomGenerator,0,3,1000,2.586448390638172,2.5367461979883053,1.333012978454326,6.91869099400252,1.4286909940025199
inst_0071,RandomGenerator,0,4,1000,3.739363545178724,4.356918683956079,2.7871199609225124,8.557898603783793,3.0678986037837923
inst_0072,RandomGenerator,0,4,1000,1.807123717565592,3.2403085780306284,0.8791964767821542,6.815602887725286,1.3256028877252861
inst_0073,RandomGenerator,0,3,1000,2.67092655406841,3.65656128792185,2.248905103236954,7.814763290856249,2.324763290856249
inst_0074,RandomGenerator,0,2,1000,1.8873287381272212,2.5752899788054067,1.1862187944064202,6.880976630644843,1.3909766306448432
