instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
inst_0000,RandomGenerator,0,3,1000,1.345840723702115,1.7204627900666667,0.531089289294249,6.316773038028004,0.8667730380280041
inst_0001,RandomGenerator,0,4,1000,2.6439682030081384,2.660704116509641,2.2316322682599496,7.780766825940993,2.3307668259409926
inst_0002,RandomGenerator,0,5,1000,3.11114476161198,4.232921101075975,2.670650324918824,8.318126457757446,2.8681264577574455
inst_0003,RandomGenerator,0,3,1000,1.5808879419885986,2.033228949594561,0.7977521477026205,6.473961140301509,1.023961140301509
inst_0004,RandomGenerator,0,1,1000,1.476183927785706,1.7235124334844567,0.6721698490589381,6.452146010652304,1.0021460106523037
inst_0005,RandomGenerator,0,3,1000,1.6439133155518897,1.6723350859495565,0.5243274952055212,6.152005650577168,0.7020056505771679
inst_0006,RandomGenerator,0,4,1000,2.303629316682246,2.836275318705869,1.41900889747586,7.060918267134561,1.6109182671345605
inst_0007,RandomGenerator,0,2,1000,2.0299343793575835,2.0486879689596176,1.563168678848032,7.3721628388712315,1.9221628388712313
inst_0008,RandomGenerator,0,3,1000,1.8773578316432205,1.9544146149331,1.6243302030459308,7.458277960271124,2.0082779602711236
inst_0009,RandomGenerator,0,2,1000,1.0426337796946108,0.8641678747989272,0.4285786070585884,6.444742490471559,0.9947424904715589
inst_0010,RandomGenerator,0,5,1000,1.9980354020729365,3.902070092937256,1.3267991964930357,7.136258198618372,1.686258198618372
inst_0011,RandomGenerator,0,1,1000,0.402394843117412,0.3533692430114014,0.2307501156864451,5.812377306073065,0.36237730607306506
inst_0012,RandomGenerator,0,2,1000,1.7852445352644768,2.248565283949419,0.8092011430014119,6.528700552819415,1.0787005528194147
inst_0013,RandomGenerator,0,2,1000,0.6505959674966612,2.17837137055338,0.0896076688984146,5.71986455125187,0.26986455125187003
inst_0014,RandomGenerator,0,4,1000,1.5911399623528866,3.453911973879201,1.1383464331574522,6.548727434236519,1.098727434236519
inst_0015,RandomGenerator,0,3,1000,0.6190515555484521,1.2816783588192886,0.2333273867268412,5.809473684212814,0.3594736842128139
inst_0016,RandomGenerator,0,3,1000,1.737577903962468,2.569078050530776,0.792926321998932,6.597282651412487,1.1472826514124872
inst_0017,RandomGenerator,0,4,1000,2.0095555914250958,2.291531318281789,1.7083005474491229,7.367530004546693,1.917530004546693
inst_0018,RandomGenerator,0,4,1000,3.127153532063664,3.477772145231964,1.4808901001317434,7.227643343143057,1.7776433431430565
inst_0019,RandomGenerator,0,3,1000,2.498588099019784,2.4761926665477563,1.846233340338897,7.426035166288313,1.9760351662883124
inst_0020,RandomGenerator,0,5,1000,1.7690191294200568,5.417429079601399,1.3703588756176313,6.912598187868035,1.4625981878680347
inst_0021,RandomGenerator,0,5,1000,2.728466691919191,3.48785045935263,1.9512683936008608,7.665921605089471,2.215921605089471
inst_0022,RandomGenerator,0,5,1000,2.2198307889177515,3.9691711296848817,1.7054657048063646,7.29136242742732,1.8413624274273195
inst_0023,RandomGenerator,0,5,1000,2.81914574080451,3.744416907259084,2.242077725418434,7.752119487143317,2.302119487143317
inst_0024,RandomGenerator,0,2,1000,1.3703873227626864,1.15405300212199,0.9280880049783666,6.730566314116888,1.2805663141168875
inst_0025,RandomGenerator,0,2,1000,1.391782622043949,2.4829374423990327,0.7490948041028623,6.805365783435567,1.355365783435567
inst_0026,RandomGenerator,0,2,1000,1.5566110173460366,3.0414819355660176,1.0737578679702202,6.795762052185923,1.3457620521859228
inst_0027,RandomGenerator,0,4,1000,1.2906923720512815,3.314392665999272,0.7584771052928919,6.586823510829852,1.136823510829852
inst_0028,RandomGenerator,0,4,1000,1.4237221602320809,3.391217613975652,0.9953185018965794,6.731096663768913,1.2810966637689125
inst_0029,RandomGenerator,0,3,1000,1.3659243823014564,3.298342608983125,0.7408444003957266,6.5067266894729725,1.0567266894729723
inst_0030,RandomGenerator,0,2,1000,1.0358436223978011,0.8972078221443188,0.4716474860780731,6.376133589172476,0.9261335891724762
inst_0031,RandomGenerator,0,1,1000,0.3802233391613711,0.4660058916230293,0.253973210934551,5.843178163437479,0.39317816343747847
inst_0032,RandomGenerator,0,3,1000,1.1971892034310858,1.4649639804177217,0.4833031376003704,6.35465378808366,0.9046537880836603
inst_0033,RandomGenerator,0,1,1000,0.2778572323859757,0.2387560925497019,0.0830871202072962,5.684879368234738,0.2348793682347381
inst_0034,RandomGenerator,0,3,1000,2.4872727733861426,2.302663710459299,1.864461036825668,7.679902736077108,2.2299027360771078
inst_0035,RandomGenerator,0,1,1000,0.9779284841630804,1.36970384305909,0.0671154883098954,5.723533551748213,0.2735335517482129
inst_0036,RandomGenerator,0,3,1000,1.2113901584280966,1.4633412099434149,0.414138728859919,6.072544855890358,0.6225448558903581
inst_0037,RandomGenerator,0,3,1000,2.960181559106685,2.6995317696606778,2.1124656652208964,8.002952276036083,2.552952276036083
inst_0038,RandomGenerator,0,2,1000,0.986062173962051,1.6421338416660165,0.8798952187822474,6.445058391441128,0.9950583914411277
inst_0039,RandomGenerator,0,3,1000,2.4782920586825106,2.277553240662474,1.7097384198411458,7.551137342497886,2.1011373424978856
inst_0040,RandomGenerator,0,3,1000,2.144553948442073,3.100489083590812,1.421174042166348,7.187138742649983,1.7371387426499831
inst_0041,RandomGenerator,0,3,1000,1.637938774649054,2.491372790846948,0.8954159135367841,6.861643671700236,1.4116436717002356
inst_0042,RandomGenerator,0,1,1000,0.3905417665999269,0.3533692430114014,0.2134350227788864,5.798041705212854,0.3480417052128537
inst_0043,RandomGenerator,0,3,1000,1.278545771106025,1.9402506185265769,1.1754363684999156,6.63502557648978,1.18502557648978
inst_0044,RandomGenerator,0,5,1000,2.4430363101953,3.814448753790656,2.2112947617946084,7.525139235529763,2.075139235529763
inst_0045,RandomGenerator,0,3,1000,1.3770825752844411,2.35899532571192,0.6900164264057037,6.322087495776585,0.8720874957765847
inst_0046,RandomGenerator,0,4,1000,1.7299417802205772,1.8671821016836752,1.4619922684040785,7.156129051724425,1.7061290517244245
inst_0047,RandomGenerator,0,2,1000,0.3113632508613115,1.0660708834142092,0.1137732987098187,5.738196724874248,0.28819672487424786
inst_0048,RandomGenerator,0,4,1000,2.9577800610271487,3.4172110797641344,2.46031865725334,8.025967760818151,2.575967760818151
inst_0049,RandomGenerator,0,2,1000,1.023963613712859,1.0831378434202483,0.3758311824380043,6.204588095862279,0.754588095862279
inst_0050,RandomGenerator,0,3,1000,0.8044111999173128,2.6219369741135465,0.3270765861405457,5.882200206213393,0.43220020621339295
inst_0051,RandomGenerator,0,3,1000,2.061497813811509,2.991446180224524,1.269689992576165,7.083451828587635,1.633451828587635
inst_0052,RandomGenerator,0,4,1000,1.68863785907602,2.3313530207118727,0.5494135139069678,6.24443973883408,0.7944397388340798
inst_0053,RandomGenerator,0,1,1000,0.3177256039426257,0.3395821960871072,0.1629994541218114,5.737610297158267,0.2876102971582668
inst_0054,RandomGenerator,0,4,1000,1.902082683829971,1.8505750956906024,0.9618144128903166,7.118990067055621,1.6689900670556206
inst_0055,RandomGenerator,0,3,1000,1.0523168906710063,3.378384584807761,0.6232815075827488,6.274326455637013,0.8243264556370127
inst_0056,RandomGenerator,0,2,1000,1.406043862363595,2.198810594212625,0.3401796186796779,6.2073408366350655,0.7573408366350654
inst_0057,RandomGenerator,0,1,1000,1.3336992432421262,0.5699846326645459,0.2274238684331538,6.136745332178973,0.6867453321789725
inst_0058,RandomGenerator,0,4,1000,1.637636229366086,2.446258072443857,1.5757082446654098,6.964914652139245,1.514914652139245
inst_0059,RandomGenerator,0,4,1000,3.668101030030199,4.467512728992609,2.2069997950841334,8.080890128958941,2.6308901289589413
inst_0060,RandomGenerator,0,2,1000,1.4812292234131177,2.1202392331622177,0.7922627584917404,6.514624845713532,1.0646248457135314
inst_0061,RandomGenerator,0,3,1000,3.1675519163657166,3.030381355973096,2.841226763599179,8.599270701119682,3.149270701119682
inst_0062,RandomGenerator,0,3,1000,1.4281484043207056,1.8091278679086245,0.2895293921721412,6.110684486729806,0.6606844867298056
inst_0063,RandomGenerator,0,3,1000,2.560361727885869,3.5749465737674706,1.5079729024584696,7.41671288051136,1.96671288051136
inst_0064,RandomGenerator,0,4,1000,2.486354322884218,2.893509442750236,1.5423227939133768,7.649424728500776,2.1994247285007757
inst_0065,RandomGenerator,0,4,1000,3.364926837507933,4.350853636387025,3.005600986798309,8.882747457699177,3.4327474576991763
inst_0066,RandomGenerator,0,3,1000,1.3126414080143989,1.5618646135821872,0.4561362420965057,6.199678688437689,0.7496786884376885
inst_0067,RandomGenerator,0,5,1000,2.421227920991263,4.174945700775301,1.5542523346264825,7.061757990414256,1.6117579904142554
inst_0068,RandomGenerator,0,2,1000,0.9962663104257198,1.421715332498685,0.6250480074292926,6.305591949467041,0.8555919494670405
inst_0069,RandomGenerator,0,3,1000,2.4546117346660377,2.294909388615943,2.115088220402127,7.893931209460048,2.4439312094600476
inst_0070,RandomGenerator,0,2,1000,1.060851528130098,1.2350844826358738,0.6628535318848315,6.5156267456673405,1.0656267456673403
inst_0071,RandomGenerator,0,2,1000,1.5031838703457483,1.597008579124001,0.5356702878814418,6.297036060431942,0.8470360604319422
inst_0072,RandomGenerator,0,2,1000,1.450664968407128,0.97977661794555,0.9158458375893828,6.869733897282842,1.4197338972828417
