instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
inst_0000,RandomGenerator,0,3,1000,1.5120352260636165,2.7584753262239605,1.489300944043416,3.2407723630631815,0.4367723630631817
inst_0001,RandomGenerator,0,4,1000,3.5194638750246687,3.776867559714323,3.2881395954736368,5.595839501347613,2.791839501347613
inst_0002,RandomGenerator,0,5,1000,4.654322507029606,6.647709848127975,4.833144212981927,5.775728870830726,2.971728870830726
inst_0003,RandomGenerator,0,3,1000,1.4200384134180415,2.969953976623062,0.951505305505109,3.2095287731831643,0.4055287731831645
inst_0004,RandomGenerator,0,1,1000,1.2016830351123873,0.9172939847431693,0.3577446540498359,3.0147812807731484,0.21078128077314862
inst_0005,RandomGenerator,0,3,1000,1.0790725513523147,3.0870325534127305,1.197354679255901,3.0963896753338322,0.2923896753338324
inst_0006,RandomGenerator,0,4,1000,2.054398832611344,3.8114735756307514,2.208470253012912,3.67508497575729,0.8710849757572903
inst_0007,RandomGenerator,0,2,1000,2.0943601726376238,2.531077131660419,2.1642767436275854,4.2679859443972505,1.4639859443972507
inst_0008,RandomGenerator,0,3,1000,3.157389152366304,3.655421110760376,3.096752002102715,5.443325277295992,2.6393252772959923
inst_0009,RandomGenerator,0,2,1000,1.0002860710823132,3.14633497490912,1.354101192034107,3.4210614183600674,0.6170614183600676
inst_0010,RandomGenerator,0,5,1000,1.719715339108026,6.126602695615979,2.252209720327341,3.4662882241285593,0.6622882241285595
inst_0011,RandomGenerator,0,1,1000,0.4819220290781454,0.9864572857179976,0.6441566075738524,2.9637482743629446,0.1597482743629448
inst_0012,RandomGenerator,0,2,1000,1.650200932702971,2.154767371692229,0.7565499458627367,3.146608921123672,0.34260892112367225
inst_0013,RandomGenerator,0,2,1000,0.4477224132016345,1.5115550936028843,0.0579879794847757,2.6862081496065127,-0.11779185039348716
inst_0014,RandomGenerator,0,4,1000,2.7919356708682925,4.769960354497415,3.1951405434274576,4.567817680517851,1.763817680517851
inst_0015,RandomGenerator,0,3,1000,0.5716182217307901,3.482527323967604,0.6149440227816801,2.8421306869944365,0.03813068699443667
inst_0016,RandomGenerator,0,3,1000,1.3720858604061834,3.566950250635845,1.0192644324525697,3.0910863175015173,0.2870863175015175
inst_0017,RandomGenerator,0,4,1000,2.213907884461849,4.093303640482972,2.4349821425072555,4.721675278870487,1.9176752788704872
