instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
inst_0000,RandomGenerator,0,3,1000,1.3126412968700538,3.438347049625718,1.0595498439370732,3.509607142857143,0.9096071428571428
inst_0001,RandomGenerator,0,4,1000,2.5767550947619804,4.372533868782169,2.205088051855025,4.905339285714286,2.3053392857142856
inst_0002,RandomGenerator,0,3,1000,3.9789907216088025,4.729569419973718,3.821455409196532,6.104178571428572,3.504178571428572
inst_0003,RandomGenerator,0,4,1000,2.63603381962327,4.8201162189346585,2.466983142893036,4.698714285714286,2.0987142857142858
inst_0004,RandomGenerator,0,2,1000,0.989863626203159,1.785535153264595,0.7712852398971393,3.0838214285714285,0.4838214285714284
inst_0005,RandomGenerator,0,2,1000,1.2466134329341634,3.238078450790352,0.859943643735017,3.034125,0.43412499999999987
inst_0006,RandomGenerator,0,3,1000,2.38197925195487,3.561986587382766,2.15689085789848,4.068642857142858,1.4686428571428576
inst_0007,RandomGenerator,0,4,1000,1.905155482288268,4.0566131941197,1.697054659476274,3.8535714285714286,1.2535714285714286
inst_0008,RandomGenerator,0,4,1000,2.4878749613479663,5.718348730830164,2.325063805553972,4.619535714285715,2.019535714285715
inst_0009,RandomGenerator,0,3,1000,1.8138955105579224,3.692035578293461,1.5220473913857473,3.4770357142857145,0.8770357142857144
inst_0010,RandomGenerator,0,3,1000,2.7546583456911127,3.764478370688897,2.6293400256801966,4.508071428571428,1.9080714285714282
inst_0011,RandomGenerator,0,3,1000,1.4431389203422156,2.6909672624129106,1.143390045848645,5.296946428571428,2.696946428571428
inst_0012,RandomGenerator,0,3,1000,2.133738494553378,4.305366184424259,1.706423054998472,5.057803571428572,2.4578035714285718
inst_0013,RandomGenerator,0,2,1000,0.5815764563709142,3.062656467652362,0.1568591861775706,2.7568928571428573,0.15689285714285717
inst_0014,RandomGenerator,0,2,1000,1.819084496464141,2.644332294176122,1.6717003653635745,4.36225,1.7622500000000003
inst_0015,RandomGenerator,0,3,1000,1.217823818861134,4.439371513637176,0.9569660279484156,3.046535714285714,0.44653571428571404
inst_0016,RandomGenerator,0,3,1000,1.123981019589004,2.691465333891508,0.782002826681822,3.1076428571428574,0.5076428571428573
inst_0017,RandomGenerator,0,3,1000,0.9071014825108726,3.979826992149004,0.5797441887026982,2.9143214285714283,0.3143214285714282
inst_0018,RandomGenerator,0,1,1000,0.8495755643628782,1.0151136746075624,0.5319195654943627,3.0055,0.40549999999999997
inst_0019,RandomGenerator,0,4,1000,1.7021344184504554,3.814872003854006,1.5733980290899474,3.604285714285714,1.004285714285714
inst_0020,RandomGenerator,0,3,1000,3.7529319117026194,5.639229299273199,3.62788880427292,5.421553571428571,2.8215535714285713
