instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
inst_0728,RandomGenerator,0,4,3000,3.5389233333333334,4.54649,0.9887626300000002
inst_0397,RandomGenerator,0,3,3000,2.558103333333333,2.96331,1.5507628733333334
inst_0614,RandomGenerator,0,3,3000,1.98746,2.06073,1.20615042
inst_0004,RandomGenerator,0,1,3000,3.23281,2.11862,0.8255555933333334
inst_0763,RandomGenerator,0,1,3000,1.40573,0.68748,0.32013652000000004
inst_0434,RandomGenerator,0,2,3000,2.4364866666666667,1.7341299999999997,0.9807077866666666
inst_0708,RandomGenerator,0,2,3000,1.5704166666666666,1.93258,0.17412915333333334
inst_0285,RandomGenerator,0,3,3000,3.7422333333333335,3.4900200000000003,2.263032533333334
inst_0681,RandomGenerator,0,3,3000,2.976373333333333,2.62638,2.0214196133333333
inst_0706,RandomGenerator,0,5,3000,3.332403333333333,5.409129999999999,1.8137683233333335
inst_0080,RandomGenerator,0,4,3000,3.1711799999999997,4.551629999999999,1.591681953333333
inst_0539,RandomGenerator,0,4,3000,4.026433333333333,4.93582,2.097764303333333
inst_0191,RandomGenerator,0,3,3000,3.14312,3.53446,1.1410406800000001
inst_0017,RandomGenerator,0,4,3000,3.039366666666666,3.0479900000000004,2.2866984766666665
inst_0274,RandomGenerator,0,3,3000,1.43254,1.6459700000000002,0.44428536
inst_0689,RandomGenerator,0,3,3000,2.8556566666666665,2.6129499999999997,1.0250928866666664
inst_0920,RandomGenerator,0,3,3000,3.6267899999999997,4.0248,1.5572650266666666
inst_0729,RandomGenerator,0,2,3000,1.4425,1.2365700000000002,0.9398180600000002
inst_0095,RandomGenerator,0,3,3000,1.7372933333333334,2.61294,1.0738988933333333
inst_0215,RandomGenerator,0,3,3000,3.0356133333333335,2.70867,1.6737613366666668
inst_0303,RandomGenerator,0,4,3000,3.336476666666667,3.96224,2.6409233466666673
inst_0742,RandomGenerator,0,5,3000,4.035026666666667,4.32536,2.309999073333333
inst_0129,RandomGenerator,0,3,3000,1.4827166666666665,1.9860099999999998,0.39279622000000003
inst_0767,RandomGenerator,0,4,3000,5.13924,4.11013,3.6788415433333332
inst_0304,RandomGenerator,0,4,3000,2.99864,3.33983,1.5911251000000002
inst_0619,RandomGenerator,0,2,3000,2.4856266666666667,1.83667,0.84520999
inst_0993,RandomGenerator,0,4,3000,4.048,4.21629,2.33902473
inst_0672,RandomGenerator,0,4,3000,5.032886666666666,5.45823,2.9059309933333335
inst_0925,RandomGenerator,0,1,3000,2.8904099999999997,2.2258899999999997,0.39843430999999996
inst_0830,RandomGenerator,0,4,3000,2.9912966666666665,4.28687,1.2748478066666669
inst_0108,RandomGenerator,0,6,3000,2.6660600000000003,4.673920000000001,1.3920819733333334
inst_0565,RandomGenerator,0,4,3000,2.7413199999999995,3.17964,1.6400934633333333
inst_0880,RandomGenerator,0,3,3000,2.1660933333333334,2.20261,1.4137492933333333
inst_0598,RandomGenerator,0,4,3000,5.03804,4.83017,3.3176046100000005
inst_0389,RandomGenerator,0,4,3000,2.800933333333333,3.0905200000000006,1.1919550933333336
inst_0553,RandomGenerator,0,4,3000,5.6372100000000005,5.41137,3.4574555833333345
inst_0139,RandomGenerator,0,5,3000,4.243643333333333,4.7681700000000005,2.5682266966666667
inst_0417,RandomGenerator,0,1,3000,0.846,0.82256,0.20728512000000002
inst_0442,RandomGenerator,0,3,3000,3.598613333333333,2.80633,0.6266777633333335
inst_0105,RandomGenerator,0,2,3000,1.7935366666666666,1.69746,1.0798911866666667
inst_0052,RandomGenerator,0,4,3000,2.5366333333333335,3.11869,0.6801383466666666
inst_0664,RandomGenerator,0,5,3000,5.644026666666667,5.65089,2.648298826666667
inst_0083,RandomGenerator,0,2,3000,1.5333666666666668,1.4,0.5209848066666667
inst_0593,RandomGenerator,0,3,3000,2.3500466666666666,2.1246,1.1966872733333334
inst_0180,RandomGenerator,0,4,3000,3.08937,2.992480000000001,2.06047874
inst_0477,RandomGenerator,0,2,3000,2.08675,2.25225,1.02043787
inst_0862,RandomGenerator,0,3,3000,2.70452,2.7901200000000004,1.2509675333333334
inst_0169,RandomGenerator,0,2,3000,1.22073,1.4148000000000003,0.28316802
inst_0142,RandomGenerator,0,1,3000,3.64562,2.3746899999999997,1.1762631133333332
inst_0845,RandomGenerator,0,4,3000,2.528573333333333,3.52836,1.5988805966666668
inst_0299,RandomGenerator,0,2,3000,1.02356,1.31056,0.33421298
inst_0942,RandomGenerator,0,3,3000,4.240576666666667,3.7842200000000004,2.293827416666667
inst_0176,RandomGenerator,0,2,3000,1.90256,1.8571199999999999,0.39234415999999994
inst_0093,RandomGenerator,0,1,3000,1.6612000000000002,0.90211,0.43120858
inst_0506,RandomGenerator,0,1,3000,1.3289933333333332,0.72391,0.23116859333333337
inst_0468,RandomGenerator,0,1,3000,1.47839,0.69614,0.62026074
inst_0718,RandomGenerator,0,4,3000,3.531163333333333,4.004720000000001,1.4152114333333332
inst_0676,RandomGenerator,0,3,3000,5.169496666666666,4.7052,3.7864780933333333
inst_0088,RandomGenerator,0,4,3000,3.68467,4.38026,1.9473359399999997
inst_0881,RandomGenerator,0,3,3000,3.3361133333333335,3.6925600000000003,1.9160043600000003
inst_0407,RandomGenerator,0,2,3000,2.010546666666667,1.43492,0.5848589066666666
inst_0626,RandomGenerator,0,5,3000,5.224903333333333,5.79223,3.640764286666667
inst_0727,RandomGenerator,0,3,3000,4.138926666666666,2.9521200000000003,2.5802402266666666
inst_0228,RandomGenerator,0,3,3000,0.7490166666666668,1.6468099999999999,0.6074463866666666
inst_0379,RandomGenerator,0,2,3000,0.7057533333333335,0.80825,0.5910402333333333
inst_0974,RandomGenerator,0,3,3000,1.7740799999999999,1.3090600000000001,0.9561488300000001
