# Started at: 2022-02-24 11:01:40 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_1.json-ILP-SM-I.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_1.json-ILP-SM-I.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.08378,47900,49100,49300,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,50,0,0,50,0,0
995.115,48300,49900,49300,47500,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.404,84098.234,,,,,,,,,,51.0204,70.7071,54.4554,27,25.2525,27.2727
1742.37,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1994.9,48100,49500,48900,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84105.547,,,,,,,,,,46,78.2178,60,21,26,14
2995.07,47700,49100,48900,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84112.929,,,,,,,,,,45.5446,35.3535,60,21.2121,26,14
3647.6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3994.91,47700,49100,48500,47000,47200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84120.214,,,,,,,,,,45.4545,31.3131,59.596,21.7822,26,14
4712.19,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
4770.9,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
4994.22,47500,48700,48700,47400,47200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84127.817,,,,,,,,,,45.5446,30.303,59.596,22,26,14
5994.18,47700,49100,48900,47200,47200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84135.242,,,,,,,,,,45.4545,31.6832,60.396,21.7822,26,14.8515
6617.46,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
6773.94,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6994.34,47500,48700,48900,47200,47000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84142.688,,,,,,,,,,45.4545,31,62,21.2121,26,14
7834.61,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
7994.48,48100,49100,48500,47400,47200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84149.955,,,,,,,,,,45.5446,30.303,61.6162,21.7822,25.2525,14
8522.56,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
8769.59,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
8776.92,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
8994.97,47900,49100,48900,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84157.218,,,,,,,,,,44.898,31.3131,62,21.7822,26,14
9587.35,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
9995.04,47900,49100,48900,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,84164.476,,,,,,,,,,45.5446,30.303,61,21.2121,26,14
