# Started at: 2022-02-25 11:05:38 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/cpu//IN_3.json-ILP-SM-I.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/cpu//IN_3.json-ILP-SM-I.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10578,46600,47700,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,50,0,0,0
994.901,47200,48500,47700,46400,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.522,649497.877,,,,,,,,,,52.5773,42.8571,53.0612,10.2041,16,16.1616
1994.94,47000,48500,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649505.058,,,,,,,,,,61.7647,53.4653,56.4356,0,21,20.202
2995.16,46600,48100,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649512.494,,,,,,,,,,62.6263,54,57,0,23.2323,22
3994.81,47000,48300,47400,45800,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649519.979,,,,,,,,,,62.3762,54.0816,56.4356,0,22.7723,21
4994.53,46800,48500,47500,46000,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649527.411,,,,,,,,,,63,54,57,0.990099,21.2121,21
5995.05,46600,48300,47500,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649534.924,,,,,,,,,,62.3762,54,56,0.990099,22.7723,21
6995.25,47000,48500,47500,46000,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649542.370,,,,,,,,,,61.6162,54.5455,57,0,21.4286,21
7994.7,47200,48700,48100,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649549.889,,,,,,,,,,62,54.902,56.5657,0,22.7723,21.5686
8995.05,47000,48500,47900,46200,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649557.316,,,,,,,,,,61,50,41,0.990099,21.2121,20.202
9995,46800,48100,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649564.470,,,,,,,,,,62.7451,10.101,17.8218,0,22.7723,21
10995,47000,48700,47900,45800,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.512,649571.470,,,,,,,,,,61,11,16.1616,0,22,21
11994.4,46800,48300,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649578.512,,,,,,,,,,61.6162,10.101,17,0,22,21
12994.4,46800,47900,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649585.230,,,,,,,,,,31,10.8911,16.8317,0,22,20.202
13995,46800,47900,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649591.861,,,,,,,,,,17,11,17,0,23,21
14994.5,46800,48100,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649598.402,,,,,,,,,,17.1717,10.101,17,0,22,21
15994.3,46600,47500,47500,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649605.019,,,,,,,,,,18,10.101,17,0,22,20.7921
16994.8,47000,47900,47900,46000,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649611.658,,,,,,,,,,17,10.8911,17,1,22.2222,20.202
17994.3,47000,47900,48100,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649618.223,,,,,,,,,,18,10.101,17,0,22,21
18995.3,46800,47700,48100,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649624.800,,,,,,,,,,18.1818,11,18,0,23,18.1818
19994.6,46800,47700,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649631.332,,,,,,,,,,19.802,10,18,0,23,14.8515
20995.2,46800,47700,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.48,649637.833,,,,,,,,,,18,10.101,18,0,23,15
21995.2,47000,47900,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649644.345,,,,,,,,,,19.802,10.8911,18.8119,0,23,14.1414
22994.3,46800,47900,47900,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649650.906,,,,,,,,,,18.1818,10.101,17.8218,0,23,14.8515
23995.1,47000,47900,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649657.563,,,,,,,,,,19,10,17.1717,0,23.2323,14.1414
24994.7,46800,47700,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649664.174,,,,,,,,,,19,11,18,0,24,15
25995.2,47000,48100,47900,46400,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649670.868,,,,,,,,,,18.1818,10.101,18,0,23,14
26995.3,47000,47900,48100,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649677.386,,,,,,,,,,19,10.8911,18,0,22.2222,15.8416
27995,47000,47900,48100,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649683.825,,,,,,,,,,19,10.101,17.1717,0,23.7624,14.1414
28994.4,47000,47900,47900,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649688.926,,,,,,,,,,19,10,17.8218,0,22.2222,15
29994.7,47000,48100,48100,46400,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649695.389,,,,,,,,,,18.1818,11,18,0,23.7624,14
30994.9,47200,47900,48100,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.48,649701.904,,,,,,,,,,19.802,10,17.1717,0,22.2222,15
31994.5,47000,48100,48100,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649708.363,,,,,,,,,,18.1818,10.101,18,0,23,15
32994.8,47000,47700,47900,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649715.225,,,,,,,,,,19,11,18,0,18,14
33994.8,47000,48100,47900,46400,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649721.502,,,,,,,,,,18,10.8911,17.1717,0,8,1.0101
34994.6,47000,48100,48100,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,649727.796,,,,,,,,,,19.802,11,18.8119,0,10,0
