# Started at: 2021-02-07 13:00:47 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/3/EXP1/DEMOS_LTF.json.yaml.csv -- demos-sched -c /root/EXP1/DEMOS_LTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13878,29700,30300,30500,28900,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8654e+06,0,0,50,0,50,0
993.635,29700,30500,30500,29300,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6716e+06,35.0515,26,13.2653,11.2245,25,17.1717
1993.15,,,,,,,,,,,,,21.887,,,,,,,,,,,,,,,,
1994.49,29900,30500,30500,29100,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.1696e+06,47,29.2929,20,14.433,27,25.7426
2994.08,29900,30900,30700,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.829e+06,36.7347,28.4314,22,22.2222,33.6735,29
3994,30700,31100,31300,29700,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.3464e+06,38,47.5248,25.2525,16.1616,31.6327,35.7143
4993.67,30300,30900,31100,29900,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.4296e+06,30.6931,40.404,16,80.198,25,24.5098
5994.31,30700,31300,31300,30100,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1274e+06,49.4845,39.604,25.2525,46.5347,32.3232,29.8969
6994.26,30700,31500,31300,30100,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0798e+06,39,28.7129,25.2525,22.3301,37.1134,37.2549
7994.04,30700,31300,31300,30100,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7448e+06,33.3333,28.2828,19.1919,15,31,32
8993.6,30700,31500,31700,30100,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6072e+06,30,21,15.1515,12,24,24
9994.21,30700,31700,31500,30500,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5014e+06,48,32,22,15.1515,27.2727,27.2727
10994.3,30900,31900,31700,30500,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4084e+06,34.3434,26.2626,18,19.802,30.6931,28
11994,31100,31900,32100,30500,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.23e+06,31.3131,23,17.8218,11.2245,28.2828,30.3922
12053,,,,,,,,,,,,,21.887,,,,,,,,,,,,,,,,
12994.3,30700,31900,32100,30700,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.315e+06,30.303,22.549,17,11.3402,24.2424,23
13994,31500,32300,32100,30700,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.2378e+06,48,33,21,14.1414,27.2727,28
14993.5,31700,32500,32100,30900,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.2874e+06,34.3434,25,19.1919,12.3711,29.2929,26.2626
15994.2,31500,32500,32500,30900,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.1726e+06,32,24,14.8515,16.5049,30,28.7129
16993.7,31500,32300,32500,30900,31300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4782e+06,30.6931,22.7723,15,11.1111,25.7426,23
17994.3,31900,32500,32500,30900,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.2398e+06,45.9184,31.6327,21,11.3402,28.5714,27.2727
18993.9,31900,32800,32500,31300,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.2732e+06,33.6735,25,18,15.1515,29.703,29.703
19993.5,31900,32600,32600,31300,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.412e+06,33.6634,24,16,12,30.303,27.2727
20993.8,32300,32800,32800,31500,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4732e+06,31.3131,22,15.1515,12,26.8041,24
21993.5,32300,32600,32800,31700,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3044e+06,47.4747,33,20,16,29.703,27
22117.9,,,,,,,,,,,,,21.908,,,,,,,,,,,,,,,,
22994.1,32300,33000,32800,31500,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3564e+06,35.6436,27.451,20,16.8317,28.5714,28
23993.6,32300,32800,33200,31700,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5748e+06,33,24.7525,17.6471,13.2653,31,28
24994.2,32300,33000,33200,31700,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3544e+06,30.303,23.5294,16,12,24,22.2222
25993.9,32600,33200,33400,32100,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.419e+06,48,32,20,17.1717,28.2828,26.5306
26993.4,32600,33400,33600,32100,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.2062e+06,34.3434,25.5102,17,16,29,29.4118
