# Started at: 2021-02-07 15:56:34 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/3/EXP2/LTF.json.yaml.csv -- demos-sched -c /root/EXP2/LTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.18678,29500,30300,30300,29100,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5004e+06,0,0,0,0,0,50
993.692,29700,30300,30500,29300,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6614e+06,22.9167,26.2626,29.703,46.9388,15.1515,14.1414
2004.64,29500,30300,30300,28900,29100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6668e+06,32.9897,32.6733,31.6832,32,27.451,25.4902
2191.63,,,,,,,,,,,,,21.704,,,,,,,,,,,,,,,,
2993.87,29700,30700,30500,29300,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4968e+06,41.8367,38.7755,35.7143,37.3737,34.6939,32.3232
3994.44,29900,30700,30700,29700,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8416e+06,33.6634,27.7228,26,25.5102,31,28
4993.99,30300,30700,30900,29700,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7426e+06,35.7143,31.3131,31,31.3131,26.5306,26
5994.51,30100,31100,30900,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7874e+06,40.5941,38,37,36.6337,33,31
6994.16,30300,30900,30700,29700,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9612e+06,30.5263,29,26.2626,27.551,33,30.303
7994.68,30100,31100,31100,29700,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6746e+06,35,29.5918,31,29.5918,30.6931,27
8994.26,30500,31100,30900,29900,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.382e+06,38.3838,35,34.6535,34,29.8969,28.2828
9993.87,30500,31500,31500,29900,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8772e+06,36.6337,33.3333,31.6832,28.866,36.7347,32
10994.7,30700,31700,31500,30300,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6002e+06,31.6327,27.2727,26,26.2626,27,31.6832
11994.3,31300,31900,31900,30100,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6948e+06,42.4242,38,38,37.6238,33,30.303
12256,,,,,,,,,,,,,21.694,,,,,,,,,,,,,,,,
12994,31100,31900,31900,30700,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9408e+06,35.7143,33,30.6122,29.5918,36.6337,31.3131
13994.5,31300,31900,32100,30500,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8038e+06,27.2727,25,24.7525,23.4694,23.4694,24.2424
14994.2,31300,32100,32100,30500,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5654e+06,42.5743,38.6139,36,36,32.6733,32.0388
15993.9,31700,32500,32500,30900,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.119e+06,39.1753,37.3737,34.6939,35.3535,36.0825,31.9588
16994.6,31500,32100,32500,31100,31300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8506e+06,29,26,24,24.2424,27,24
17994.1,31700,32300,32500,30900,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4804e+06,40.2062,36,34,35.3535,32,29
18993.8,31900,32300,32600,31300,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6558e+06,41,37.3737,36,35.3535,36.8932,35
19993.7,32100,32500,32800,31300,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.941e+06,28.2828,26.7327,24.7525,24.2424,27.551,28.4314
20996.8,32100,32600,32800,31500,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5936e+06,38,33.3333,32.6733,29.5918,30.6931,29
21993.8,32100,33000,32800,31300,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9872e+06,41.8367,39,38.6139,40.5941,34.6939,31.6327
22329.2,,,,,,,,,,,,,21.683,,,,,,,,,,,,,,,,
22994.2,32300,32600,32800,31700,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7186e+06,30.6122,27,26.2626,26,30.6931,29.2929
23993.8,32300,32800,33000,31700,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0886e+06,35.7143,32.3232,31,31.3131,29.2929,26.7327
24994.3,32500,33200,33200,31700,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8232e+06,41,37.3737,35.7143,36,33,32.3232
25993.9,32300,33400,33200,31900,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7046e+06,32.6531,29.2929,26.2626,27.2727,34.6939,30.0971
26994.4,32600,33400,33600,32100,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.637e+06,35,32,31.6832,29.5918,28.2828,27
27994,32800,33400,33200,32100,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.3268e+06,38.3838,36.6337,35,34,33.3333,29.5918
28994.5,32800,33600,33600,32300,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9596e+06,36.3636,31.3131,31,29.5918,36,33
29994.1,32600,33400,33200,32100,32300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4038e+06,32,27,26,27,26.2626,26.7327
30994.5,32600,33800,34000,32500,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7332e+06,43.4343,39.3939,39,37.3737,33,36
31994.3,33200,33800,33800,32500,32600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8882e+06,36.3636,33,32.6733,29.5918,36.6337,33.3333
32394,,,,,,,,,,,,,21.704,,,,,,,,,,,,,,,,
32993.9,33200,33800,33800,32600,32600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3724e+06,27.2727,25.7426,24.2424,22.2222,23.2323,24.2424
33994.1,33200,34000,34000,32800,33000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7696e+06,42.5743,38,38,35,31,31.6832
34994.1,33200,34200,34000,32800,33000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7662e+06,39.7959,35.7143,34.3434,34.6939,36.3636,35.0515
35993.9,33200,34000,34400,32600,32800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0018e+06,29,25.2525,25,22.449,27,23.7624
36994.5,33600,34400,34400,33000,33000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9246e+06,42,37.6238,35.3535,33.6735,32.6733,30
37994.1,33600,34400,34400,32800,33200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9356e+06,38.7755,37.3737,37.2549,36.2745,33.3333,34
38993.9,33800,34800,34800,33200,33200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8642e+06,28.5714,25.2525,26,22.6804,29.703,25.2525
39995.5,33800,34600,34600,33000,33400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.801e+06,37,32.6733,31.6832,31,26.2626,28.2828
40994.5,33800,35000,34800,33200,33400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8084e+06,41.8367,39.3939,39,37.3737,35.3535,36.3636
41994.3,34200,34800,34800,33400,33600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8334e+06,32.3232,27,27,26.5306,33,26
42457.4,,,,,,,,,,,,,21.694,,,,,,,,,,,,,,,,
42994.2,34000,35000,34800,33600,33800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.974e+06,35.3535,33,32,30.6122,29.703,26.2626
43993.9,34200,35200,35000,33600,33800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6308e+06,40.404,37.6238,35.7143,38.6139,33.3333,32.6531
44994.5,34200,34600,35200,33600,33800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6888e+06,34.6535,29.2929,28.7129,28,35.3535,29.2929
45994,34200,35000,35200,33600,33600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5872e+06,32.6531,32.6733,31.6832,30.303,29.4118,27.7228
46994.6,34200,35000,35200,33800,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9128e+06,39.3939,36,34.6535,34,32.3529,32.3232
47994.6,34400,35400,35600,34000,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5782e+06,37.3737,32.3232,32,31.3131,36.3636,32.3232
48994.3,34200,35400,35200,33600,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.716e+06,31,27.7228,26,26.2626,27.2727,27
49993.9,34600,35200,35200,34000,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5218e+06,42.4242,38.3838,38,36.0825,33,32.3232
50994.4,34600,35600,35600,34000,34400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0304e+06,38.3838,34,31.3131,33.3333,37,36
51994,34400,35200,35600,34000,34000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7656e+06,26.2626,25.2525,25.7426,23.4694,27,23.2323
52518.6,,,,,,,,,,,,,21.704,,,,,,,,,,,,,,,,
52994.4,35000,35800,36000,34400,34400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5324e+06,42.5743,37,36.6337,36.6337,33.0097,33.3333
53994.6,35000,35800,35600,34400,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9928e+06,39.7959,37.3737,34.3434,34.0206,36.0825,36.0825
54994.3,34800,35600,36000,34400,34400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7888e+06,28,26.4706,24.2424,23.2323,28.7129,24.2424
55993.9,35000,35800,35800,34400,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7456e+06,39.7959,35.7143,35,36,30.6122,32
56994.6,35000,36000,36000,34600,34800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6086e+06,40,37.6238,36,34.0206,36,34
57993.9,35200,35800,36200,34400,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.867e+06,29.2929,26,25,26.2626,30.303,26
59004.6,35200,35800,36200,34400,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7104e+06,36.3636,33.3333,33.3333,30.303,28.7129,27.2727
59018.7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
59993.8,35400,36200,36200,34800,34800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7266e+06,41.8367,39,37.7551,38.3838,34.6939,35.7143
60994.4,35400,36200,36400,34800,34800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6748e+06,31.6327,28,27,25.5102,33.6634,27.2727
61994.4,35400,36200,36400,34800,35000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1858e+06,37,33.6634,32,30.6931,31,32.3232
62578.7,,,,,,,,,,,,,21.715,,,,,,,,,,,,,,,,
62994.5,35400,36400,36400,35000,34800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6704e+06,41,37.3737,37.6238,35.3535,34.6535,33
63994.2,35400,36400,36200,34800,34600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8172e+06,34.3434,30.6122,29.703,31.3725,35.3535,28.2828
64994.7,35600,36200,36400,35000,35000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4828e+06,35.0515,31.6832,30.6122,30.303,29.2929,24.7525
65994.3,35600,36200,36400,34800,35000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8452e+06,39.3939,38,33.6735,32.6531,34,27.551
66754,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
66994.4,35400,36600,36800,35200,35200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1296e+06,35.7143,31.6327,30.303,32,38.3838,30.303
67994.6,35600,36400,36800,35000,35200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9606e+06,31,29,27,26.5306,28,25
68993.8,35800,36600,36800,35400,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.16e+06,41.8367,38.3838,38,38.7755,34,30
69658.7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
69994.2,35800,36800,36800,35400,35600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1416e+06,38.6139,34,31.3131,32.6733,38,30.303
70994.3,35800,36400,36800,35400,35600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.014e+06,28.2828,26.7327,25,25.7426,27,21
71993.8,36000,36600,36800,35200,35200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5506e+06,42,38.6139,37.6238,37.3737,36.6337,31.3725
72647,,,,,,,,,,,,,21.736,,,,,,,,,,,,,,,,
72993.7,36000,37000,36800,35200,35400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6756e+06,41.2371,36.7347,36,34.0206,38.1443,31.9588
73994.3,35800,36800,37200,35600,35600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9234e+06,28.2828,26.2626,25,26.7327,28.7129,22.7723
74993.9,36400,36800,36800,35600,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5338e+06,43,37,34.6939,33.6735,34,28
75993.7,36200,37200,37200,35600,35600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4708e+06,42.4242,37.3737,36,35.0515,35.7143,31.3131
76994.5,36200,37000,37200,35600,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9028e+06,29.2929,26.7327,27.7228,25.4902,30.303,23.2323
78004.6,36200,37000,37200,35600,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6208e+06,39,33.3333,34.6535,30.6122,31.3725,26.7327
78994.2,36400,37400,37400,35600,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7688e+06,42.8571,37.7551,38,37.3737,36.7347,33.3333
79687.5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
79993.9,36200,37200,37200,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3876e+06,32,27.2727,25.5102,27,32,28.5714
80994,36400,37000,37200,35600,35800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9632e+06,36.3636,34.9515,31.6832,31.3131,29.703,27
81040.7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
81993.7,36400,37400,37500,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8826e+06,42.4242,38,42.4242,35.7143,33.6735,31.6327
82024.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
82708.7,,,,,,,,,,,,,21.736,,,,,,,,,,,,,,,,
82994.4,36400,37400,37400,35800,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.704e+06,34,30,29.703,29,35,30
83994.5,36400,37400,37500,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7014e+06,33.6735,30.6122,30.6122,29.5918,28.2828,29.703
84993.7,36600,37400,37500,35600,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7848e+06,39.7959,35.3535,33.6634,34.3434,32.6733,33
85994.3,36600,37400,37500,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6974e+06,36.3636,33.3333,31,30.303,36.7347,33
86994.5,36600,37200,37500,36000,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3736e+06,29.5918,27.2727,25.2525,24.4898,27,25.7426
87994,36600,37400,37500,36000,36200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7326e+06,43.4343,39,37.3737,36.3636,35,31.3131
88994.1,36600,37900,37700,36400,36200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.024e+06,39.604,33.6634,32.6733,30.303,35.6436,34.3434
89994.3,36600,37400,37500,36200,36000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.83e+06,26.5306,24.2424,25,25,25.2525,23
90947.2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
90994.4,37000,37900,37900,36400,36200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6738e+06,43.5644,37.6238,36.2745,37.2549,33.6634,32.0388
91994,37000,38100,37900,36400,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.801e+06,41.8367,36.0825,34.6939,33.6842,39.1753,38.6139
92770.6,,,,,,,,,,,,,21.747,,,,,,,,,,,,,,,,
92994.2,37000,37700,37900,36400,36200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0512e+06,28.2828,26.7327,23,24,27.2727,24.2424
93359.1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
93438.7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
93994.5,36800,38100,37900,36600,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.677e+06,40.404,36.3636,35,35.7143,33,29.8969
94993.7,37000,38100,38100,36400,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6118e+06,42,38.6139,36.6337,34.6939,35,35.6436
95994.7,37000,37700,37900,36600,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0888e+06,30.303,24.7423,25,23.7624,31,26.2626
97004.6,37000,37700,38300,36800,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0452e+06,37.6238,35.5769,32.6733,32,29,29.1262
97994.2,37200,37900,38300,36800,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9606e+06,42.4242,39.3939,37.7551,37.3737,36.3636,34.375
98993.9,37200,37900,38300,36600,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6774e+06,32.3232,27,28,27,31.3131,30
99994.4,37400,38100,38300,36600,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6294e+06,36.3636,32,31,31.3131,29.4118,25.2525
100994,37500,38300,38300,37000,36400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.704e+06,41,37.3737,36.6337,36.7347,34.3434,33.6735
101582,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
101994,37400,38100,38300,36800,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.75e+06,33.6735,29.5918,30,27.551,34.3434,36
102832,,,,,,,,,,,,,21.726,,,,,,,,,,,,,,,,
102995,37500,38100,38300,36600,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.923e+06,34.6535,31,29.2929,30,29.703,28.2828
103994,37200,38300,38700,37000,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1724e+06,39.3939,35.3535,35,35,33.6634,29.5918
104994,37400,38100,38500,36800,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9112e+06,36.0825,33,31.3131,31,36.3636,34.9515
105589,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
105995,37400,38100,38300,36800,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9568e+06,30.6931,29,27,28,27,25.2525
106994,37400,38300,38300,36800,36800,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6376e+06,43.4343,39,37.6238,35.7143,33.6634,32.6733
107033,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
107994,37500,38500,38300,37200,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.2978e+06,37.7551,33.3333,33.3333,32.6733,36.7347,31.6327
108994,37400,38100,38500,37000,36600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.497e+06,28.7129,25,23.2323,23.4694,25.7426,25
109994,37700,38900,38700,37200,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4744e+06,41,38.6139,36.6337,35.3535,34.6535,31
110994,37700,38700,38700,37200,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1382e+06,40.625,35.7143,36,34.6939,36.0825,34.6939
111994,37700,38300,38700,37000,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1406e+06,30.3922,27,24.2424,24.2424,30,29
112895,,,,,,,,,,,,,21.715,,,,,,,,,,,,,,,,
112961,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
112994,37400,38500,38700,37200,37400,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.3892e+06,40.8163,36,36.6337,34.0206,32.3232,31.3131
113994,37700,38700,38500,37200,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5266e+06,40.404,38.3838,35.3535,35.3535,35,35
114994,37700,38100,38300,37000,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9464e+06,31.3131,27.7228,25,23.2323,30.6931,26
116005,37700,38500,38900,37200,37000,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0084e+06,38,34.3137,32,31.6832,31.6832,26.5306
116994,38100,38900,38700,37200,37200,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5646e+06,41.8367,39.7959,38.3838,36.0825,35.3535,34.3434
117737,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
