# Started at: 2021-02-07 16:44:31 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/3/EXP3/DEMOS_OPTIMAL2_.json.yaml.csv -- demos-sched -c /root/EXP3/DEMOS_OPTIMAL2_.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.15465,29900,30500,30700,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6172e+06,0,0,50,0,100,0
995.909,29900,30700,30700,29500,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6928e+06,32.3232,30.303,45.4545,34.6939,18,16.1616
1995.65,29900,30500,30700,29700,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8842e+06,32.3232,30,36,28,23,22.549
2062.79,,,,,,,,,,,,,21.64,,,,,,,,,,,,,,,,
2995.71,30300,30500,30500,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.578e+06,27,20,22.2222,24,29.2929,28.2828
3995.56,30100,31100,30500,29700,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9114e+06,29,25.2525,33,23,29,25
4995.37,30100,30700,31100,29700,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8462e+06,32,25.7426,27.2727,29,27.7228,24
5995.66,30500,31100,31100,29900,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7612e+06,36.3636,29,34,33.3333,18.1818,19.1919
6995.66,30700,30900,31100,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9268e+06,38.3838,34,41.4141,30.9278,25,21.2121
7995.69,30700,31300,31300,29700,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.565e+06,24.2424,21,23.2323,25.2525,31,29.1262
8995.28,30500,31300,31300,30100,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7278e+06,31.3725,26.2626,32,24.7525,28,23.4694
9995.64,30900,31500,31300,30300,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7216e+06,34.6535,27.7228,33,29.5918,27,23
10996.1,30900,31500,31500,30300,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9532e+06,34.0206,27.2727,30.303,29.5918,24.7525,28.2828
11995.7,31100,31500,31700,30500,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9244e+06,39.604,37.6238,43,32.6733,18.3673,17
12125,,,,,,,,,,,,,21.64,,,,,,,,,,,,,,,,
12996.2,31500,31900,32100,30900,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8136e+06,25.7426,20.7921,24.5098,25.7426,29,29.2929
13995.7,31500,32100,32100,30900,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.682e+06,29.2929,28.2828,31.3131,23.7624,28,25.2525
14995.4,31700,32300,32100,31100,31500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0196e+06,33.3333,27.551,31.9588,29.8969,26,22.449
15995.7,31300,32500,32300,30900,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8284e+06,36.2745,26.7327,30,32.3529,26.5306,29.703
16995.7,31500,32100,32300,31300,31300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8168e+06,39.3939,34.6939,43,31.3131,17.4757,11
17995.4,32100,32800,32600,31500,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7374e+06,24,21.2121,23.5294,23.4694,33.6735,32
18995.7,31900,32300,32600,31100,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.72e+06,33.6634,32.3232,35.3535,31,24,20
19995.5,31900,32600,32600,31500,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8926e+06,28,22.2222,29.2929,24.2424,25.2525,22.449
20995.9,32100,33000,33000,31500,31700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.86e+06,31.6327,38,33.3333,31,29.5918,29.703
21995.5,32100,32800,33200,31700,31900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7276e+06,38.2353,36.3636,44,34,14.5631,12
22188.6,,,,,,,,,,,,,21.661,,,,,,,,,,,,,,,,
22995.7,32300,33200,33200,31900,32100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7938e+06,26.2626,22.7723,23,24.4898,39,36.3636
23995.3,32600,33000,33200,32100,32300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8318e+06,38.7755,36.3636,40,34,18,19.6078
24995.6,32500,33200,33200,32300,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8378e+06,28.2828,23.4694,30,26.7327,25.2525,23.2323
25996.2,32600,33400,33400,32100,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6746e+06,28,24.5098,27.7228,26.7327,30,27
26995.7,32800,33400,33600,32300,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8234e+06,38.3838,36.6337,43.4343,30.9278,20,19.1919
27995.3,33000,33800,33600,32500,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0378e+06,25.2525,20.4082,27.451,25.2525,35.6436,31
28995.9,33200,33600,33600,32500,32600,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5404e+06,42.5743,36,40,37,16.8317,18.1818
29995.6,33200,33600,33600,32500,32500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9508e+06,30,29.703,33.6634,28,26.2626,23
