# Started at: 2021-02-07 17:00:27 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/3/EXP3/DEMOS_RANDOM1.json.yaml.csv -- demos-sched -c /root/EXP3/DEMOS_RANDOM1.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13852,29900,30500,30500,29300,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.5358e+06,0,0,0,0,0,100
994.468,29900,30500,30700,29300,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.6966e+06,42.8571,32.3232,44.5545,43,32.6733,23
1994.83,29900,30700,30500,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.717e+06,55,25.2525,35.3535,27.551,29.703,39.604
2199.38,,,,,,,,,,,,,21.629,,,,,,,,,,,,,,,,
2994.49,29900,30900,30500,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.4874e+06,41.4141,31.6832,26.8041,30,19,20.7921
3995.17,29900,30900,30500,29500,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.052e+06,45.5446,19.802,37.2549,41,24.2424,31.3131
4994.39,30300,30900,31100,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8574e+06,56.5657,36.0825,33.6735,13.1313,32.6531,36.3636
5994.6,30500,31100,31100,29900,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7566e+06,49.505,33.3333,39,41,22.7723,26
6994.78,30500,31300,31100,29700,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9042e+06,55.102,27.7228,44.4444,35.6436,33.6735,41.8367
7995.07,30500,31500,31300,30100,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.503e+06,39.604,30.303,25.4902,23.4694,24.7525,25.2525
8994.3,30500,31300,31500,30300,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0008e+06,42,17.3469,36,40.404,24.2424,29
