# Started at: 2021-02-07 08:44:45 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0.20 --time=900 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/OUT/2/EXP4/DEMOS_OPTIMAL2.json.yaml.csv -- demos-sched -c /root/EXP4/DEMOS_OPTIMAL2.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13628,29300,30300,30500,29100,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.747e+06,0,0,0,0,0,0
993.703,29900,30500,30500,28900,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7856e+06,55.5556,40.5941,43,54.5455,27.7228,28.7129
1832.82,,,,,,,,,,,,,21.812,,,,,,,,,,,,,,,,
1995.52,29700,30300,30500,29100,29500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0292e+06,17.8218,14.2857,15.8416,13.8614,17,23
2993.71,29700,30500,30500,29100,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7518e+06,45.9184,41.5842,41.4141,41,35.3535,39.3939
3993.95,29900,30500,30100,29100,29700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7878e+06,40,38,39.604,33.6735,11,14.1414
4994.17,30100,30700,30500,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.0508e+06,38.3838,30.6931,29.5918,32,34.3434,38
5995.52,30300,30700,30900,29300,29900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8456e+06,33,29.2929,33.6634,25.2525,12.1212,17
6993.54,30500,31100,30900,29700,30100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9934e+06,32.3232,28.5714,27.551,28.2828,43.4343,50
7993.72,30700,31500,31300,29700,30500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.8156e+06,52,48,51.4851,43.4343,20.7921,25
8993.96,30900,31500,31300,30100,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9712e+06,22,18.1818,18,13.8614,27.7228,31.6327
9994.15,30900,31500,31300,30100,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.733e+06,45,41,42.4242,41,28.2828,31.6832
11003.5,31100,31500,31300,30100,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9412e+06,23.2323,22.549,20.7921,18,22,28
11893.1,,,,,,,,,,,,,21.812,,,,,,,,,,,,,,,,
11993.5,30900,31500,31700,30100,30700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9194e+06,44.4444,38.3838,41,39.7959,36.3636,37.3737
12994.1,31100,31300,31700,30100,30300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7982e+06,43.5644,41.1765,39.604,36.6337,13,17
13993.7,31300,32100,31900,30500,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.9776e+06,38,30.303,30,30.6122,36,40
14999.5,31300,31700,32100,30500,30900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,5.7242e+06,31,29.2929,34.3434,26,12,16.3265
15994.1,31500,32300,32100,30700,31100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,6.1542e+06,32.6531,30,28.4314,30.303,44.4444,49.0196
