# Started at: 2022-05-27 13:43:08 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_1.json-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_1.json-HEUR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12767,28100,28300,28700,27500,28100,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,0,0
992.006,29100,30100,29300,28100,28900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.688,3701878.007,,,,,,,,,,74,63.6364,53.6082,56.701,25.5102,18.75
1480.64,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1992.68,29500,31100,29700,28700,29100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3701886.294,,,,,,,,,,95.9184,90,74.5098,73.2673,41,28
2337.51,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2992.52,30100,30300,30100,28500,29300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3701894.538,,,,,,,,,,98,92.1569,79.798,79,33.3333,21
3992.32,29900,30500,29900,28500,29300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3701902.719,,,,,,,,,,98,92,71,73,32.6733,22.7723
4211.96,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
4339.61,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4938.19,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
4992.71,30100,30500,30100,28700,29500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3701910.754,,,,,,,,,,97.9798,90.099,75.2475,74,41.4141,29.703
5047.57,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
5231.58,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
5992.45,30100,30500,30500,28900,29700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3701918.935,,,,,,,,,,98,91.9192,80,79.2079,34.6535,21
6630.2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
6992.42,30500,31500,30900,29300,30100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3701927.103,,,,,,,,,,97.9798,89.1089,78,75.7576,43.5644,27.2727
7554.26,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
7761.67,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
7769.73,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
