# Started at: 2022-05-27 15:13:53 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_1.json-ILP-SM-I.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_1.json-ILP-SM-I.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.39628,49100,50100,50300,48500,49100,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,0,0
993.696,49700,51500,50300,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.858,3750389.731,,,,,,,,,,63.6364,68.3673,51.5152,73.4694,25.5102,15.3061
1706.08,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1993.39,49700,51500,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3750397.951,,,,,,,,,,77,86.8687,67.3469,88.8889,42.4242,13
2993.47,49700,50900,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3750406.196,,,,,,,,,,71,89.2157,58,91,32.3232,12.1212
3202.78,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
3375.8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3543.53,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
3993.84,49700,50700,50500,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3750414.319,,,,,,,,,,75,85.1485,65.3061,91,30.303,13
4038.71,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
4993.5,49700,50300,50500,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3750422.341,,,,,,,,,,80,88.8889,67.3267,90.9091,31.6832,13
5044.87,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
5945.99,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
5991.95,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
5993.07,49500,51500,50500,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3750430.218,,,,,,,,,,75,84.8485,65.6566,90.9091,40,23
