# Started at: 2022-02-24 10:01:18 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_1.json-ILP-IDLE-MAX.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_1.json-ILP-IDLE-MAX.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1029,48300,49300,49300,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
993.385,48500,50100,49700,48100,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.654,56700.291,,,,,,,,,,16.4948,14,9,2,64.2857,59.7938
1896.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1993.81,48500,50500,49300,48100,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56708.768,,,,,,,,,,14.8515,12.1212,5,0,78,48.9796
2993.54,48500,49500,49500,47700,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56717.022,,,,,,,,,,15,12.8713,6,0,63.3663,49.0196
3225.76,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
3825.21,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
3993.41,48100,49500,49300,47900,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56725.203,,,,,,,,,,14.1414,12,5.94059,0,57.4257,48
4084.66,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
4124.77,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4993.34,48100,49500,49500,47500,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56733.290,,,,,,,,,,15.1515,13.1313,6.06061,0,57,48.4848
5753.83,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5993.39,48500,49500,49300,47900,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56741.381,,,,,,,,,,17,14,7,0.990099,59,48
6164.76,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
6781.38,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
6952.18,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6993.4,48300,49900,49700,47700,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56749.470,,,,,,,,,,16.1616,15,7.92079,1,59,49
7994.35,48500,49900,49700,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56757.562,,,,,,,,,,17.8218,14.8515,5.05051,0,58,48.5149
8710.02,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
8962.42,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,
8993.78,48500,50100,49700,48100,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56765.605,,,,,,,,,,16.1616,14.8515,5,0.990099,59.4059,48
9099.65,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
9737.53,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
9993.45,48700,50100,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56773.705,,,,,,,,,,16,14.1414,5,0,58.5859,47.4747
10964.9,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
10994.2,48700,50500,50100,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.643,56781.781,,,,,,,,,,16.1616,13,5.05051,1,58.4158,49
11666.2,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
11993.6,48700,50300,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56789.823,,,,,,,,,,16.1616,13,5.94059,0,53,48
12034.7,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
12966.7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
12993.9,48900,50500,49700,48300,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56797.609,,,,,,,,,,15.6863,12,5,0,45,50
13594.8,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
13827.4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
13993.9,48900,50300,50100,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56805.538,,,,,,,,,,14.1414,12.1212,5.05051,0.990099,45,50.5051
14622.3,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
14980.3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
14993.5,48900,50500,49900,48500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56813.354,,,,,,,,,,14.1414,12.8713,5,0,45.5446,47
15830,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
15994.1,48900,50500,50100,48500,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56821.190,,,,,,,,,,15.8416,13,6,0,45,39.604
16551,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
16993.7,48900,50500,50100,48500,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56828.999,,,,,,,,,,14.1414,12,5.05051,0,45,39.3939
17578.4,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
17804.7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
17828.1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
17915.2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
17993.3,48700,50300,50100,48500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56836.615,,,,,,,,,,14,12.1212,5.94059,0,40,39
18994.1,48900,50700,50300,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56844.249,,,,,,,,,,14.1414,12.8713,6,0,34,39
19506.9,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
19994.1,49100,50700,50300,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56852.000,,,,,,,,,,15.8416,12,5.94059,0,34,39.3939
20688.1,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
20855.4,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
20993.8,49100,50700,50100,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.654,56859.626,,,,,,,,,,14.1414,12.1212,6,0,34,39.604
21435.4,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
21993.8,49100,50700,50100,48700,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56867.295,,,,,,,,,,15,12.8713,5.94059,0,33.6634,39.604
22462.8,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
22640.4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
22692.4,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
22993.6,49300,50700,50300,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56874.881,,,,,,,,,,14,12,5.05051,1,34,40
23787.8,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
23993.5,49100,50700,50100,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56882.503,,,,,,,,,,15,12.1212,5.94059,0,34.6535,39
24391.3,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
24691.1,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
24993.7,49300,50900,50500,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56890.018,,,,,,,,,,15,13.7255,5.05051,0,34,39.3939
25418.7,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
25993.6,49300,50700,50500,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56897.566,,,,,,,,,,15,12.8713,5,0,34,38
26645.3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
26727,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
26993.7,49300,50500,50500,48900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56905.205,,,,,,,,,,14.8515,12.1212,6,0,33.3333,37.3737
27347.2,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
27552.4,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
27993.4,49300,50700,50500,48900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56912.760,,,,,,,,,,15,12,5.05051,0,34,37.6238
28994.1,49300,50500,50700,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56920.389,,,,,,,,,,15,13,5,0,33.6634,37
29275.7,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
29552.7,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
29669.9,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
29993.3,49300,50900,50500,48900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56927.832,,,,,,,,,,14.1414,12,5.05051,0,34,38
30303.1,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,
30993.8,49700,50700,50700,48900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.654,56935.410,,,,,,,,,,15,12,5,0,34,37
31482.2,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
31551.3,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
31993.5,49700,50500,50300,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56942.962,,,,,,,,,,14,12.1212,6,0.990099,34,37.3737
32231.6,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,
32612.1,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
32993.6,49300,50700,50500,48900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56950.457,,,,,,,,,,15,13.7255,5,0,36,37
33259,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
33993.7,49300,50300,50500,49100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56956.810,,,,,,,,,,15,12,6,0,36,37
34412.9,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
34993.9,49500,51300,50900,48900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56964.375,,,,,,,,,,15,12.1212,5.94059,0,36.6337,37.3737
35187.5,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,
35486.4,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
35545.9,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
35993.7,49700,51500,50700,49300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56971.975,,,,,,,,,,14.8515,12.8713,5.05051,0,36,37.6238
36414.2,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
36993.8,49700,51500,50900,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56979.494,,,,,,,,,,14.1414,12.1212,7.76699,0,35.6436,37.6238
37116,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,
37993.4,49700,51700,51100,49100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56987.115,,,,,,,,,,14.1414,12,5.05051,0,35,38.3838
38143.4,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
38412.7,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
38483.5,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
38994,49900,51500,50900,49100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,56994.649,,,,,,,,,,15,12,5,0.990099,34,39
39993.6,50100,51500,50900,49100,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,57002.242,,,,,,,,,,14.8515,13,6,0,33.3333,39.3939
40071.9,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,
40323.3,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
40993.9,49700,51500,50900,49300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.675,57010.025,,,,,,,,,,14.1414,12,5,0,33.6634,39
