# Started at: 2022-02-24 10:31:27 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_1.json-ILP-IDLE-MIN.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_1.json-ILP-IDLE-MIN.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09903,48500,49900,50100,48100,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
994.506,48900,51100,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.083,69987.867,,,,,,,,,,43.4343,76,63.9175,52.0408,29.8969,24.7423
1966.55,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1994.77,48900,50700,49700,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,69996.643,,,,,,,,,,53.0612,46,66,56,35,26
2522.43,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2995.02,48700,50100,49500,48100,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,70004.829,,,,,,,,,,53.5354,19,66,55.5556,36,25.7426
3259.63,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
3647.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
3872.35,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3994.66,48500,50300,49700,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,70013.008,,,,,,,,,,54,15,65.6566,56.8627,31.6832,26
4133.32,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
4937.14,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
4994.35,48700,49700,49700,47900,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,70021.031,,,,,,,,,,55,15.8416,65.6863,55,29,26.7327
5586.32,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5994.91,48500,50100,49700,47700,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,70029.152,,,,,,,,,,53,14.1414,67.3267,56.5657,29,27
6354.22,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
6842.1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
6994.61,48700,49900,49700,47900,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,70037.176,,,,,,,,,,54.5455,15.1515,67.6768,58,29,28
7526.9,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
7994.48,48900,50300,49700,47900,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,70045.204,,,,,,,,,,54.4554,15.8416,67.3267,57.4257,29,28
8747.04,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
