# Started at: 2022-06-16 08:54:48 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_2-BB-LR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_2-BB-LR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10128,48300,49300,49500,47700,47700,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,0,33.3333
994.666,48300,49500,49300,47500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.63,3466771.152,,,,,,,,,,53.0612,38.1443,64.2857,60.2041,16,14.2857
1408.81,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1438.3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1995.05,48500,50300,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466779.401,,,,,,,,,,76,74,71.7172,77.551,44.4444,26
2256.82,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2709.92,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
2710.78,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2857.32,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2994.72,48900,50700,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466787.617,,,,,,,,,,80.198,69.697,77.2277,86.2745,49.505,13
3108.82,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3783.78,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
3984.67,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
3989.14,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
3994.21,48500,49700,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466795.610,,,,,,,,,,74,68.3168,68.6869,87,40.5941,12
4839.16,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
4994.64,48900,49900,49300,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466803.663,,,,,,,,,,73.7374,73.2673,77.2277,84,42.4242,12.1212
5251.05,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
5257.7,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
5412.42,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
5693.59,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
5994.74,48900,49900,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466811.667,,,,,,,,,,80.198,77,79,86.8687,34.3434,12
6508.81,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
6552.08,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
6994.44,48500,49900,49500,47500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466819.837,,,,,,,,,,74,77,78.7879,86.1386,41,17.1717
7403.99,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
7794.02,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
7803.79,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
7878.88,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
7967.65,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
7994.75,49300,50900,49700,47700,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466827.905,,,,,,,,,,77.451,77,72,78,43.5644,18
8239.43,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
8251.82,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
8894.19,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
8994.5,49700,50300,50100,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466836.161,,,,,,,,,,78.7879,66,72.549,86.8687,43.4343,12
9085.48,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
9516.03,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
9920.89,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
9994.62,49300,50700,50300,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466844.236,,,,,,,,,,71,70.297,74,86,44.4444,11.1111
10351.2,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
10522.8,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
10756.2,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
10785.2,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
10994.4,49300,50300,50100,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.619,3466850.352,,,,,,,,,,78,74.7475,77,84,38.6139,12
11237.4,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
11994.9,49500,50300,50500,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466858.389,,,,,,,,,,78.2178,77.451,79,87.1287,35.6436,12.8713
12056.5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
12057,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,
12449.4,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
12457.8,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
12897.1,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
12995.1,49500,51900,50500,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466866.438,,,,,,,,,,76,76.7677,75.7576,81,42.4242,22.2222
13078,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
13301.5,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
13303.8,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
13779.7,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,
13994.5,49900,51300,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466874.587,,,,,,,,,,76.5306,75.2475,74.7475,82.6531,47.0588,13.8614
14004.6,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
14158.4,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
14191.3,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
14598.5,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,
14995.2,49700,50900,50700,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466882.825,,,,,,,,,,74.7573,63,67.9612,87.3786,38.3838,12.8713
15017.2,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,
15442.8,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
15633.7,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
15852.4,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
15852.6,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
15994.7,49700,51500,50700,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466890.978,,,,,,,,,,73,73,76.7677,83,47,12.1212
16320.1,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,
16724.9,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
16994.5,50100,50700,50900,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466898.967,,,,,,,,,,79.798,77,78.7879,86.8687,35.6436,12
17138.9,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
17604,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,
17996.8,49700,51100,51100,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466907.074,,,,,,,,,,75.2475,76.7677,79.2079,86,35.3535,13
17999,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
18443.2,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
18863.6,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,
18866,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
18995.1,50100,51900,51300,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466915.160,,,,,,,,,,76,78.2178,71.7172,78,43.5644,22
19115.8,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
19258.2,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
19287.2,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
19291.4,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,
19994.4,50500,52300,51300,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3466923.351,,,,,,,,,,80.3922,70.297,78.2178,86.8687,48.4848,12.1212
20135.1,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
