# Started at: 2022-05-27 20:46:26 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_3.json-ILP-IDLE-MIN.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_3.json-ILP-IDLE-MIN.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12715,48500,49500,49700,47900,48300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,50,50,0,0
993.144,49300,50300,49700,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.372,3917953.414,,,,,,,,,,70.7071,68.6869,77.7778,70,22.449,33
1099.58,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1993.59,48900,50300,49700,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3917962.068,,,,,,,,,,83.1683,78,85,80.8081,38.2353,45.9184
2857.93,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2993.22,48900,50700,49700,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3917970.730,,,,,,,,,,87,82.8283,89.899,86.2745,33.3333,50.495
3779.34,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
3992.89,49300,50300,50100,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3917979.335,,,,,,,,,,87,83.1683,90,86.8687,31,40.5941
4700.98,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
4993.89,49500,50300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3917988.052,,,,,,,,,,88,83.1683,90,87,30,40.5941
5333.95,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
5555.45,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
