# Started at: 2022-05-27 22:17:11 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_3.json-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_3.json-QP-LR-UB.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1289,48900,49900,50300,48500,49100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,33.3333,33.3333,33.3333,0,33.3333,0
993.999,49700,51700,50500,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.935,3964608.256,,,,,,,,,,64.6465,62.8866,42.4242,41.8367,34.3434,30.303
1862.54,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1994.07,49700,51100,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964616.967,,,,,,,,,,77.7778,67,50,48.4848,41.5842,40.404
2733.7,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
2994.7,49900,50900,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964625.640,,,,,,,,,,83,75,57,56,37.6238,37.6238
3994.8,49900,50900,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964634.298,,,,,,,,,,82,75,58,56,37.3737,37
4526.2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4994.68,49900,50700,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964642.994,,,,,,,,,,82.1782,75,51.5152,55.5556,37.6238,36.3636
5464.14,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
5464.76,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
5993.8,50100,50700,50700,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964651.673,,,,,,,,,,82,74.2574,57.4257,56.4356,37.3737,37.6238
6363.96,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
6994.15,50100,51100,50900,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964660.341,,,,,,,,,,82,75,51.5152,47.9592,42,41.4141
7257.31,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
7994.04,50100,52600,50900,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964669.293,,,,,,,,,,83,72.7273,47.5248,47.0588,47,46
8994.44,49900,52800,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964678.107,,,,,,,,,,73.2673,65,48,45.4545,47,46.4646
9065.7,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
9994.31,49900,52500,50900,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964687.041,,,,,,,,,,80,70,53.5354,47,47.5248,47
10824.3,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
10993.8,50500,52600,51300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.935,3964695.685,,,,,,,,,,79.2079,67,50,49,42,41
11994.8,50700,51500,51500,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964704.418,,,,,,,,,,82,75,57,55.5556,37,36.3636
12667.3,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
12994.3,50700,51700,51500,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964713.048,,,,,,,,,,83.1683,74.7475,57,56.4356,38,37
13994.3,50900,51700,51700,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3964721.772,,,,,,,,,,82,74.5098,52.5253,55.5556,38,36.3636
14425.9,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
14427.5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
