# Started at: 2022-05-27 21:16:43 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_3.json-ILP-SM-I.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_3.json-ILP-SM-I.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.39741,47900,49100,49100,47400,48100,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,50,0,0,33.3333,0,0
992.615,48700,49900,49100,47700,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.265,3933972.732,,,,,,,,,,68.6869,71.2871,52.0408,56.1224,30.2083,25.2525
1826.87,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1992.53,48500,50300,49100,47700,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3933981.034,,,,,,,,,,81.6327,85.1485,65.3465,66,39.3939,35
2748.5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2992.37,48900,50900,49100,47700,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3933989.257,,,,,,,,,,84,87.7551,68.6869,69,40.404,35.3535
3992.53,48900,49500,49300,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3933997.754,,,,,,,,,,84.8485,89.1089,68,69,33.3333,28
4507.2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
4561.31,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
4992.78,48500,49500,49300,47700,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934006.206,,,,,,,,,,76.7677,86.8687,61,66.6667,33.3333,29
5428.79,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
5434.03,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
5992.34,48900,49500,49500,47900,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934014.418,,,,,,,,,,84.3137,87.8788,68.3673,58,33,28.2828
6992.17,48900,49500,49500,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934022.598,,,,,,,,,,81.6327,88.1188,59.4059,59.596,33.3333,27.2727
7226.93,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
7992.91,48900,50700,49500,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934030.719,,,,,,,,,,85,88.8889,68,69,43.4343,37.3737
8109.12,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
8993.06,49300,50500,49900,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934039.063,,,,,,,,,,83.8384,85.8586,62.6263,66,33.6735,32.3232
9021.55,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
9030.89,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
9052.09,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
9992.2,49300,50700,50100,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934047.380,,,,,,,,,,82,83.1683,62,64.6465,41,27.2727
10790.7,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
10814.5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
10992.8,49300,51300,49900,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.201,3934055.795,,,,,,,,,,81.1881,84.8485,65,66,39.3939,36
11711.3,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
11993,49700,51900,50100,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934063.969,,,,,,,,,,84.8485,88,68.6869,69,41.5842,34.3434
12607.4,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
12632.8,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
12992.5,50100,50700,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934072.516,,,,,,,,,,83.8384,89,68,68.6869,32.6531,29
13541.8,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
13992.3,49700,50500,50300,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934080.701,,,,,,,,,,77,86.8687,60.6061,66.3366,33.6634,28.2828
14394.7,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
14400.2,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
14993,49700,50500,50500,48700,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3934088.895,,,,,,,,,,84.6939,87.8788,69,58.5859,33.3333,29
15313.1,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
