# Started at: 2022-06-17 09:20:08 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_5-BB-SM.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_5-BB-SM.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.0929,48100,49500,49500,47700,47900,70000,600000,600000,600000,600000,1.056e+06,600000,,,,,,,,,,,,0,0,0,66.6667,33.3333,0
743.947,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
744.845,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
992.882,48900,49900,49700,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.075,4012891.258,,,,,,,,,,72.449,62.2449,66.3265,39.5833,35.0515,18.3673
1649.25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1753.43,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1993.32,48500,49700,49500,47700,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012899.007,,,,,,,,,,84.3137,83.1683,70.8738,44,41.1765,22.7723
2693.89,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2993.29,48300,50300,49100,47500,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012906.854,,,,,,,,,,85,80,73.4694,45.4545,42,25.2525
3634.45,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
3993.71,48700,50900,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012914.620,,,,,,,,,,88,83.8384,77,49.4949,46.4646,29
4365.11,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
4449.24,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
4574.74,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
4993.22,48900,51100,49500,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012922.600,,,,,,,,,,89.1089,83,77,46,42.5743,23.7624
5298.92,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
5383.03,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
5515.38,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
5993.31,48900,50100,49900,47700,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012930.673,,,,,,,,,,87.8788,83,78,43,40.5941,22.2222
6243.37,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
6456.01,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
6993.8,48900,49900,49700,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012938.618,,,,,,,,,,88.1188,80.198,72,43,39.3939,22
7165.17,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
7396.18,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
7971.65,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
7992.88,48900,50300,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012946.466,,,,,,,,,,88.8889,81,75,48,44,27.7228
8154.62,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
8336.2,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
8993.54,49100,51300,49900,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012954.341,,,,,,,,,,88.1188,76,77.7778,44.5545,45.4545,27.7228
9276.7,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
9965.17,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
9993.65,49300,51300,50100,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4012962.567,,,,,,,,,,86.8687,82,77.2277,43,45,22
10217.1,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
10767.2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
10881.5,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
10965.7,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
