# Started at: 2022-05-28 03:49:42 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_5.json-ILP-SM-II.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_5.json-ILP-SM-II.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12953,48900,49900,50100,48300,48900,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,50,0,0,0,0,33.3333
270.205,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
993.156,49300,50100,50100,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.195,4137416.600,,,,,,,,,,71.7172,63.9175,67,48.4536,38,22.449
1398.06,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1402.82,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1992.87,49100,49900,49700,47900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137424.358,,,,,,,,,,82.6531,69.6078,85,53.4653,40.8163,22.2222
2337.57,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2347.25,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
2992.9,48900,49900,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137432.118,,,,,,,,,,83.1683,73.7374,83,53,45,26.7327
3277.19,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
3291.72,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
3978.13,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
3993.36,48900,51100,49700,47900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137439.803,,,,,,,,,,79.2079,76,85,52.5253,48,28.2828
4216.86,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
4993.26,49100,51100,49900,48300,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137447.835,,,,,,,,,,84.8485,76.2376,82.8283,58.5859,47.5248,28
5096.53,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
5156.44,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
5993.19,49300,51500,49900,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137455.719,,,,,,,,,,85,76.7677,85,53,47.4747,29.703
6041.01,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
6779.11,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
6985.61,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
6992.74,49300,51500,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137463.851,,,,,,,,,,85,74,83,58.4158,48.5149,22
7069.78,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
7930.04,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
7992.91,49700,51300,50300,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137471.691,,,,,,,,,,86.1386,76.2376,85,60,48.4848,22.2222
8014.23,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
8874.56,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
8992.78,49700,51300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137479.518,,,,,,,,,,85.8586,76.2376,81,59.596,45,22
9552.4,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
9992.93,49700,50700,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137487.235,,,,,,,,,,86.1386,72.7273,78.4314,53,41.4141,22
10485.1,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
10679.3,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,
10794.7,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
10992.9,49300,50300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.195,4137494.909,,,,,,,,,,85,75,83.6735,58.5859,41,22.2222
11623.7,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,
11734.2,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
11992.5,49700,50300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137502.536,,,,,,,,,,86,76.7677,84.1584,60,42,22.7723
12568.3,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,
12993.2,49300,50300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137510.231,,,,,,,,,,86,76.2376,84.8485,60.396,40.404,23
13285.9,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
13512.8,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
13993.4,49700,50500,50300,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137517.875,,,,,,,,,,85.8586,72.2772,85.1485,59.596,42.5743,22
14457.2,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,
14553,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
14993.3,49500,50300,50300,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137525.573,,,,,,,,,,85.1485,70,84,53,41,22
15177.9,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
15992.6,49300,50300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137533.189,,,,,,,,,,81.1881,71.2871,83.8384,53,43.4343,25
16262,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
16992,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,
16993.1,49300,51500,50500,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137540.994,,,,,,,,,,80.8081,76.7677,84.8485,52.5253,48.5149,29
17206.5,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,
17993.1,49700,51700,50500,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137548.929,,,,,,,,,,82,76,83.1683,56,46.4646,26.2626
18151.3,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,
18993,50100,51900,50700,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137556.845,,,,,,,,,,86,76.2376,84.1584,56,50,29
19095.9,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,
19792.6,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,
19837.1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
19992.8,50100,52300,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137564.846,,,,,,,,,,85.1485,73.7374,82.8283,55.5556,47.4747,24.7525
20040.3,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,
20698.1,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,
20906,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
20993,50500,52100,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.195,4137572.666,,,,,,,,,,86,76.7677,84.8485,60,49.505,21.2121
21845,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,
21845.5,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
21993,50500,51900,50900,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137580.472,,,,,,,,,,85.8586,76.4706,84,59.4059,46.4646,23
22593.3,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
22785.4,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
22789.5,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,
22993.3,50100,51500,50900,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137588.205,,,,,,,,,,85.2941,74,78.2178,55.5556,42,22
23725.1,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
23733.9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,
23992.8,50100,51500,51300,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137595.838,,,,,,,,,,85.8586,74,81.1881,57.4257,40.404,22.2222
24498,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
24664.7,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
24678.4,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,
24993,50100,51100,51100,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137603.560,,,,,,,,,,86,76,84.8485,59.596,42,22.7723
25604.3,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
25993,50100,51100,51100,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137611.247,,,,,,,,,,86,76,84.1584,60,41,22.2222
26299.2,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,
26485.6,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,
26544,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,
26993.6,50100,51100,51100,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137618.956,,,,,,,,,,85,75,84.8485,59.596,42,23
27204.8,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,
27427.6,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,
27993.4,50300,51100,50900,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137624.957,,,,,,,,,,86.1386,69,85,54.5455,41.5842,22
28372.3,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,
28992.5,50100,51100,50900,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137632.671,,,,,,,,,,80.8081,70,83,53.4653,41.4141,22
29100,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,
29316.7,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,
29400.9,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,
29992.9,50100,52100,51100,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137640.416,,,,,,,,,,83,76,85,52.5253,48,29.2929
30261.4,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,
30952.3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
30992.8,50300,52600,51100,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.163,4137648.048,,,,,,,,,,80.198,76.2376,83,54.4554,47,27
31993,50700,52600,51300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137655.737,,,,,,,,,,86,76.7677,84.8485,57.5758,49,29
32066.3,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,
32182.5,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,
32806.1,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,
32996.8,50900,53000,51500,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137663.642,,,,,,,,,,85,74.2574,83,53.5354,49,25
33010.7,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,
33122.2,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,
33955.2,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,
33993,50900,52600,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137671.629,,,,,,,,,,85.1485,75.7576,84.1584,59,48.5149,23.7624
34899.5,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,
34992.8,50900,52600,51700,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137679.573,,,,,,,,,,85.8586,76.2376,84.8485,60.7843,48.4848,22
35606.8,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,
35843.9,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,
35941.4,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,
35993.6,51100,52100,51700,50100,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137687.523,,,,,,,,,,86.1386,77,79.2079,57.5758,42,23
36993,50900,51900,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4137695.285,,,,,,,,,,85.8586,71,79.798,54.5455,42,21.2121
