# Started at: 2022-05-28 06:50:48 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_6.json-ILP-SM-II.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_6.json-ILP-SM-II.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11478,48100,49100,49500,47400,48100,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,33.3333,0,0,0,33.3333,0
992.598,48500,49300,49300,47500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.627,4225784.706,,,,,,,,,,73.1959,62.5,55.102,70.1031,26.0417,17.3469
1010.12,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1829.27,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1847.45,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1992.37,48500,50300,48900,47700,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4225792.167,,,,,,,,,,85.1485,81.8182,75,87,42.5743,30.6931
2076.04,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
2770.25,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2865.41,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
2951.9,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
