# Started at: 2022-05-28 04:50:04 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_6.json-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_6.json-HEUR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12728,48500,49900,50100,48300,48900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,50,0,0,0
927.494,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
996.166,49100,50700,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,52.4752,58.1633,57.1429,69.697,34,23.7113
1717.06,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1994.34,49300,50300,50100,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.959,4167434.199,,,,,,,,,,72.449,77.551,80.8081,92,39.604,32
2476.2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2503.47,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2506.6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
2620.23,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2994.34,48900,49900,49700,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167441.966,,,,,,,,,,62.2449,78.2178,74,92,34.3137,26.2626
3046.98,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
3296.09,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
3296.99,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
3350.31,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
3380.52,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
3456.91,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
3994.12,48900,50900,49900,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167449.605,,,,,,,,,,69.9029,74.7475,78,89,48.5149,35.6436
4163.51,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
4170.01,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
4290.6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
4959.53,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
4979.79,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
4993.95,49100,50700,49700,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167457.688,,,,,,,,,,63.9175,67,80,92.1569,40.5941,33.6634
5010.62,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
5051.25,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5507.69,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5752.19,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
5823.03,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
5833.47,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
5994.31,49300,51100,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167465.570,,,,,,,,,,65.6566,70,72,86.8687,45.098,38.3838
6609.41,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
6623.04,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
6714.04,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
6994.41,49300,50300,49900,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167473.349,,,,,,,,,,72.7273,77.7778,81.1881,92,33.6634,26
7412.6,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
7455.31,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
7483.1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
7496.92,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
7555.95,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
7971.69,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
7993.97,49300,50300,49900,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167481.048,,,,,,,,,,60.396,77.7778,70,89,39.2157,32
8238.76,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
8286.49,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
8393.48,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
8993.55,49300,50500,50100,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167488.938,,,,,,,,,,66.6667,67,81.1881,92.0792,42.5743,29.2929
9075.95,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
9144.95,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
9860.64,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
9865.49,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
9868.18,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
9902.45,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
9949.88,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
9994.35,49300,50700,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167496.793,,,,,,,,,,64.6465,69,73,88.7755,43.5644,37
10438.2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
10739.4,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
10807.8,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
10994.1,49700,50700,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167504.661,,,,,,,,,,70.7071,76.5306,79,90,42.1569,35.6436
11497.3,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
11520,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
11528.8,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
11659,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
11994.4,49500,50300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.97,4167512.484,,,,,,,,,,65.3465,78,76,92.0792,32.3232,25.2525
12318.4,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
12348.2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
12402.8,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,
12470.5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
12496.4,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
12900.6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
12993.8,49700,51500,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167520.068,,,,,,,,,,67.3469,77,76,89.1089,48.0769,35
13136.2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
13179.8,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
13192.4,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
13981.9,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,
13994.1,49700,51100,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167528.242,,,,,,,,,,63.6364,65,80.198,91.9192,40.5941,32
14005.8,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
14771.4,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,
14794.6,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
14840.6,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
14855.9,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,
14901.4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
14994.5,49900,51500,50700,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167536.104,,,,,,,,,,65.6566,69.697,71.7172,86.8687,47.0588,39.3939
15360,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
15635.4,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
15645.4,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
15761.7,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
15993.6,50100,51100,50700,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167543.892,,,,,,,,,,73,77.7778,80.8081,92.0792,33.6634,27
16178.7,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
16434.9,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,
16500.5,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
16564.1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
16599.2,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
16994.4,49900,50700,50700,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167551.603,,,,,,,,,,60,78,71.2871,89,36,30
17236.2,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,
17239.9,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
17264.9,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
17308.8,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,
17827.4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
17994.3,50100,51500,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167559.608,,,,,,,,,,69.697,68.6869,81.1881,92,45.6311,31
18098.3,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,
18877.6,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
18887.9,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
18893.9,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
18972.3,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,
18993.8,50100,51500,51100,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167567.538,,,,,,,,,,64.6465,69,75,91,41.5842,35.6436
18995.5,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
19688.2,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
19761.8,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,
19864.5,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,
19994.2,50500,51500,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167575.407,,,,,,,,,,68.6869,74.4898,77,87.8788,44.1176,37
20288.4,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
20523.5,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
20537.7,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
20551.4,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,
20657.7,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
20702,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,
20994.4,50500,51100,51100,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4167583.137,,,,,,,,,,66.6667,78.2178,78,92.0792,33.6634,26.2626
21340.9,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,
21399,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
21425.3,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,
