# Started at: 2022-05-28 05:20:15 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_6.json-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_6.json-ILP-IDLE-MAX.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12703,47900,49100,48900,47400,47900,70000,600000,600000,896000,896000,600000,600000,,,,,,,,,,,,0,0,0,33.3333,33.3333,33.3333
274.304,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
993.605,48100,49900,48900,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.798,4181757.685,,,,,,,,,,10.8911,10.2041,12,13.5417,60.396,64
1871,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1992.78,48300,50500,48900,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4181766.282,,,,,,,,,,12.2449,17,23.2323,22,88.8889,86
2359.45,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2469.22,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2546.05,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2679.78,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2993.58,48100,50700,48700,47400,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4181774.729,,,,,,,,,,6.06061,9,12,12,85.8586,87
3462.6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
3993.67,47700,50300,48900,47400,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4181782.991,,,,,,,,,,7,9.09091,12,11,83,80
4119.9,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
4308.22,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
4976.89,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
4993.04,48100,50500,48900,47400,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4181791.307,,,,,,,,,,7.07071,9,12,11.1111,89,83.8384
5098.51,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
5139.3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
5140.83,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
