# Started at: 2022-05-28 05:50:28 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_6.json-ILP-IDLE-MIN.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_6.json-ILP-IDLE-MIN.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1334,48100,49500,49700,48100,48500,70000,600000,600000,600000,600000,600000,1.056e+06,,,,,,,,,,,,0,33.3333,0,50,0,0
993.359,48900,50700,49700,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.67,4197196.797,,,,,,,,,,52.0408,71.134,63.7255,75,45,41.4141
1993.86,49100,49900,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4197205.124,,,,,,,,,,70,90,81,89,52,43
2418.78,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2473.06,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
2585.32,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2593.58,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
2678.36,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
2994.04,48500,49500,49500,47700,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4197213.094,,,,,,,,,,56.5657,89,71,88,45,40
3062.87,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
3993.83,48900,50300,49700,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4197221.070,,,,,,,,,,67,90,80.198,89,51.5152,47.4747
4061.87,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
4878.61,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
4900.07,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
4993.45,48500,50500,49500,47700,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4197229.061,,,,,,,,,,57.5758,83,76,87.1287,55,46
5048.86,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
5131.62,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
5993.26,49100,50700,49700,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4197237.084,,,,,,,,,,64.6465,85,76,86,60.396,51.0204
6287.67,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
