# Started at: 2022-05-28 07:20:57 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/all//IN_6.json-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/all//IN_6.json-QP-LR-UB.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13315,47900,49100,49100,47400,48100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,50,0,0,0,0,33.3333
711.019,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
993.665,48300,50300,49100,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.745,4239579.421,,,,,,,,,,73.4694,74.2574,43.8776,46.4646,38.7755,14.2857
1500.66,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1546.63,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1713.41,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1993.19,48100,49300,49300,47400,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4239587.187,,,,,,,,,,93,94.9495,59,64.3564,38,14
2290.54,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
2429.84,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2450.24,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
2551.08,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2993.22,48100,49500,48900,47200,47700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4239594.833,,,,,,,,,,92,94.9495,43.1373,50,50,14
3080.99,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
3081.97,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
3165.94,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
3166.32,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3955.7,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
3992.85,48300,50100,48900,47400,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4239602.512,,,,,,,,,,93.9394,95,52.5253,58,54.902,25.7426
4088.47,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
