# Started at: 2022-02-25 03:04:54 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/all//IN_6.json-QP-LR-UB.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/all//IN_6.json-QP-LR-UB.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09465,47000,48100,48100,46400,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,33.3333,0,0
736.913,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
995.3,47400,49100,48100,46800,47000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.482,476952.916,,,,,,,,,,28.5714,31.6327,19.1919,38.7755,30.9278,32.3232
1594.18,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1678.3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
1994.31,47200,48300,48100,46600,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,476960.554,,,,,,,,,,23,32,13.2653,49.505,20,31.3131
2483.55,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2535.61,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
2614.95,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
2994.89,47000,48100,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,476968.209,,,,,,,,,,24,32,14,50,18,19
