# Started at: 2022-06-16 11:26:04 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_1-BB-LR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_1-BB-LR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.38566,48100,49300,49500,47700,48100,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,0,0
993.181,48500,49900,49500,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.085,3543678.984,,,,,,,,,,57.5758,63.6364,59,72.7273,34.3434,16.1616
1993.63,48900,49900,49500,47900,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543687.071,,,,,,,,,,75.7576,81.1881,83.1683,96,38.6139,14.8515
2992.85,48900,49900,49900,48100,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543695.304,,,,,,,,,,81.1881,79.2079,80.6122,94,41,18
3993.04,48900,51100,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543703.473,,,,,,,,,,83,81.8182,83,96.0396,44.4444,20.202
4993.44,49100,51100,49900,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543711.729,,,,,,,,,,82.1782,81,83.1683,95,41.1765,19
5993.67,49100,50700,49900,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543719.902,,,,,,,,,,83.1683,82.1782,83,96.0396,38,15
6993.08,49300,50300,49900,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543728.298,,,,,,,,,,82.6531,76.2376,82.8283,96.0396,39,14.8515
7993.25,49300,50300,50300,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543736.518,,,,,,,,,,82.1782,78.7879,83,95,42.1569,15
8993.33,49300,50900,50500,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543744.797,,,,,,,,,,83,81.1881,83.1683,95.9596,44.4444,14.1414
9992.82,49700,51100,50300,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543753.102,,,,,,,,,,82.1782,81.1881,78,95.098,41.5842,14.1414
10993.5,49700,50700,50300,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.075,3543761.375,,,,,,,,,,79,82,77.2277,94,38,14
11993.7,49700,51300,50700,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543769.727,,,,,,,,,,81.8182,82,82,94.9495,44,14.1414
12993.3,49700,51700,50500,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543778.029,,,,,,,,,,82.1782,81.8182,84,96.0784,44,15.1515
13993.5,50100,51700,50900,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543786.241,,,,,,,,,,80.198,81.5534,83,95.9184,41,14.1414
14993.7,49700,51500,50900,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3543794.643,,,,,,,,,,76.2376,77,81.1881,95.098,39.2157,14
