# Started at: 2022-05-28 07:51:06 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_1.json-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_1.json-HEUR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11715,48500,49500,49700,47900,48300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,0,33.3333,0,0
993.563,49100,50900,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.841,4253898.873,,,,,,,,,,71.4286,69.697,63.9175,58.5859,21.7822,20.202
1993.67,49300,50900,49900,48300,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253906.989,,,,,,,,,,89,89.1089,79.2079,72,36,27
2992.84,48900,51100,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253915.365,,,,,,,,,,84,82,74.7475,66.3366,39,31.6327
3993.27,48900,51100,49700,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253923.706,,,,,,,,,,87.1287,87,77,71,39.3939,34.6535
4993.09,48900,51100,50100,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253932.039,,,,,,,,,,88.8889,88.8889,79.2079,72,35,31.3131
5993.76,48900,50700,49700,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253940.338,,,,,,,,,,89,89.1089,79,71.7172,34,28.2828
6993.46,48900,50100,49700,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253948.609,,,,,,,,,,89,89.1089,79,71.2871,35,28.2828
7993.04,49300,50300,50100,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253956.882,,,,,,,,,,88.8889,88,78.7879,72,32.6531,28.2828
8993.42,49300,50300,50100,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253965.092,,,,,,,,,,89,88.8889,78,67.3267,34.3434,28.7129
9993.28,48900,49900,49900,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253973.373,,,,,,,,,,89,89.1089,73,65.6566,34.6535,27.551
10993.7,49300,50300,50100,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.83,4253981.442,,,,,,,,,,89,85,75.2475,69,37,30.303
11993.7,49300,51100,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253989.589,,,,,,,,,,89,89,78.7879,71.7172,41,32
12993.3,49700,51100,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4253997.820,,,,,,,,,,89,88,79,72,38,28.2828
13993,49500,50700,50500,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254006.174,,,,,,,,,,88.8889,89,79.2079,72.2772,34.3434,28.2828
14992.9,49700,50700,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254014.362,,,,,,,,,,84.3137,89.1089,73.7374,66.3366,35.2941,29.703
15993.2,49700,50900,50500,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254022.593,,,,,,,,,,88.8889,88,79,72,40.404,34.6939
16993.5,49900,51700,50900,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254030.925,,,,,,,,,,89,88.8889,79,72,40.404,31.6832
17992.8,50100,51500,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254039.204,,,,,,,,,,87.8788,87,79,70.7071,35.3535,27.551
18992.8,50100,51900,51100,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254047.502,,,,,,,,,,83,83,73,67.3267,40,34
19993.3,50500,52100,51100,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254055.769,,,,,,,,,,89.2157,89,79,71.7172,38.3838,33.6735
20993.6,50300,51700,51300,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.82,4254064.191,,,,,,,,,,88.8889,88.1188,79,72,34.6535,30.6931
21993.7,50500,51900,51300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254072.443,,,,,,,,,,88.8889,89,78.7879,72,35,28.2828
22992.8,50500,51500,51300,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254080.622,,,,,,,,,,89,89,79.2079,72,35,28.2828
23992.9,50500,51500,51300,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254088.930,,,,,,,,,,88.8889,88.1188,78.7879,70.7071,34.6535,28
24993.6,50500,51500,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254097.116,,,,,,,,,,89.1089,89,76,67,35,27.551
25993.1,50500,51500,51300,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254105.228,,,,,,,,,,88.8889,86.8687,73,66,34.3434,30
26993.2,50500,51500,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254113.472,,,,,,,,,,88.2353,87.1287,77,70.297,39,32.6733
27992.9,50900,52500,51700,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254121.799,,,,,,,,,,88.8889,88.8889,79,71.7172,41,30.303
28992.9,50900,51900,51700,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4254130.121,,,,,,,,,,89,88,79.2079,72.2772,34.3434,27.551
